Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Алькеевская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763					
1	"Число избирателей, внесенных в списки избирателей"	15464	948	650	674	487	1423	95	382	224	320	193	223	137	185	329	163	162	593	261	111	200	245	80	152	443	449	233	265	409	214	77	196	320	91	165	330	255	196	191	241	615	319	219	293	47	634	206	207	280	332					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15388	915	650	657	488	1406	100	382	222	318	193	223	136	187	330	162	164	588	256	107	200	245	80	154	442	445	232	264	408	216	77	200	325	91	165	329	254	194	190	240	619	317	218	291	47	638	206	206	279	332					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14556	880	629	638	474	1363	95	356	207	295	182	205	126	174	314	156	149	572	250	107	193	227	71	140	398	417	203	252	377	201	71	193	313	91	156	317	240	186	186	227	568	304	177	282	42	602	178	197	259	316					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	739	25	19	19	13	37	0	26	14	8	10	18	10	11	15	6	12	14	6	0	7	18	9	12	44	28	29	12	29	11	6	3	7	0	9	11	13	5	4	13	45	12	40	9	5	22	28	9	20	16					
6	Число погашенных избирательных бюллетеней	93	10	2	0	1	6	5	0	1	15	1	0	0	2	1	0	3	2	0	0	0	0	0	2	0	0	0	0	2	4	0	4	5	0	0	1	1	3	0	0	6	1	1	0	0	14	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	739	25	19	19	13	37	0	26	14	8	10	18	10	11	15	6	12	14	6	0	7	18	9	12	44	28	29	12	29	11	6	3	7	0	9	11	13	5	4	13	45	12	40	9	5	22	28	9	20	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14556	880	629	638	474	1363	95	356	207	295	182	205	126	174	314	156	149	572	250	107	193	227	71	140	398	417	203	252	377	201	71	193	313	91	156	317	240	186	186	227	568	304	177	282	42	602	178	197	259	316					
9	Число недействительных избирательных бюллетеней	13	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0					
10	Число действительных избирательных бюллетеней	15282	904	648	657	487	1397	95	382	219	303	192	223	136	185	329	162	161	585	256	107	200	245	80	152	442	445	232	264	406	212	77	196	320	91	165	328	253	191	190	240	613	316	216	291	47	619	206	206	279	332					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	350	18	18	18	18	12	5	8	6	7	6	6	5	6	7	5	5	14	6	3	6	6	3	5	8	8	6	6	8	5	3	5	7	3	4	7	6	4	4	5	14	7	5	4	2	15	5	4	5	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	164	10	18	15	4	12	4	0	3	4	3	2	0	2	4	3	5	14	2	3	2	1	0	0	1	2	1	1	3	5	0	4	0	0	1	2	2	0	2	0	6	2	5	4	0	7	0	0	2	3					
