Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    территориальная избирательная комиссия Юрьев-Польского района																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291					
1	"Число избирателей, внесенных в списки избирателей"	29437	3037	2787	1109	1107	1097	3014	1106	1134	1147	1310	279	251	289	185	115	238	647	336	299	457	153	314	330	298	742	113	502	172	726	497	155	350	232	294	906	940	454	1285	702	328					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29305	2817	2825	1105	1040	1090	2965	1085	1105	1115	1330	290	270	285	190	115	239	653	351	298	475	158	324	332	304	765	120	511	175	731	494	161	366	242	295	920	948	465	1284	722	345					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18160	1756	1877	729	657	759	1791	702	724	764	675	218	194	174	112	79	88	408	184	183	364	99	152	251	199	381	73	333	92	373	289	87	235	179	185	651	489	273	730	413	238					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2157	95	74	47	94	46	155	36	40	41	150	5	20	26	15	12	81	50	65	49	11	9	70	23	15	88	11	55	34	124	94	25	33	23	55	51	109	52	63	81	30					
6	Число погашенных избирательных бюллетеней	8986	966	874	329	289	285	1019	347	340	310	505	67	56	85	63	24	70	195	102	66	100	50	102	58	90	296	36	123	49	234	111	49	98	40	55	218	349	140	491	228	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2156	95	74	47	93	46	155	36	40	41	150	5	20	26	15	12	81	50	65	49	11	9	70	23	15	88	11	55	34	124	94	25	33	23	55	51	109	52	63	81	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18160	1756	1877	729	657	759	1791	702	724	764	675	218	194	174	112	79	88	408	184	183	364	99	152	251	199	381	73	333	92	373	289	87	235	179	185	651	489	273	730	413	238					
9	Число недействительных избирательных бюллетеней	188	19	21	3	9	4	16	7	3	6	9	0	3	1	0	0	0	1	1	6	2	1	1	1	4	7	1	4	3	6	7	2	0	0	4	7	6	11	10	1	1					
10	Число действительных избирательных бюллетеней	20128	1832	1930	773	741	801	1930	731	761	799	816	223	211	199	127	91	169	457	248	226	373	107	221	273	210	462	83	384	123	491	376	110	268	202	236	695	592	314	783	493	267					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	477	31	40	19	30	20	20	20	20	20	20	6	10	6	7	0	0	10	8	6	10	5	5	6	5	10	5	10	1	10	10	4	6	6	6	20	15	6	14	12	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	390	31	40	13	10	20	20	9	6	10	20	6	10	6	7	0	0	9	8	3	10	5	5	6	5	10	5	6	1	10	10	3	6	6	3	20	6	6	9	12	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	209	17	24	10	5	6	21	8	10	6	10	2	4	6	2	2	2	2	2	1	3	1	1	0	4	3	1	7	2	4	1	0	5	2	3	9	3	2	11	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	87	0	0	6	20	0	0	11	14	10	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	4	0	0	0	1	0	0	3	0	9	0	5	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	4	5	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	812	62	45	17	15	20	47	12	29	17	29	8	15	6	5	4	5	31	7	4	38	1	3	12	6	41	2	15	6	22	33	2	28	6	2	51	29	16	74	22	25					
		3.99%	3.35%	2.31%	2.19%	2.00%	2.48%	2.42%	1.63%	3.80%	2.11%	3.52%	3.59%	7.01%	3.00%	3.94%	4.40%	2.96%	6.77%	2.81%	1.72%	10.13%	0.93%	1.35%	4.38%	2.80%	8.74%	2.38%	3.87%	4.76%	4.43%	8.62%	1.79%	10.45%	2.97%	0.83%	7.26%	4.85%	4.92%	9.33%	4.45%	9.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	115	9	23	7	2	7	11	6	9	4	4	1	0	2	0	0	0	0	0	1	2	0	0	0	1	2	0	0	1	3	2	0	2	1	3	3	0	0	4	5	0					
		0.57%	0.49%	1.18%	0.90%	0.27%	0.87%	0.57%	0.81%	1.18%	0.50%	0.48%	0.45%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.53%	0.00%	0.00%	0.00%	0.47%	0.43%	0.00%	0.00%	0.79%	0.60%	0.52%	0.00%	0.75%	0.50%	1.25%	0.43%	0.00%	0.00%	0.50%	1.01%	0.00%					
20	3.Политическая партия «Демократическая партия России»	20	0	3	2	0	1	2	3	2	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.00%	0.15%	0.26%	0.00%	0.12%	0.10%	0.41%	0.26%	0.00%	0.00%	0.45%	0.00%	0.00%	0.79%	0.00%	0.59%	0.00%	0.00%	0.00%	0.27%	0.00%	0.45%	0.36%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2582	300	306	129	104	114	293	102	105	105	133	26	22	33	15	8	18	38	33	16	31	9	6	16	38	26	15	48	10	35	41	14	21	29	29	52	55	29	97	40	41					
		12.71%	16.21%	15.68%	16.62%	13.87%	14.16%	15.06%	13.82%	13.74%	13.04%	16.12%	11.66%	10.28%	16.50%	11.81%	8.79%	10.65%	8.30%	13.25%	6.90%	8.27%	8.33%	2.70%	5.84%	17.76%	5.54%	17.86%	12.37%	7.94%	7.04%	10.70%	12.50%	7.84%	14.36%	12.08%	7.41%	9.20%	8.92%	12.23%	8.10%	15.30%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	67	13	12	3	5	2	8	0	5	1	5	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	2	0					
		0.33%	0.70%	0.62%	0.39%	0.67%	0.25%	0.41%	0.00%	0.65%	0.12%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	2.37%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.31%	0.00%	0.40%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	38	8	4	1	1	1	3	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	2	0	0	1	4	0	0					
		0.19%	0.43%	0.21%	0.13%	0.13%	0.12%	0.15%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.31%	0.50%	0.00%	0.00%					
