Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Казачинско-Ленская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №855	УИК №856									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14607	299	81	1212	1170	1659	93	154	891	1879	748	1127	340	1456	212	1186	1046	889	81	37	22	25									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14653	300	100	1200	1160	1660	100	150	900	1900	750	1060	340	1472	210	1180	1050	880	120	43	38	40									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4535	129	37	388	333	549	43	73	214	625	179	245	79	366	104	395	395	286	44	17	19	15									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	175	26	1	6	0	7	1	6	19	11	5	36	9	4	4	16	12	4	2	0	0	6									
6	Число погашенных избирательных бюллетеней	9929	145	62	806	827	1104	56	71	667	1264	566	779	252	1102	102	762	643	590	67	26	19	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	189	26	1	6	0	7	1	6	19	11	5	36	9	4	4	23	12	4	9	0	0	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4534	129	37	388	333	549	43	73	214	625	179	245	79	365	104	395	395	286	44	17	19	15									
9	Число недействительных избирательных бюллетеней	84	10	0	7	3	7	0	2	7	14	3	5	2	8	2	10	4	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	4639	145	38	387	330	549	44	77	226	622	181	276	86	361	106	408	403	290	53	17	19	21									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	30	15	25	25	25	15	15	30	30	15	25	25	25	25	30	30	15	40	10	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	193	9	15	2	0	6	5	0	10	17	0	5	6	8	10	7	10	3	40	7	18	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	0	1	2	1	1	1	2	2	3	2	1	2	8	2	9	7	3	0	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	292	21	0	23	25	19	10	15	20	13	15	20	19	17	15	23	20	12	0	3	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	1	2	2	1	0	0	0	3	0	0	1	1	0	4	4	6	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	68	1	0	2	6	12	1	2	4	9	0	9	1	3	3	2	3	6	4	0	0	0									
		1.44%	0.65%	0.00%	0.51%	1.80%	2.16%	2.27%	2.53%	1.72%	1.42%	0.00%	3.20%	1.14%	0.81%	2.78%	0.48%	0.74%	2.07%	7.55%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	142	6	0	9	6	19	2	1	4	14	6	7	6	11	2	13	20	13	1	0	1	1									
		3.01%	3.87%	0.00%	2.28%	1.80%	3.42%	4.55%	1.27%	1.72%	2.20%	3.26%	2.49%	6.82%	2.98%	1.85%	3.11%	4.91%	4.48%	1.89%	0.00%	5.26%	4.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	137	5	0	15	6	22	1	2	5	24	2	8	4	15	6	7	9	3	2	1	0	0									
		2.90%	3.23%	0.00%	3.81%	1.80%	3.96%	2.27%	2.53%	2.15%	3.77%	1.09%	2.85%	4.55%	4.07%	5.56%	1.67%	2.21%	1.03%	3.77%	5.88%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2041	48	21	185	162	251	18	37	113	271	74	112	34	148	51	161	157	140	29	8	10	11									
		43.21%	30.97%	55.26%	46.95%	48.65%	45.14%	40.91%	46.84%	48.50%	42.61%	40.22%	39.86%	38.64%	40.11%	47.22%	38.52%	38.57%	48.28%	54.72%	47.06%	52.63%	52.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	1	0	1	0	0	0	0	1	7	1	1	0	2	0	2	6	2	1	0	0	2									
		0.57%	0.65%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.43%	1.10%	0.54%	0.36%	0.00%	0.54%	0.00%	0.48%	1.47%	0.69%	1.89%	0.00%	0.00%	9.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	0	1	1	0	1	0	1	2	0	0	0	0	0	1	0	1	1	0	0	0									
		0.19%	0.00%	0.00%	0.25%	0.30%	0.00%	2.27%	0.00%	0.43%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.34%	1.89%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	996	30	11	87	75	91	6	13	50	130	55	65	16	100	25	87	85	53	10	3	1	3									
		21.09%	19.35%	28.95%	22.08%	22.52%	16.37%	13.64%	16.46%	21.46%	20.44%	29.89%	23.13%	18.18%	27.10%	23.15%	20.81%	20.88%	18.28%	18.87%	17.65%	5.26%	14.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	0	0	4	0	0	0	1	2	1	2	1	0	2	2	1	1	0	0	0	0	0									
		0.36%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	1.27%	0.86%	0.16%	1.09%	0.36%	0.00%	0.54%	1.85%	0.24%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	28	0	0	1	2	4	0	1	1	2	2	2	1	4	0	3	5	0	0	0	0	0									
		0.59%	0.00%	0.00%	0.25%	0.60%	0.72%	0.00%	1.27%	0.43%	0.31%	1.09%	0.71%	1.14%	1.08%	0.00%	0.72%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%									
