Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Кизильская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19879	1543	1534	381	914	350	561	914	356	473	106	464	140	182	873	405	272	988	184	119	656	990	210	292	1032	392	937	355	789	127	144	119	106	71	1147	1500	253									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19550	1500	1500	400	900	350	550	900	350	450	100	450	100	150	900	400	250	950	150	130	650	1000	200	250	1050	400	950	350	800	130	150	120	100	70	1100	1500	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8155	558	629	190	370	128	163	419	77	372	71	216	52	104	303	97	64	450	94	57	284	407	78	79	474	166	405	138	272	47	84	65	57	44	432	665	44									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1169	10	17	19	54	40	162	44	83	21	3	31	6	12	13	55	20	56	16	0	47	22	49	53	50	18	63	44	7	6	0	3	3	0	36	23	83									
6	Число погашенных избирательных бюллетеней	10226	932	854	191	476	182	225	437	190	57	26	203	42	34	584	248	166	444	40	73	319	571	73	118	526	216	482	168	521	77	66	52	40	26	632	812	123									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1169	10	17	19	54	40	162	44	83	21	3	31	6	12	13	55	20	56	16	0	47	22	49	53	50	18	63	44	7	6	0	3	3	0	36	23	83									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8152	558	629	190	370	128	163	416	77	372	71	216	52	104	303	97	64	450	94	57	284	407	78	79	474	166	405	138	272	47	84	65	57	44	432	665	44									
9	Число недействительных избирательных бюллетеней	194	20	12	6	7	2	2	13	2	0	1	9	2	5	13	3	3	9	4	1	4	10	0	3	5	1	10	1	12	3	4	0	0	2	9	15	1									
10	Число действительных избирательных бюллетеней	9127	548	634	203	417	166	323	447	158	393	73	238	56	111	303	149	81	497	106	56	327	419	127	129	519	183	458	181	267	50	80	68	60	42	459	673	126									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	10	10	3	5	2	2	5	2	5	1	3	1	3	5	1	5	3	1	3	6	8	1	1	10	2	8	1	10	1	1	1	1	1	10	12	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	63	3	9	3	1	0	2	2	0	0	0	0	0	0	3	1	1	3	1	0	0	5	0	0	10	0	6	0	2	0	0	0	1	0	7	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	2	4	0	4	7	0	3	0	0	2	1	0	1	0	1	1	1	0	0	1	2	0	4	0	1	4	2	2	0	0	0	0	1	5	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	82	7	1	0	4	2	0	3	2	5	1	3	1	3	2	0	4	0	0	3	6	3	1	1	0	2	2	1	8	1	1	1	0	1	3	9	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	0	3	0	4	5	5	8	4	4	2	3	1	1	3	0	2	4	0	0	3	8	1	0	4	3	5	1	3	3	3	1	1	0	4	15	3									
		1.15%	0.00%	0.46%	0.00%	0.94%	2.98%	1.54%	1.74%	2.50%	1.02%	2.70%	1.21%	1.72%	0.86%	0.95%	0.00%	2.38%	0.79%	0.00%	0.00%	0.91%	1.86%	0.79%	0.00%	0.76%	1.63%	1.07%	0.55%	1.08%	5.66%	3.57%	1.47%	1.67%	0.00%	0.85%	2.18%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	198	4	13	5	10	4	9	20	3	4	4	6	0	6	10	3	1	9	1	3	4	9	1	1	11	3	7	3	21	0	1	3	0	0	8	9	2									
		2.12%	0.70%	2.01%	2.39%	2.36%	2.38%	2.77%	4.35%	1.88%	1.02%	5.41%	2.43%	0.00%	5.17%	3.16%	1.97%	1.19%	1.78%	0.91%	5.26%	1.21%	2.10%	0.79%	0.76%	2.10%	1.63%	1.50%	1.65%	7.53%	0.00%	1.19%	4.41%	0.00%	0.00%	1.71%	1.31%	1.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	175	9	9	3	13	7	3	8	3	5	1	3	1	1	8	1	3	4	0	0	8	14	1	2	5	2	19	6	6	3	0	2	0	0	11	11	3									
		1.88%	1.58%	1.39%	1.44%	3.07%	4.17%	0.92%	1.74%	1.88%	1.27%	1.35%	1.21%	1.72%	0.86%	2.53%	0.66%	3.57%	0.79%	0.00%	0.00%	2.42%	3.26%	0.79%	1.52%	0.95%	1.09%	4.06%	3.30%	2.15%	5.66%	0.00%	2.94%	0.00%	0.00%	2.35%	1.60%	2.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4846	240	235	115	227	96	234	228	88	300	48	126	35	81	163	106	44	303	76	18	176	187	68	78	282	91	258	108	133	23	58	23	28	26	193	270	81									
		51.99%	42.25%	36.38%	55.02%	53.54%	57.14%	72.00%	49.57%	55.00%	76.34%	64.86%	51.01%	60.34%	69.83%	51.58%	69.74%	52.38%	59.88%	69.09%	31.58%	53.17%	43.59%	53.54%	59.09%	53.82%	49.46%	55.13%	59.34%	47.67%	43.40%	69.05%	33.82%	46.67%	59.09%	41.24%	39.24%	63.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	2	3	0	3	0	0	1	0	0	0	1	0	0	0	1	1	2	0	0	0	1	1	1	0	2	0	0	0	2	0	0	0	0	3	3	0									
		0.29%	0.35%	0.46%	0.00%	0.71%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.66%	1.19%	0.40%	0.00%	0.00%	0.00%	0.23%	0.79%	0.76%	0.00%	1.09%	0.00%	0.00%	0.00%	3.77%	0.00%	0.00%	0.00%	0.00%	0.64%	0.44%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0									
		0.08%	0.18%	0.15%	0.00%	0.00%	0.60%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1380	71	116	39	73	20	39	78	24	28	5	44	9	6	54	20	8	66	18	5	41	73	20	18	68	47	63	34	33	1	11	18	8	8	82	121	11									
		14.81%	12.50%	17.96%	18.66%	17.22%	11.90%	12.00%	16.96%	15.00%	7.12%	6.76%	17.81%	15.52%	5.17%	17.09%	13.16%	9.52%	13.04%	16.36%	8.77%	12.39%	17.02%	15.75%	13.64%	12.98%	25.54%	13.46%	18.68%	11.83%	1.89%	13.10%	26.47%	13.33%	18.18%	17.52%	17.59%	8.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	1	0	4	0	0									
		0.15%	0.18%	0.00%	0.00%	0.24%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.23%	0.00%	0.00%	0.19%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	0.85%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	72	0	3	0	0	0	1	5	0	3	0	1	0	0	8	0	1	4	1	0	2	5	2	1	4	0	8	2	2	0	0	1	0	0	12	6	0									
		0.77%	0.00%	0.46%	0.00%	0.00%	0.00%	0.31%	1.09%	0.00%	0.76%	0.00%	0.40%	0.00%	0.00%	2.53%	0.00%	1.19%	0.79%	0.91%	0.00%	0.60%	1.17%	1.57%	0.76%	0.76%	0.00%	1.71%	1.10%	0.72%	0.00%	0.00%	1.47%	0.00%	0.00%	2.56%	0.87%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0									
		0.13%	0.00%	0.15%	0.00%	0.00%	0.00%	0.62%	0.22%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.21%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	1	5	0	2	2	0	5	0	0	0	3	0	1	5	1	0	3	0	0	0	6	1	0	2	0	0	0	2	0	0	0	0	0	1	4	0									
		0.47%	0.18%	0.77%	0.00%	0.47%	1.19%	0.00%	1.09%	0.00%	0.00%	0.00%	1.21%	0.00%	0.86%	1.58%	0.66%	0.00%	0.59%	0.00%	0.00%	0.00%	1.40%	0.79%	0.00%	0.38%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.58%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	898	46	73	22	42	11	11	51	16	21	2	30	4	9	30	7	14	51	5	11	52	60	14	10	46	9	47	16	30	4	3	4	18	1	48	69	11									
		9.63%	8.10%	11.30%	10.53%	9.91%	6.55%	3.38%	11.09%	10.00%	5.34%	2.70%	12.15%	6.90%	7.76%	9.49%	4.61%	16.67%	10.08%	4.55%	19.30%	15.71%	13.99%	11.02%	7.58%	8.78%	4.89%	10.04%	8.79%	10.75%	7.55%	3.57%	5.88%	30.00%	2.27%	10.26%	10.03%	8.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	23	2	1	0	2	0	1	1	0	0	0	0	1	2	0	1	2	0	0	1	3	1	0	2	1	1	0	2	0	0	0	0	0	2	0	0									
		0.53%	4.05%	0.31%	0.48%	0.00%	1.19%	0.00%	0.22%	0.63%	0.00%	0.00%	0.00%	0.00%	0.86%	0.63%	0.00%	1.19%	0.40%	0.00%	0.00%	0.30%	0.70%	0.79%	0.00%	0.38%	0.54%	0.21%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1298	150	170	18	42	18	19	39	19	28	11	19	6	5	19	10	6	48	4	19	38	52	16	18	94	24	49	11	34	14	4	16	4	7	88	164	15									
		13.93%	26.41%	26.32%	8.61%	9.91%	10.71%	5.85%	8.48%	11.88%	7.12%	14.86%	7.69%	10.34%	4.31%	6.01%	6.58%	7.14%	9.49%	3.64%	33.33%	11.48%	12.12%	12.60%	13.64%	17.94%	13.04%	10.47%	6.04%	12.19%	26.42%	4.76%	23.53%	6.67%	15.91%	18.80%	23.84%	11.81%									
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
