Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Кайбицкая																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10537	295	390	578	424	460	188	305	117	402	205	379	175	461	221	466	359	323	1205	140	585	330	137	244	414	140	165	165	509	120	121	384	130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10731	295	397	592	431	472	193	306	120	405	207	383	178	466	224	470	371	335	1217	140	610	347	143	247	417	143	163	167	521	122	124	392	133									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9785	267	357	531	400	447	172	291	108	378	181	361	161	438	212	444	341	298	1106	138	496	318	118	242	349	138	150	151	493	115	119	356	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	640	23	33	38	16	13	16	12	9	16	22	11	14	17	6	17	14	18	90	2	78	9	17	2	58	0	13	14	12	3	2	27	18									
6	Число погашенных избирательных бюллетеней	306	5	7	23	15	12	5	3	3	11	4	11	3	11	6	9	16	19	21	0	36	20	8	3	10	5	0	2	16	4	3	9	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	640	23	33	38	16	13	16	12	9	16	22	11	14	17	6	17	14	18	90	2	78	9	17	2	58	0	13	14	12	3	2	27	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9783	267	357	531	400	447	172	291	108	378	181	361	161	438	212	444	341	298	1104	138	496	318	118	242	349	138	150	151	493	115	119	356	109									
9	Число недействительных избирательных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	10418	290	390	569	416	460	188	303	117	394	203	372	175	455	218	461	355	316	1191	140	574	327	135	244	405	138	163	165	505	118	121	383	127									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	277	5	5	15	5	12	5	5	5	10	1	5	5	10	5	5	9	10	50	5	25	16	4	5	5	5	5	5	10	5	5	12	3									
