Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Старожиловская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13305	1261	1565	1681	269	268	361	288	555	492	1025	1950	1431	314	354	573	918									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12900	1200	1500	1650	250	250	350	250	550	500	1000	1900	1400	300	350	550	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4907	575	658	539	66	125	146	120	179	218	417	744	366	120	160	182	292									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1275	109	35	98	80	49	45	33	41	50	149	130	185	43	25	102	101									
6	Число погашенных избирательных бюллетеней	6718	516	807	1013	104	76	159	97	330	232	434	1026	849	137	165	266	507									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1275	109	35	98	80	49	45	33	41	50	149	130	185	43	25	102	101									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4906	574	658	539	66	125	146	120	179	218	417	744	366	120	160	182	292									
9	Число недействительных избирательных бюллетеней	88	8	13	9	2	0	2	2	2	3	12	12	9	5	3	3	3									
10	Число действительных избирательных бюллетеней	6093	675	680	628	144	174	189	151	218	265	554	862	542	158	182	281	390									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	164	21	20	25	3	8	8	3	6	10	8	10	20	3	3	5	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	135	21	20	21	2	3	3	0	3	10	8	10	20	2	3	3	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	25	10	9	7	6	3	0	1	2	9	9	5	3	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	29	0	0	4	1	5	5	3	3	0	0	0	0	1	0	2	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	2	3	7	0	0	0	1	0	0	0	3	3	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	7	3	9	3	0	0	1	3	0	3	13	3	2	0	4	5									
		0.91%	1.02%	0.43%	1.41%	2.05%	0.00%	0.00%	0.65%	1.36%	0.00%	0.53%	1.49%	0.54%	1.23%	0.00%	1.41%	1.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	157	20	20	21	3	1	5	3	7	10	10	20	11	4	7	6	9									
		2.54%	2.93%	2.89%	3.30%	2.05%	0.57%	2.62%	1.96%	3.18%	3.73%	1.77%	2.29%	1.99%	2.45%	3.78%	2.11%	2.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	131	13	16	14	2	3	8	3	7	7	10	13	7	14	4	6	4									
		2.12%	1.90%	2.31%	2.20%	1.37%	1.72%	4.19%	1.96%	3.18%	2.61%	1.77%	1.49%	1.27%	8.59%	2.16%	2.11%	1.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3457	364	308	308	93	123	118	95	132	168	372	492	320	72	78	182	232									
		55.93%	53.29%	44.44%	48.35%	63.70%	70.69%	61.78%	62.09%	60.00%	62.69%	65.72%	56.29%	58.08%	44.17%	42.16%	64.08%	59.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	8	4	1	0	0	0	1	1	1	0	1	1	1	1	1	0									
		0.34%	1.17%	0.58%	0.16%	0.00%	0.00%	0.00%	0.65%	0.45%	0.37%	0.00%	0.11%	0.18%	0.61%	0.54%	0.35%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	2	2	1	0	0	1	0	0	0	1	3	0	0	0	0									
		0.16%	0.00%	0.29%	0.31%	0.68%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.11%	0.54%	0.00%	0.00%	0.00%	0.00%									
