Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Новоржевская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
1	"Число избирателей, внесенных в списки"	9930	1768	1778	515	228	578	318	367	316	130	252	132	176	507	83	273	989	405	218	547	350					
2	"Число бюллетеней, полученных участковыми комиссиями"	9946	1777	1789	513	226	570	311	362	318	133	245	137	179	498	85	273	1012	401	214	550	353					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3996	877	897	185	67	216	109	142	144	29	118	47	54	219	26	92	366	123	48	143	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2313	34	38	175	122	119	116	150	81	78	76	37	67	143	45	120	232	124	100	289	167					
6	Число погашенных бюллетеней	3637	866	854	153	37	235	86	70	93	26	51	53	58	136	14	61	414	154	66	118	92					
7	Число бюллетеней в переносных ящиках для голосования	2313	34	38	175	122	119	116	150	81	78	76	37	67	143	45	120	232	124	100	289	167					
8	Число бюллетеней в стационарных ящиках для голосования	3995	876	897	185	67	216	109	142	144	29	118	47	54	219	26	92	366	123	48	143	94					
9	Число недействительных бюллетеней	79	15	21	4	1	12	1	0	2	2	2	0	0	7	0	2	2	3	0	4	1					
10	Число действительных бюллетеней	6229	895	914	356	188	323	224	292	223	105	192	84	121	355	71	210	596	244	148	428	260					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	170	30	30	5	4	10	5	5	5	3	5	3	3	5	3	5	30	5	4	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	8	3	1	0	2	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	3	1	2	0	4	4	1	1	0	1	0	1	0	0	2	1	2	2	3	1					
14	Число погашенных открепительных удостоверений	151	22	27	4	4	8	5	3	5	3	5	3	1	5	3	5	29	5	4	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	113	18	25	9	5	7	4	1	2	0	5	1	1	7	3	1	11	6	0	2	5					
		1.79%	1.97%	2.67%	2.5%	2.64%	2.08%	1.77%	0.34%	0.88%	0.0%	2.57%	1.19%	0.82%	1.93%	4.22%	0.47%	1.83%	2.42%	0.0%	0.46%	1.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	88	17	16	3	2	2	6	0	2	0	4	0	6	1	0	2	12	3	2	5	5					
		1.39%	1.86%	1.71%	0.83%	1.05%	0.59%	2.66%	0.0%	0.88%	0.0%	2.06%	0.0%	4.95%	0.27%	0.0%	0.94%	2.00%	1.21%	1.35%	1.15%	1.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	127	22	22	4	3	5	7	8	10	1	3	1	6	5	1	0	13	3	2	6	5					
		2.01%	2.41%	2.35%	1.11%	1.58%	1.49%	3.11%	2.73%	4.44%	0.93%	1.54%	1.19%	4.95%	1.38%	1.40%	0.0%	2.17%	1.21%	1.35%	1.38%	1.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	78	15	18	1	0	7	1	3	0	3	2	0	2	7	2	0	7	4	1	5	0					
		1.23%	1.64%	1.92%	0.27%	0.0%	2.08%	0.44%	1.02%	0.0%	2.80%	1.03%	0.0%	1.65%	1.93%	2.81%	0.0%	1.17%	1.61%	0.67%	1.15%	0.0%					
22	"5. ""За Русь Святую"""	27	0	5	0	1	6	5	1	2	0	0	0	0	1	0	0	3	2	0	0	1					
		0.42%	0.0%	0.53%	0.0%	0.52%	1.79%	2.22%	0.34%	0.88%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.50%	0.80%	0.0%	0.0%	0.38%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	0	4	0	0	2	2	2	1	0	0	0	0	0	0	0	1	0	0	0	2					
		0.22%	0.0%	0.42%	0.0%	0.0%	0.59%	0.88%	0.68%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.76%					
24	"7. ""Новый курс - Автомобильная Россия"""	34	0	7	0	2	3	0	1	3	0	3	0	0	4	1	0	4	3	0	2	1					
