Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Краснотурьинская городская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48420	754	486	764	1957	1341	1049	388	1767	1921	1036	662	1320	2257	1980	1622	1645	330	1526	1208	1148	1428	1541	1113	861	482	736	1124	664	477	873	1385	903	952	1379	2283	1483	1409	272	1103	203	179	2409									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38600	600	400	600	1500	1100	800	300	1400	1500	800	500	1000	1800	1600	1300	1300	400	1200	1000	900	1100	1200	900	700	400	600	900	500	400	700	1100	700	800	1100	1800	1200	1100	200	900	200	200	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18627	241	155	278	723	492	234	129	725	728	307	113	494	930	773	681	612	169	667	505	478	604	498	436	365	176	294	499	270	190	384	544	333	402	629	939	551	486	43	473	69	79	929									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	488	14	14	16	27	7	7	2	11	3	4	10	14	10	11	14	12	0	11	8	6	8	12	7	7	1	10	13	4	6	8	7	3	6	16	12	7	77	58	14	0	1	10									
6	Число погашенных избирательных бюллетеней	19484	345	231	306	750	601	559	169	664	769	489	377	491	860	816	605	676	231	522	487	416	488	690	457	328	223	296	388	226	204	308	549	364	392	455	849	642	537	99	413	131	120	961									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	488	14	14	16	27	7	7	2	11	3	4	10	14	10	11	14	12	0	11	8	6	8	12	7	7	1	10	13	4	6	8	7	3	6	16	12	7	77	58	14	0	1	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18612	241	155	278	723	492	234	129	725	728	307	113	494	919	773	681	612	169	667	505	478	604	496	436	365	176	294	498	270	190	384	544	333	402	629	939	551	486	43	473	69	79	928									
9	Число недействительных избирательных бюллетеней	626	14	7	12	27	27	7	7	26	21	9	3	15	26	21	23	19	1	17	18	15	11	14	21	8	3	10	18	9	6	17	16	12	13	26	29	18	28	7	18	0	2	25									
10	Число действительных избирательных бюллетеней	18474	241	162	282	723	472	234	124	710	710	302	120	493	903	763	672	605	168	661	495	469	601	494	422	364	174	294	493	265	190	375	535	324	395	619	922	540	535	94	469	69	78	913									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1000	16	10	16	40	28	22	8	37	40	22	14	27	40	40	34	34	0	32	25	24	30	32	23	18	10	16	23	14	10	18	29	19	20	29	40	31	28	4	23	4	20	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	240	2	4	0	5	10	4	0	3	10	6	2	2	16	11	14	13	0	11	5	6	8	3	3	6	5	4	1	1	2	1	6	5	3	11	9	4	8	1	3	2	20	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	168	2	5	4	5	3	3	0	1	5	4	4	3	3	4	9	4	2	14	3	7	4	4	7	3	0	3	6	3	1	7	4	2	9	3	7	0	1	6	4	2	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	760	14	6	16	35	18	18	8	34	30	16	12	25	24	29	20	21	0	21	20	18	22	29	20	12	5	12	22	13	8	17	23	14	17	18	31	27	20	3	20	2	0	40									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	0	1	0	1	3	2	0	2	4	0	0	1	0	0	1	5	0	1	2	1	1	0	1	0	1	2	3	1	0	4	0	0	4	0	0	1	0	0	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	259	2	4	8	7	8	4	2	13	14	2	1	3	16	8	10	7	3	3	11	9	10	7	8	1	1	3	4	8	3	3	10	5	5	9	10	8	12	1	8	1	0	7									
		1.36%	0.78%	2.37%	2.72%	0.93%	1.60%	1.66%	1.53%	1.77%	1.92%	0.64%	0.81%	0.59%	1.72%	1.02%	1.44%	1.12%	1.78%	0.44%	2.14%	1.86%	1.63%	1.38%	1.81%	0.27%	0.56%	0.99%	0.78%	2.92%	1.53%	0.77%	1.81%	1.49%	1.23%	1.40%	1.05%	1.43%	2.13%	0.99%	1.64%	1.45%	0.00%	0.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	546	10	3	10	23	24	6	4	29	20	6	3	19	37	26	20	17	7	16	8	10	13	9	12	8	6	10	17	5	3	11	11	8	8	28	24	14	17	1	13	4	1	25									
		2.86%	3.92%	1.78%	3.40%	3.07%	4.81%	2.49%	3.05%	3.94%	2.74%	1.93%	2.44%	3.74%	3.98%	3.32%	2.88%	2.72%	4.14%	2.36%	1.56%	2.07%	2.12%	1.77%	2.71%	2.15%	3.39%	3.29%	3.33%	1.82%	1.53%	2.81%	1.99%	2.38%	1.96%	4.34%	2.52%	2.51%	3.02%	0.99%	2.67%	5.80%	1.25%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	535	6	2	9	22	20	7	3	11	18	4	2	13	17	22	22	20	7	26	15	7	15	17	10	15	5	15	16	10	4	4	20	8	15	19	52	11	15	0	10	0	1	20									
		2.80%	2.35%	1.18%	3.06%	2.93%	4.01%	2.90%	2.29%	1.49%	2.46%	1.29%	1.63%	2.56%	1.83%	2.81%	3.17%	3.21%	4.14%	3.83%	2.92%	1.45%	2.45%	3.35%	2.26%	4.03%	2.82%	4.93%	3.13%	3.65%	2.04%	1.02%	3.63%	2.38%	3.68%	2.95%	5.47%	1.97%	2.66%	0.00%	2.05%	0.00%	1.25%	2.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7615	98	79	121	269	177	96	59	290	253	139	37	214	359	311	298	235	77	261	214	204	252	223	193	144	65	112	180	110	79	160	244	135	157	241	367	248	219	45	195	38	52	365									
		39.87%	38.43%	46.75%	41.16%	35.87%	35.47%	39.83%	45.04%	39.40%	34.61%	44.69%	30.08%	42.13%	38.64%	39.67%	42.88%	37.66%	45.56%	38.50%	41.72%	42.15%	41.18%	43.90%	43.57%	38.71%	36.72%	36.84%	35.23%	40.15%	40.31%	40.82%	44.28%	40.18%	38.48%	37.36%	38.59%	44.44%	38.90%	44.55%	40.04%	55.07%	65.00%	38.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	136	4	2	2	8	1	0	0	4	7	2	0	4	8	11	7	2	2	6	2	1	4	2	1	1	2	3	4	1	1	4	3	1	6	5	7	1	3	0	3	0	0	11									
