Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Борская																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	98219	1286	1310	1356	1280	1271	1169	1609	1554	1527	1376	1276	629	1395	1520	1237	1464	1068	1109	1361	1040	1295	1363	1142	1248	1202	1151	1037	836	1227	958	1243	1466	1424	1042	1179	2179	1215	1461	232	267	1192	1001	1147	1054	1356	1254	1047	927	1208	1193	1687	1002	1111	781	1021	1059	1072	1045	1066	1108	693	257	906	930	924	1186	1394	932	1148	875	489	920	1049	1285	459	566	1786	1804	293	924	698	722	295	631	1459	1633	1250	485	367	524									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86473	1200	1250	1200	1200	1300	1150	1300	1450	1450	1300	1200	650	1350	1450	1150	1350	296	1100	1250	448	1250	1250	479	1200	1150	401	1000	600	1150	900	1200	1400	1200	1000	399	2000	1150	1400	300	600	1100	950	278	274	1300	1150	326	850	1150	331	1600	950	1100	750	191	1050	950	1000	1050	1050	650	250	900	900	850	1150	1300	900	1100	850	500	900	1000	1200	450	600	1700	1800	250	900	700	700	300	650	1400	1600	1200	450	350	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30683	442	558	553	446	404	388	503	1013	467	499	372	100	355	437	428	443	270	267	335	375	378	414	469	457	356	376	318	279	361	592	424	939	458	293	278	526	361	499	72	267	413	362	243	249	416	487	325	313	308	283	596	250	268	128	74	369	280	388	329	379	90	59	296	376	219	328	484	357	153	345	150	248	150	351	166	110	365	481	58	328	181	199	79	204	431	410	475	116	93	149									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7775	0	97	14	4	82	63	49	37	38	71	11	51	108	106	36	69	26	86	81	73	21	12	10	9	47	25	17	22	122	23	29	13	53	59	121	19	98	38	160	0	11	2	35	25	68	42	1	31	99	48	49	19	118	160	117	146	187	277	163	126	226	101	157	111	113	148	86	112	298	114	62	159	231	214	47	39	244	260	130	109	223	135	38	82	53	20	190	134	75	140									
6	Число погашенных избирательных бюллетеней	48016	758	595	633	750	814	699	748	400	945	730	817	499	887	907	686	838	0	747	834	0	851	824	0	734	747	0	665	299	667	285	747	448	689	648	1	1455	691	863	68	333	676	586	0	0	816	621	0	506	743	0	955	681	714	462	0	535	483	335	558	545	334	90	447	413	518	674	730	431	649	391	288	493	619	635	237	451	1091	1059	62	463	296	366	183	364	916	1170	535	200	182	211									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7773	0	97	14	4	82	63	49	37	38	71	11	51	108	106	36	69	26	86	81	73	21	12	10	9	47	25	17	22	122	23	29	13	53	59	120	19	98	38	160	0	11	2	35	25	68	42	1	31	99	47	49	19	118	160	117	146	187	277	163	126	226	101	157	111	113	148	86	112	298	114	62	159	231	214	47	39	244	260	130	109	223	135	38	82	53	20	190	134	75	140									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30658	442	558	553	446	404	388	503	1013	467	499	372	100	355	437	428	443	270	267	335	375	378	414	469	457	356	376	318	257	361	592	424	939	458	293	278	526	361	499	72	267	413	362	243	249	416	487	325	312	308	283	596	250	268	128	74	369	280	388	327	379	90	59	296	376	219	328	484	357	153	345	150	248	150	351	166	110	365	481	58	328	181	199	79	204	431	410	475	116	93	149									
9	Число недействительных избирательных бюллетеней	425	2	5	9	14	0	10	8	6	5	9	12	2	6	7	2	11	1	7	8	0	2	7	1	9	8	2	4	0	5	3	4	4	4	3	1	2	5	3	1	0	0	3	5	3	9	3	0	6	1	2	11	6	10	2	1	5	2	0	3	8	5	3	3	0	4	17	2	2	2	2	1	7	4	9	11	3	1	20	0	6	4	2	1	10	2	8	8	4	7	5									
10	Число действительных избирательных бюллетеней	38006	440	650	558	436	486	441	544	1044	500	561	371	149	457	536	462	501	295	346	408	448	397	419	478	457	395	399	331	279	478	612	449	948	507	349	397	543	454	534	231	267	424	361	273	271	475	526	326	337	406	328	634	263	376	286	190	510	465	665	487	497	311	157	450	487	328	459	568	467	449	457	211	400	377	556	202	146	608	721	188	431	400	332	116	276	482	422	657	246	161	284									
