Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Горячеключевская 																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1099									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47725	2168	1222	1700	1884	1692	1819	2524	1755	2616	2638	576	2617	2621	2068	137	627	146	243	595	330	1350	919	1451	1332	1973	839	1566	949	855	735	1798	156	206	243	341	3034									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43012	1800	1000	1400	1500	1500	1500	2000	1500	2200	2200	575	2300	2100	2000	142	675	143	270	630	347	1300	1000	1400	1200	1600	900	1500	950	900	775	1600	158	224	288	335	3100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24218	957	520	675	1065	600	685	1021	809	1335	1222	321	1229	969	982	73	315	52	180	242	139	744	566	739	752	1161	529	846	521	345	218	1015	96	101	102	169	2923									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2617	163	116	50	81	39	55	41	51	63	149	12	119	54	160	12	17	16	28	52	59	136	49	193	60	89	54	97	89	51	298	133	9	16	0	6	0									
6	Число погашенных избирательных бюллетеней	16177	680	364	675	354	861	760	938	640	802	829	242	952	1077	858	57	343	75	62	336	149	420	385	468	388	350	317	557	340	504	259	452	53	107	186	160	177									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2617	163	116	50	81	39	55	41	51	63	149	12	119	54	160	12	17	16	28	52	59	136	49	193	60	89	54	97	89	51	298	133	9	16	0	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24214	957	520	675	1065	600	685	1021	809	1335	1222	321	1229	969	982	73	315	52	180	242	139	744	564	739	752	1161	529	846	521	345	218	1013	96	101	102	169	2923									
9	Число недействительных избирательных бюллетеней	411	10	36	7	8	5	26	19	14	19	21	4	22	23	16	5	5	1	3	14	2	6	19	5	0	17	3	15	14	12	17	28	2	1	3	2	7									
10	Число действительных избирательных бюллетеней	26420	1110	600	718	1138	634	714	1043	846	1379	1350	329	1326	1000	1126	80	327	67	205	280	196	874	594	927	812	1233	580	928	596	384	499	1118	103	116	99	173	2916									
