Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Пономаревская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414					
1	"Число избирателей, внесенных в списки избирателей"	12747	554	286	113	512	51	686	1038	231	83	351	96	486	185	532	406	313	65	146	384	306	238	682	163	1481	600	720	1514	106	419					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12595	550	280	110	514	50	659	1000	230	85	353	96	480	180	550	393	298	75	165	400	310	235	714	161	1500	580	700	1415	105	407					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8935	418	240	93	251	40	437	774	195	65	318	81	266	119	442	366	225	61	94	290	211	168	488	95	1132	362	392	913	103	296					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1126	36	35	11	61	2	51	34	21	6	29	9	119	40	33	7	41	0	43	63	76	52	49	11	68	38	75	54	0	62					
6	Число погашенных избирательных бюллетеней	2534	96	5	6	202	8	171	192	14	14	6	6	95	21	75	20	32	14	28	47	23	15	177	55	300	180	233	448	2	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1126	36	35	11	61	2	51	34	21	6	29	9	119	40	33	7	41	0	43	63	76	52	49	11	68	38	75	54	0	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8933	418	240	93	251	40	437	774	195	65	318	81	266	119	442	366	225	61	94	290	211	168	488	95	1130	362	392	913	103	296					
9	Число недействительных избирательных бюллетеней	79	5	2	1	0	1	6	2	1	2	0	0	4	3	8	1	0	2	0	7	2	4	4	1	10	1	1	6	0	5					
10	Число действительных избирательных бюллетеней	9980	449	273	103	312	41	482	806	215	69	347	90	381	156	467	372	266	59	137	346	285	216	533	105	1188	399	466	961	103	353					
