Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Тулунская городская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1911	УИК №1912									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34835	1118	580	910	856	1535	1142	459	595	677	828	810	772	913	771	811	1091	1577	677	954	849	771	831	782	942	793	697	1238	697	893	1022	615	846	1006	796	686	1010	961	957	1024	93	250									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32100	1000	500	850	800	1500	1100	400	550	600	750	750	700	850	700	750	1000	1500	600	850	750	700	750	700	900	700	600	1200	650	850	950	550	750	950	700	600	900	900	900	1000	100	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10023	292	213	285	251	385	349	168	244	191	279	268	230	298	271	263	317	358	193	265	269	260	194	180	263	263	205	427	151	220	324	209	199	179	205	185	254	200	188	209	69	250									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	885	40	14	32	18	21	26	10	7	9	12	7	13	21	9	12	50	25	14	15	21	11	21	115	9	12	23	20	34	77	50	14	12	18	8	7	9	14	21	34	0	0									
6	Число погашенных избирательных бюллетеней	21192	668	273	533	531	1094	725	222	299	400	459	475	457	531	420	475	633	1117	393	570	460	429	535	405	628	425	372	753	465	553	576	327	539	753	487	408	637	686	691	757	31	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	885	40	14	32	18	21	26	10	7	9	12	7	13	21	9	12	50	25	14	15	21	11	21	115	9	12	23	20	34	77	50	14	12	18	8	7	9	14	21	34	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10023	292	213	285	251	385	349	168	244	191	279	268	230	298	271	263	317	358	193	265	269	260	194	180	263	263	205	427	151	220	324	209	199	179	205	185	254	200	188	209	69	250									
9	Число недействительных избирательных бюллетеней	244	3	5	2	5	12	10	3	5	3	5	6	10	6	4	8	6	9	6	11	3	9	7	6	12	6	4	8	3	12	12	1	5	2	5	2	2	7	4	11	0	4									
10	Число действительных избирательных бюллетеней	10664	329	222	315	264	394	365	175	246	197	286	269	233	313	276	267	361	374	201	269	287	262	208	289	260	269	224	439	182	285	362	222	206	195	208	190	261	207	205	232	69	246									
