Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Белорецкая																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374					
1	"Число избирателей, внесенных в список избирателей"	76770	2515	2257	2318	1248	964	2591	475	2422	2276	2456	1614	2473	1711	789	1954	1014	1700	1083	973	1152	509	1408	378	2279	2045	461	1826	923	2012	1015	1077	1333	516	158	157	130	145	601	335	186	1369	521	464	442	332	442	591	172	445	220	161	293	307	93	103	790	909	211	844	603	609	418	381	371	536	354	551	88	254	446	493	269	198	98	988	173	350	609	728	714	668	751	148	81	90	296	274	358	255	558	1746	260	1866					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79380	2460	2410	2350	1360	960	2540	960	2520	2230	2300	1660	2460	1700	800	2020	1010	1880	1060	990	1150	620	1400	360	2400	2100	490	1800	900	1800	970	960	1310	580	160	150	150	150	620	350	200	1400	600	600	500	400	550	650	190	500	250	190	350	320	110	110	800	910	220	900	700	700	500	400	400	550	400	600	90	250	450	500	270	200	120	1060	210	320	800	750	710	660	760	200	100	100	300	270	400	250	600	1800	270	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	52657	1646	1446	1266	935	804	1749	415	1613	1370	1803	1479	2003	915	611	1426	590	1102	538	660	1021	414	1021	175	1197	1771	172	857	340	742	288	569	971	512	153	150	130	127	546	335	175	1048	402	418	416	188	344	460	163	430	202	142	231	251	54	93	700	815	179	579	552	571	233	380	263	410	341	363	74	187	368	439	263	149	92	541	171	199	518	421	451	422	620	138	72	87	254	199	321	209	502	778	245	672					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5998	81	84	350	172	28	143	60	239	118	226	87	82	119	39	336	38	79	72	45	36	85	109	44	137	116	118	295	95	93	60	174	210	4	0	0	0	4	0	0	3	73	85	38	26	49	83	51	9	0	9	19	43	50	32	4	40	50	12	184	27	21	137	0	40	68	5	25	8	9	21	29	0	0	3	29	2	38	91	43	81	163	40	10	9	0	6	12	4	3	0	134	8	94					
6	Число погашенных избирательных бюллетеней	20725	733	880	734	253	128	648	485	668	742	271	94	375	666	150	258	382	699	450	285	93	121	270	141	1066	213	200	648	465	965	622	217	129	64	7	0	20	19	74	15	22	279	113	144	58	163	123	139	18	70	39	29	76	19	24	13	60	45	29	137	121	108	130	20	97	72	54	212	8	54	61	32	7	51	25	490	37	83	191	286	178	75	100	52	19	13	40	59	75	38	98	888	17	1084					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5998	81	84	350	172	28	143	60	239	118	226	87	82	119	39	336	38	79	72	45	36	85	109	44	137	116	118	295	95	93	60	174	210	4	0	0	0	4	0	0	3	73	85	38	26	49	83	51	9	0	9	19	43	50	32	4	40	50	12	184	27	21	137	0	40	68	5	25	8	9	21	29	0	0	3	29	2	38	91	43	81	163	40	10	9	0	6	12	4	3	0	134	8	94					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52428	1646	1446	1266	935	804	1749	415	1613	1370	1577	1479	2003	915	611	1425	590	1102	538	660	1021	414	1021	175	1197	1771	172	857	340	741	288	569	971	512	153	150	130	127	546	335	175	1048	402	418	416	188	344	460	163	430	202	142	231	251	54	93	700	815	179	579	552	571	233	380	263	410	341	363	74	187	367	439	263	149	92	541	171	199	518	421	451	422	620	138	72	87	254	199	321	209	502	778	245	672					
9	Число недействительных избирательных бюллетеней	862	56	16	12	14	0	25	0	13	34	29	6	19	8	8	13	2	7	7	5	11	4	6	3	25	20	4	16	6	17	2	11	9	7	1	0	11	3	31	0	4	14	45	4	29	1	5	9	26	8	21	0	42	2	3	2	3	0	0	5	26	1	1	0	3	2	4	5	1	4	2	2	27	3	0	10	13	3	0	6	1	9	4	3	1	0	2	0	11	0	2	13	1	18					
10	Число действительных избирательных бюллетеней	57564	1671	1514	1604	1093	832	1867	475	1839	1454	1774	1560	2066	1026	642	1748	626	1174	603	700	1046	495	1124	216	1309	1867	286	1136	429	817	346	732	1172	509	152	150	119	128	515	335	174	1107	442	452	413	236	422	502	146	422	190	161	232	299	83	95	737	865	191	758	553	591	369	380	300	476	342	383	81	192	386	466	236	146	95	560	160	234	609	458	531	576	656	145	80	87	258	211	314	212	500	899	252	748					
