Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																														
Дата голосования: 02.12.2007																																																																																																														
																																																																																																														
Наименование Избирательной комиссии:    Белорецкая																																																																																																														
																																																																																																														
Сводная таблица результатов выборов																																																																																																														
																																																																																																														
		Сумма	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389					
1	"Число избирателей, внесенных в списки избирателей"	67792	1770	1113	1441	2018	877	1183	1299	1558	1735	1219	1136	940	741	731	1542	1819	1397	927	1218	323	1029	1762	277	1650	954	1585	1788	1072	703	2269	333	905	587	823	823	938	844	288	168	235	290	139	61	575	461	144	140	144	146	784	856	169	896	753	268	255	90	89	486	300	280	497	437	305	130	94	112	78	185	463	433	353	451	382	887	1663	185	73	93	272	249	169	840	251	431	61	82	204	492	625	712	600	880	681	573	372	542	313	346	439	255	150	86					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	66800	1700	1100	1300	1800	800	1000	1200	1500	1500	1200	1000	900	800	700	1400	1700	1300	1300	1100	400	1100	1700	300	1400	1000	1700	1400	1200	700	2000	400	800	600	800	900	700	800	300	180	200	300	150	60	500	500	160	140	150	150	800	900	190	900	700	300	300	130	100	500	300	280	600	500	350	130	100	140	100	200	500	500	300	500	400	900	1500	200	90	100	300	300	200	900	300	500	80	90	220	500	700	700	600	900	700	700	400	500	350	400	450	250	160	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	51023	1143	873	1006	1385	659	623	877	1202	1269	810	725	657	512	480	1000	1162	1174	848	1027	277	985	1154	247	889	906	923	1033	751	355	1299	225	748	471	464	697	491	640	234	168	184	249	134	57	473	457	144	140	134	143	510	781	153	701	516	195	200	55	88	485	300	280	469	418	305	130	70	104	68	185	373	401	238	261	382	637	1388	168	70	93	268	245	167	770	235	363	54	69	181	405	564	612	429	796	627	473	312	414	306	337	391	247	149	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4974	61	199	51	101	43	84	41	77	76	73	46	64	52	19	81	22	91	79	60	46	44	305	30	186	35	50	337	104	44	92	18	50	31	147	34	68	10	54	0	11	14	5	0	0	4	0	0	10	3	250	75	11	103	41	49	40	32	0	0	0	0	28	19	0	0	19	8	10	0	52	24	56	149	0	207	75	17	3	0	4	4	2	54	16	28	6	9	11	62	61	28	122	44	0	43	58	86	7	9	0	0	0	0					
6	Число погашенных избирательных бюллетеней	10803	496	28	243	314	98	293	282	221	155	317	229	179	236	201	319	516	35	373	13	77	71	241	23	325	59	727	30	345	301	609	157	2	98	189	169	141	150	12	12	5	37	11	3	27	39	16	0	6	4	40	44	26	96	143	56	60	43	12	15	0	0	103	63	45	0	11	28	22	15	75	75	6	90	18	56	37	15	17	7	28	51	31	76	49	109	20	12	28	33	75	60	49	60	73	184	30	0	37	54	59	3	11	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4974	61	199	51	101	43	84	41	77	76	73	46	64	52	19	81	22	91	79	60	46	44	305	30	186	35	50	337	104	44	92	18	50	31	147	34	68	10	54	0	11	14	5	0	0	4	0	0	10	3	250	75	11	103	41	49	40	32	0	0	0	0	28	19	0	0	19	8	10	0	52	24	56	149	0	207	75	17	3	0	4	4	2	54	16	28	6	9	11	62	61	28	122	44	0	43	58	86	7	9	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50988	1143	873	1006	1385	659	622	877	1202	1269	810	725	657	512	480	1000	1162	1174	848	1027	277	985	1154	247	889	906	923	1033	751	355	1299	225	748	471	464	697	491	640	234	168	184	249	134	57	473	457	144	140	134	143	510	781	153	701	482	195	200	55	88	485	300	280	469	418	305	130	70	104	68	185	373	401	238	261	382	637	1388	168	70	93	268	245	167	770	235	363	54	69	181	405	564	612	429	796	627	473	312	414	306	337	391	247	149	81					
9	Число недействительных избирательных бюллетеней	509	12	3	7	7	3	9	10	6	16	8	5	8	11	4	7	12	20	0	0	4	6	6	5	12	0	14	7	0	4	7	1	34	5	3	4	5	9	2	5	1	5	0	0	12	1	2	0	17	0	10	8	2	3	7	8	2	6	0	17	0	0	4	3	2	1	0	0	0	1	3	4	5	3	0	5	21	1	2	0	0	1	1	5	0	2	0	2	0	0	0	0	0	4	4	9	2	3	2	12	4	20	1	0					
10	Число действительных избирательных бюллетеней	55453	1192	1069	1050	1479	699	697	908	1273	1329	875	766	713	553	495	1074	1172	1245	927	1087	319	1023	1453	272	1063	941	959	1363	855	395	1384	242	764	497	608	727	554	641	286	163	194	258	139	57	461	460	142	140	127	146	750	848	162	801	516	236	238	81	88	468	300	280	493	434	303	129	89	112	78	184	422	421	289	407	382	839	1442	184	71	93	272	248	168	819	251	389	60	76	192	467	625	640	551	836	623	507	368	497	311	334	387	227	148	81					
