Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																														
Дата голосования: 18.09.2016																																																																														
																																																																														
"Наименование Избирательной комиссии:    Набережные Челны, Центральная"																																																																														
																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																														
																																																																														
		Сумма	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	141108	1776	2487	2027	2287	2327	2061	2366	2266	2414	2296	2251	2533	2354	1940	2039	2367	2141	1996	1623	1672	1287	2205	2362	2432	2278	1843	1950	2295	2367	2277	2217	2258	2070	2036	2270	2069	2359	2301	2308	1199	2215	1883	2358	2273	2323	2057	2202	2262	2261	2365	1710	1736	1723	1993	1208	1385	2326	2235	2398	2090	2080	2178	2214	1930	2180	1848	2069									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	141800	1700	2500	2000	2300	2400	2100	2400	2300	2400	2300	2300	2500	2300	2000	2000	2400	2100	2000	1700	1700	1200	2200	2400	2500	2300	1900	2000	2300	2400	2300	2200	2300	2100	2000	2300	2100	2400	2300	2300	1200	2200	1900	2300	2300	2300	2000	2300	2300	2300	2300	1700	1700	1700	2000	1200	1400	2300	2300	2500	2100	2100	2200	2200	2000	2200	1900	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	115164	1367	2003	1599	1938	1895	1647	1953	1858	1985	1908	1836	2088	1921	1633	1738	1908	1777	1617	1297	1402	901	1795	1928	1898	1893	1524	1554	1875	1939	1847	1727	1838	1695	1669	1827	1674	1936	1850	1983	993	1918	1534	2075	1881	1893	1664	1782	1845	1864	1929	1410	1414	1492	1629	991	1137	1685	1813	2027	1677	1723	1738	1791	1579	1738	1527	1692									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	928	2	11	1	7	13	2	11	4	7	8	5	5	10	10	15	5	21	19	3	10	93	13	14	121	15	6	2	6	2	0	5	10	3	20	34	22	23	37	20	2	9	11	5	6	12	22	11	9	12	12	9	10	10	8	12	7	12	16	12	16	3	26	36	7	6	8	4									
6	Число погашенных избирательных бюллетеней	25708	331	486	400	355	492	451	436	438	408	384	459	407	369	357	247	487	302	364	400	288	206	392	458	481	392	370	444	419	459	453	468	452	402	311	439	404	441	413	297	205	273	355	220	413	395	314	507	446	424	359	281	276	198	363	197	256	603	471	461	407	374	436	373	414	456	365	304									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	928	2	11	1	7	13	2	11	4	7	8	5	5	10	10	15	5	21	19	3	10	93	13	14	121	15	6	2	6	2	0	5	10	3	20	34	22	23	37	20	2	9	11	5	6	12	22	11	9	12	12	9	10	10	8	12	7	12	16	12	16	3	26	36	7	6	8	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	115139	1367	2003	1599	1938	1895	1647	1953	1858	1985	1906	1832	2081	1921	1633	1738	1908	1777	1615	1295	1399	901	1795	1928	1896	1893	1522	1554	1875	1939	1847	1727	1838	1695	1669	1827	1674	1936	1850	1983	993	1918	1534	2075	1881	1893	1664	1782	1845	1864	1929	1410	1414	1491	1629	991	1137	1685	1813	2027	1677	1723	1738	1791	1579	1738	1527	1692									
9	Число недействительных избирательных бюллетеней	553	6	9	2	34	5	0	16	5	6	2	2	7	0	19	1	10	20	10	1	3	6	0	0	6	0	7	6	7	203	5	0	9	0	0	0	0	5	3	2	12	0	4	0	0	0	21	0	0	0	6	0	0	2	8	1	15	9	18	12	0	0	0	0	21	0	0	7									
10	Число действительных избирательных бюллетеней	115514	1363	2005	1598	1911	1903	1649	1948	1857	1986	1912	1835	2079	1931	1624	1752	1903	1778	1624	1297	1406	988	1808	1942	2011	1908	1521	1550	1874	1738	1842	1732	1839	1698	1689	1861	1696	1954	1884	2001	983	1927	1541	2080	1887	1905	1665	1793	1854	1876	1935	1419	1424	1499	1629	1002	1129	1688	1811	2027	1693	1726	1764	1827	1565	1744	1535	1689									
