Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Усть-Канская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в списки"	10240	315	172	364	86	100	223	156	363	98	2442	514	729	1025	94	157	1112	118	344	84	598	89	175	602	280					
2	"Число бюллетеней, полученных участковыми комиссиями"	10180	310	160	355	85	100	225	160	360	95	2400	520	725	1020	95	155	1120	120	340	90	600	95	170	600	280					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6244	208	107	247	80	100	129	103	250	86	1169	349	540	519	75	107	642	87	251	78	360	85	126	356	190					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	287	13	13	26	0	0	9	2	18	6	41	17	21	16	1	0	20	9	6	6	13	4	2	31	13					
6	Число погашенных бюллетеней	3649	89	40	82	5	0	87	55	92	3	1190	154	164	485	19	48	458	24	83	6	227	6	42	213	77					
7	Число бюллетеней в переносных ящиках для голосования	287	13	13	26	0	0	9	2	18	6	41	17	21	16	1	0	20	9	6	6	13	4	2	31	13					
8	Число бюллетеней в стационарных ящиках для голосования	6243	208	107	247	80	100	129	103	250	86	1169	349	540	519	75	107	641	87	251	78	360	85	126	356	190					
9	Число недействительных бюллетеней	161	4	1	5	2	3	9	3	0	1	34	7	16	9	4	4	18	1	7	0	12	3	7	7	4					
10	Число действительных бюллетеней	6369	217	119	268	78	97	129	102	268	91	1176	359	545	526	72	103	643	95	250	84	361	86	121	380	199					
