Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Среднеуральская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524					
1	"Число избирателей, внесенных в списки"	15364	2882	1904	1706	2236	1752	1130	2334	1420					
2	"Число бюллетеней, полученных участковыми комиссиями"	15100	2900	1900	1700	2200	1700	1100	2200	1400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5943	1008	750	735	881	737	412	940	480					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	237	51	35	23	13	28	22	20	45					
6	Число погашенных бюллетеней	8920	1841	1115	942	1306	935	666	1240	875					
7	Число бюллетеней в переносных ящиках для голосования	237	51	35	23	13	28	22	20	45					
8	Число бюллетеней в стационарных ящиках для голосования	5942	1008	750	735	881	737	412	939	480					
9	Число недействительных бюллетеней	92	10	21	5	16	19	3	11	7					
10	Число действительных бюллетеней	6087	1049	764	753	878	746	431	948	518					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	20	10	10	15	10	10	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	16	3	0	3	4	0	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	9	4	3	2	1	2	2	2					
14	Число погашенных открепительных удостоверений	63	4	7	10	12	6	10	9	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	40	6	2	4	2	8	4	6	8					
		0.64%	0.56%	0.25%	0.52%	0.22%	1.04%	0.92%	0.62%	1.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	331	70	44	46	40	33	22	52	24					
		5.35%	6.61%	5.60%	6.06%	4.47%	4.31%	5.06%	5.42%	4.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	517	101	53	62	92	71	39	59	40					
		8.36%	9.53%	6.75%	8.17%	10.29%	9.28%	8.98%	6.15%	7.61%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	271	44	38	35	33	27	9	55	30					
		4.38%	4.15%	4.84%	4.61%	3.69%	3.52%	2.07%	5.73%	5.71%					
22	"5. ""За Русь Святую"""	36	3	6	6	5	4	2	5	5					
		0.58%	0.28%	0.76%	0.79%	0.55%	0.52%	0.46%	0.52%	0.95%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	3	4	2	0	2	0	1	2					
		0.22%	0.28%	0.50%	0.26%	0.0%	0.26%	0.0%	0.10%	0.38%					
24	"7. ""Новый курс - Автомобильная Россия"""	51	13	2	4	9	7	2	7	7					
		0.82%	1.22%	0.25%	0.52%	1.00%	0.91%	0.46%	0.72%	1.33%					
25	"8. ""Народно-республиканская партия России"""	8	0	1	1	1	1	2	1	1					
		0.12%	0.0%	0.12%	0.13%	0.11%	0.13%	0.46%	0.10%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	4	4	4	3	5	4	8	1					
		0.53%	0.37%	0.50%	0.52%	0.33%	0.65%	0.92%	0.83%	0.19%					
27	"10. ""Аграрная партия России"""	214	27	25	20	23	27	23	51	18					
		3.46%	2.54%	3.18%	2.63%	2.57%	3.52%	5.29%	5.31%	3.42%					
28	"11. ""Истинные патриоты России"""	4	0	1	1	0	1	0	1	0					
