Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Волчанская городская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233					
1	"Число избирателей, внесенных в списки"	8792	1879	1670	1687	1736	1820					
2	"Число бюллетеней, полученных участковыми комиссиями"	9000	1800	1800	1800	1800	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4642	1008	846	918	891	979					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	227	32	34	75	25	61					
6	Число погашенных бюллетеней	4131	760	920	807	884	760					
7	Число бюллетеней в переносных ящиках для голосования	227	32	34	75	25	61					
8	Число бюллетеней в стационарных ящиках для голосования	4642	1008	846	918	891	979					
9	Число недействительных бюллетеней	160	20	25	33	23	59					
10	Число действительных бюллетеней	4709	1020	855	960	893	981					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	5	3	4	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	4	0	2	1					
14	Число погашенных открепительных удостоверений	83	15	17	16	17	18					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	47	7	15	9	6	10					
		0.96%	0.67%	1.70%	0.90%	0.65%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	192	46	43	28	42	33					
		3.94%	4.42%	4.88%	2.81%	4.58%	3.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	229	39	35	51	47	57					
		4.70%	3.75%	3.97%	5.13%	5.13%	5.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	106	26	18	22	14	26					
		2.17%	2.5%	2.04%	2.21%	1.52%	2.5%					
22	"5. ""За Русь Святую"""	36	10	8	6	4	8					
		0.73%	0.96%	0.90%	0.60%	0.43%	0.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	3	1	3	4	4					
		0.30%	0.28%	0.11%	0.30%	0.43%	0.38%					
24	"7. ""Новый курс - Автомобильная Россия"""	23	4	4	4	7	4					
		0.47%	0.38%	0.45%	0.40%	0.76%	0.38%					
25	"8. ""Народно-республиканская партия России"""	6	1	2	3	0	0					
		0.12%	0.09%	0.22%	0.30%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	17	3	2	3	5	4					
		0.34%	0.28%	0.22%	0.30%	0.54%	0.38%					
27	"10. ""Аграрная партия России"""	85	18	26	16	9	16					
		1.74%	1.73%	2.95%	1.61%	0.98%	1.53%					
28	"11. ""Истинные патриоты России"""	7	1	4	1	0	1					
		0.14%	0.09%	0.45%	0.10%	0.0%	0.09%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	55	10	9	11	10	15					
		1.12%	0.96%	1.02%	1.10%	1.09%	1.44%					
30	"13. ""Демократическая партия России"""	22	7	5	6	3	1					
		0.45%	0.67%	0.56%	0.60%	0.32%	0.09%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	1	1	1	4	1					
		0.16%	0.09%	0.11%	0.10%	0.43%	0.09%					
32	"15. ""Партия СЛОН"""	4	1	0	1	2	0					
		0.08%	0.09%	0.0%	0.10%	0.21%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	141	39	24	28	19	31					
		2.89%	3.75%	2.72%	2.81%	2.07%	2.98%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	134	3	5	1	121	4					
		2.75%	0.28%	0.56%	0.10%	13.20%	0.38%					
35	"18. ""ЛДПР"""	627	167	147	149	2	162					
		12.87%	16.05%	16.70%	15.00%	0.21%	15.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	700	126	97	161	159	157					
		14.37%	12.11%	11.02%	16.21%	17.35%	15.09%					
37	"20. ""Политическая партия ""Единая Россия"""	1520	366	292	293	271	298					
		31.21%	35.19%	33.18%	29.50%	29.58%	28.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	2	0	1	3	3					
		0.18%	0.19%	0.0%	0.10%	0.32%	0.28%					
39	"22. ""Развитие предпринимательства"""	9	3	0	1	3	2					
		0.18%	0.28%	0.0%	0.10%	0.32%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	525	88	84	127	100	126					
		10.78%	8.46%	9.54%	12.78%	10.91%	12.11%					
												
41	Против всех	192	49	33	34	58	18					
		3.94%	4.71%	3.74%	3.42%	6.33%	1.73%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
