Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Салехардская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №8044	УИК №8300	УИК №8377									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28515	1259	1468	1488	1650	1546	1568	1679	2238	1261	1546	1040	839	1271	1088	1303	1200	1864	1195	1166	1201	147	273	56	169									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57654	1050	1300	1350	1400	1450	1300	1600	1900	1150	1300	950	850	1100	1000	1150	1100	1550	1050	1100	1050	154	2140	29060	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18380	842	915	948	985	955	949	961	1284	854	1169	743	566	818	664	856	870	1164	848	762	729	0	273	56	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	280	5	15	2	25	6	9	6	5	7	3	5	3	2	3	2	4	5	12	13	3	145	0	0	0									
6	Число погашенных избирательных бюллетеней	38994	203	370	400	390	489	342	633	611	289	128	202	281	280	333	292	226	381	190	325	318	9	1867	29004	1431									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	280	5	15	2	25	6	9	6	5	7	3	5	3	2	3	2	4	5	12	13	3	145	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18358	837	915	948	981	955	949	961	1284	854	1163	743	566	818	664	856	870	1164	848	756	728	0	273	56	169									
9	Число недействительных избирательных бюллетеней	496	18	24	23	23	23	21	27	41	24	37	14	23	22	19	18	21	27	25	30	32	1	2	0	1									
10	Число действительных избирательных бюллетеней	18142	824	906	927	983	938	937	940	1248	837	1129	734	546	798	648	840	853	1142	835	739	699	144	271	56	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	620	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	15	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	178	3	14	12	8	12	17	7	12	8	18	5	1	4	1	9	13	11	11	6	6	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	237	18	5	15	25	16	22	2	11	9	25	0	14	5	4	4	8	10	7	5	13	6	8	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	442	27	16	18	22	18	13	23	18	22	12	25	29	26	29	21	17	19	19	24	24	0	15	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	325	9	27	22	34	16	23	8	21	5	27	6	1	4	5	29	12	41	21	8	6	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	386	20	24	31	19	14	22	19	36	16	31	4	13	14	17	25	12	16	7	8	13	2	12	3	8									
		2.07%	2.38%	2.58%	3.26%	1.89%	1.46%	2.30%	1.96%	2.79%	1.86%	2.66%	0.53%	2.28%	1.71%	2.55%	2.91%	1.37%	1.37%	0.81%	1.04%	1.78%	1.38%	4.40%	5.36%	4.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	257	7	10	12	15	13	21	17	26	12	12	5	10	10	13	9	5	21	5	11	8	4	5	1	5									
		1.38%	0.83%	1.08%	1.26%	1.49%	1.35%	2.19%	1.76%	2.02%	1.39%	1.03%	0.67%	1.76%	1.22%	1.95%	1.05%	0.57%	1.80%	0.58%	1.43%	1.09%	2.76%	1.83%	1.79%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	344	15	22	25	13	15	30	21	25	16	17	12	14	15	7	9	12	14	8	16	13	3	18	1	3									
