Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Первомайская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643					
1	"Число избирателей, внесенных в список избирателей"	9323	462	466	161	131	242	269	239	381	211	237	264	480	310	218	201	344	413	188	1255	1665	639	547					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10470	500	500	170	150	300	290	300	470	230	280	320	570	360	260	250	360	520	230	1350	1800	640	620					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4046	239	234	79	85	84	68	131	183	53	78	128	184	127	36	68	110	176	52	535	860	305	231					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2052	106	144	54	37	118	104	52	82	87	103	94	125	98	130	91	94	149	64	91	118	39	72					
6	Число погашенных избирательных бюллетеней	4372	155	122	37	28	98	118	117	205	90	99	98	261	135	94	91	156	195	114	724	822	296	317					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2052	106	144	54	37	118	104	52	82	87	103	94	125	98	130	91	94	149	64	91	118	39	72					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4045	238	234	79	85	84	68	131	183	53	78	128	184	127	36	68	110	176	52	535	860	305	231					
9	Число недействительных избирательных бюллетеней	67	5	3	5	1	1	1	5	3	4	0	0	4	1	0	0	1	3	1	4	18	5	2					
10	Число действительных избирательных бюллетеней	6030	339	375	128	121	201	171	178	262	136	181	222	305	224	166	159	203	322	115	622	960	339	301					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	10	10	6	6	8	8	8	10	8	8	8	10	8	8	8	8	10	8	25	35	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	108	6	2	6	4	2	1	6	4	6	6	5	7	3	3	8	0	0	0	3	31	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	3	0	3	0	0	4	3	3	5	1	4	7	2	4	6	2	2	1	8	6	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	132	4	8	0	2	6	7	2	6	2	2	3	3	5	5	0	8	10	8	22	4	13	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	991	38	35	23	11	34	14	20	40	17	24	30	34	32	19	20	25	38	11	131	259	84	52					
		16.25%	11.05%	9.26%	17.29%	9.02%	16.83%	8.14%	10.93%	15.09%	12.14%	13.26%	13.51%	11.00%	14.22%	11.45%	12.58%	12.25%	11.69%	9.48%	20.93%	26.48%	24.42%	17.16%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	992	34	27	24	11	30	22	33	37	14	15	33	58	67	28	24	51	74	21	119	144	60	66					
		16.27%	9.88%	7.14%	18.05%	9.02%	14.85%	12.79%	18.03%	13.96%	10.00%	8.29%	14.86%	18.77%	29.78%	16.87%	15.09%	25.00%	22.77%	18.10%	19.01%	14.72%	17.44%	21.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	1	1	1	1	1	2	3	2	1	2	4	0	4	2	1	7	3	1	7	8	1	1					
		0.89%	0.29%	0.26%	0.75%	0.82%	0.50%	1.16%	1.64%	0.75%	0.71%	1.10%	1.80%	0.00%	1.78%	1.20%	0.63%	3.43%	0.92%	0.86%	1.12%	0.82%	0.29%	0.33%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	920	46	48	32	8	39	28	22	45	32	28	25	35	24	9	17	20	18	9	127	188	80	40					
		15.09%	13.37%	12.70%	24.06%	6.56%	19.31%	16.28%	12.02%	16.98%	22.86%	15.47%	11.26%	11.33%	10.67%	5.42%	10.69%	9.80%	5.54%	7.76%	20.29%	19.22%	23.26%	13.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	2	6	2	1	0	1	1	4	0	2	3	1	4	3	3	0	1	2	8	23	5	2					
		1.21%	0.58%	1.59%	1.50%	0.82%	0.00%	0.58%	0.55%	1.51%	0.00%	1.10%	1.35%	0.32%	1.78%	1.81%	1.89%	0.00%	0.31%	1.72%	1.28%	2.35%	1.45%	0.66%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2977	217	258	45	89	95	104	97	134	71	110	126	174	93	104	93	99	187	71	228	333	109	140					
		48.83%	63.08%	68.25%	33.83%	72.95%	47.03%	60.47%	53.01%	50.57%	50.71%	60.77%	56.76%	56.31%	41.33%	62.65%	58.49%	48.53%	57.54%	61.21%	36.42%	34.05%	31.69%	46.20%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	1	0	1	0	2	0	2	0	1	0	1	3	0	1	1	1	1	0	2	5	0	0					
