Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Первомайская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642					
1	"Число избирателей, внесенных в списки избирателей"	9787	475	461	153	147	284	285	261	435	230	288	267	549	365	336	169	354	608	1468	1471	498	683					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10160	500	500	160	160	320	290	320	480	210	310	300	570	390	360	170	370	700	1450	1450	500	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4971	310	295	109	102	86	100	153	233	83	113	155	224	142	65	62	149	281	743	918	302	346					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2196	70	120	32	31	144	135	52	92	82	129	89	170	133	200	52	106	203	137	80	68	71					
6	Число погашенных избирательных бюллетеней	2993	120	85	19	27	90	55	115	155	45	68	56	176	115	95	56	115	216	570	452	130	233					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2196	70	120	32	31	144	135	52	92	82	129	89	170	133	200	52	106	203	137	80	68	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4970	310	295	109	102	86	100	153	233	83	113	155	224	142	65	62	149	281	743	917	302	346					
9	Число недействительных избирательных бюллетеней	45	3	5	0	2	2	0	1	4	2	1	1	4	1	0	0	0	4	6	5	4	0					
10	Число действительных избирательных бюллетеней	7121	377	410	141	131	228	235	204	321	163	241	243	390	274	265	114	255	480	874	992	366	417					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	169	6	6	4	4	4	4	8	11	4	4	9	12	4	4	4	10	6	22	20	11	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	132	6	6	4	4	4	0	5	11	1	4	9	12	4	0	4	9	4	12	15	9	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	143	2	5	3	4	3	2	5	7	2	6	5	7	6	3	8	9	1	12	43	2	8					
14	Число погашенных неиспользованных открепительных удостоверений	37	0	0	0	0	0	4	3	0	3	0	0	0	0	4	0	1	2	10	5	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	532	18	22	34	9	47	48	13	30	31	18	40	21	16	11	4	25	25	35	59	8	18					
		7.42%	4.74%	5.30%	24.11%	6.77%	20.43%	20.43%	6.34%	9.23%	18.79%	7.44%	16.39%	5.33%	5.82%	4.15%	3.51%	9.80%	5.17%	3.98%	5.92%	2.16%	4.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	0	0	0	1	1	0	1	0	0	1	0	1	1	0	2	0	2	7	7	1	0					
		0.35%	0.00%	0.00%	0.00%	0.75%	0.43%	0.00%	0.49%	0.00%	0.00%	0.41%	0.00%	0.25%	0.36%	0.00%	1.75%	0.00%	0.41%	0.80%	0.70%	0.27%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	437	24	28	6	6	8	9	11	12	12	15	19	17	17	8	4	16	16	59	101	25	24					
		6.10%	6.32%	6.75%	4.26%	4.51%	3.48%	3.83%	5.37%	3.69%	7.27%	6.20%	7.79%	4.31%	6.18%	3.02%	3.51%	6.27%	3.31%	6.70%	10.13%	6.76%	5.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	5	4	5	3					
		0.31%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.88%	0.00%	0.21%	0.57%	0.40%	1.35%	0.72%					
23	6.Политическая партия «Партия социальной справедливости»	14	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	2	0	3	0	2	0					
		0.20%	0.00%	0.24%	0.71%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.25%	0.36%	0.38%	0.00%	0.78%	0.00%	0.34%	0.00%	0.54%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1035	55	41	27	10	14	30	22	46	23	26	25	71	35	28	6	50	72	149	155	60	90					
		14.44%	14.47%	9.88%	19.15%	7.52%	6.09%	12.77%	10.73%	14.15%	13.94%	10.74%	10.25%	18.02%	12.73%	10.57%	5.26%	19.61%	14.88%	16.93%	15.55%	16.22%	21.58%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	783	30	41	5	17	20	22	7	26	11	22	7	29	36	15	14	18	48	145	163	67	40					
		10.93%	7.89%	9.88%	3.55%	12.78%	8.70%	9.36%	3.41%	8.00%	6.67%	9.09%	2.87%	7.36%	13.09%	5.66%	12.28%	7.06%	9.92%	16.48%	16.35%	18.11%	9.59%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	22	2	0	0	0	0	1	1	2	0	1	1	0	3	0	1	0	2	3	2	3	0					
		0.31%	0.53%	0.00%	0.00%	0.00%	0.00%	0.43%	0.49%	0.62%	0.00%	0.41%	0.41%	0.00%	1.09%	0.00%	0.88%	0.00%	0.41%	0.34%	0.20%	0.81%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4228	247	272	68	88	137	124	149	204	84	158	150	250	165	199	82	143	314	468	491	194	241					
		59.00%	65.00%	65.54%	48.23%	66.17%	59.57%	52.77%	72.68%	62.77%	50.91%	65.29%	61.48%	63.45%	60.00%	75.09%	71.93%	56.08%	64.88%	53.18%	49.25%	52.43%	57.79%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	21	1	3	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	10	1	1					
		0.29%	0.26%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.39%	0.00%	0.00%	1.00%	0.27%	0.24%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
