Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
"Наименование Избирательной комиссии:    Новокузнецк, Куйбышевская"																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644					
1	"Число избирателей, внесенных в списки избирателей"	63152	1456	1196	1187	2048	2139	1925	1521	1981	1604	752	790	709	1662	1631	1586	2129	2084	1069	1353	2505	1188	2185	2443	2362	2830	1729	1593	2059	1875	1881	1722	1861	2847	684	649	2605	1312					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	61000	1400	1200	1100	2000	2100	1900	1500	1900	1500	700	600	700	1500	1500	1500	2100	2000	1000	1200	2400	1100	2200	2500	2400	2800	1600	1600	2000	1800	1900	1700	1800	2800	600	600	2600	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33493	536	555	480	1150	1327	1174	804	1041	754	367	449	268	1002	946	903	1216	1168	612	810	1585	522	949	1038	1007	1383	784	657	1335	1120	1122	1079	1118	1831	141	370	1311	579					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3060	107	20	84	34	60	406	33	48	67	68	112	98	50	39	24	47	55	36	25	62	86	123	426	94	58	58	42	54	32	42	53	65	21	172	30	133	96					
6	Число погашенных избирательных бюллетеней	24447	757	625	536	816	713	320	663	811	679	265	39	334	448	515	573	837	777	352	365	753	492	1128	1036	1299	1359	758	901	611	648	736	568	617	948	287	200	1156	525					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3060	107	20	84	34	60	406	33	48	67	68	112	98	50	39	24	47	55	36	25	62	86	123	426	94	58	58	42	54	32	42	53	65	21	172	30	133	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33491	536	555	480	1150	1327	1174	804	1041	754	367	449	268	1001	946	903	1216	1168	612	810	1585	522	949	1038	1007	1382	784	657	1335	1120	1122	1079	1118	1831	141	370	1311	579					
9	Число недействительных избирательных бюллетеней	388	6	5	5	11	10	12	7	11	8	5	6	7	18	18	0	17	11	15	14	0	16	9	8	18	16	15	26	14	9	8	0	23	10	2	2	17	9					
10	Число действительных избирательных бюллетеней	36163	637	570	559	1173	1377	1568	830	1078	813	430	555	359	1033	967	927	1246	1212	633	821	1647	592	1063	1456	1083	1424	827	673	1375	1143	1156	1132	1160	1842	311	398	1427	666					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	865	10	15	15	20	25	20	15	20	7	10	10	15	20	20	100	20	20	15	40	24	15	16	30	15	25	20	20	30	30	68	22	28	30	10	15	35	15					
