Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
"Наименование Избирательной комиссии:    Новокузнецк, Куйбышевская"																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780					
1	"Число избирателей, внесенных в список избирателей"	61553	1391	1277	790	1851	2082	1850	1629	1969	1474	683	777	695	1638	1540	1428	2203	2010	862	1336	2468	1087	2458	2505	2444	2916	1668	1637	1881	1727	1795	1625	1819	2776	653	674	2675	1260					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53900	1200	1100	800	1500	2000	1600	1500	1500	1200	600	700	600	1500	1200	1200	2000	1800	800	1100	2100	1000	2100	2200	2100	2700	1500	1500	1700	1500	1600	1500	1600	2500	500	500	2300	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27839	407	386	165	851	972	835	728	818	434	241	302	151	1144	778	753	986	931	456	727	1203	391	710	662	752	894	517	484	1437	887	1309	1243	901	1952	150	323	1641	318					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2089	101	14	6	30	59	293	27	48	28	74	108	74	49	28	24	57	30	20	6	91	24	65	88	79	46	94	49	32	48	32	39	26	37	10	26	117	110					
6	Число погашенных избирательных бюллетеней	23972	692	700	629	619	969	472	745	634	738	285	290	375	307	394	423	957	839	324	367	806	585	1325	1450	1269	1760	889	967	231	565	259	218	673	511	340	151	542	672					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2089	101	14	6	30	59	293	27	48	28	74	108	74	49	28	24	57	30	20	6	91	24	65	88	79	46	94	49	32	48	32	39	26	37	10	26	117	110					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27804	407	386	165	851	972	835	728	818	434	241	302	151	1144	778	752	986	927	456	727	1203	367	710	662	752	892	517	484	1437	887	1309	1239	901	1952	150	323	1641	318					
9	Число недействительных избирательных бюллетеней	646	11	14	6	19	36	19	13	16	14	0	5	7	22	20	20	22	17	6	29	34	10	27	7	21	27	7	12	31	31	21	16	26	32	3	6	28	11					
10	Число действительных избирательных бюллетеней	29247	497	386	165	862	995	1109	742	850	448	315	405	218	1171	786	756	1021	940	470	704	1260	381	748	743	810	911	604	521	1438	904	1320	1262	901	1957	157	343	1730	417					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	987	30	30	12	30	30	30	30	30	30	12	12	12	31	30	30	30	30	11	30	37	31	30	30	32	30	30	30	30	30	30	16	30	37	12	12	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	903	30	14	12	30	30	30	12	30	30	6	12	12	31	14	30	26	30	11	30	37	31	30	30	28	30	30	30	30	30	30	12	15	37	12	11	30	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	611	12	13	5	11	7	15	15	14	12	7	7	6	15	13	14	16	16	16	8	50	21	16	11	8	10	15	10	12	10	13	10	2	22	26	11	131	11					
14	Число погашенных неиспользованных открепительных удостоверений	84	0	16	0	0	0	0	18	0	0	6	0	0	0	16	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	15	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	0	2	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3791	42	49	14	144	150	153	126	119	59	26	41	21	106	117	133	188	162	94	88	179	62	84	2	107	127	73	52	212	146	152	66	192	249	20	39	162	35					
		12.68%	8.27%	12.25%	8.19%	16.35%	14.55%	13.56%	16.69%	13.74%	12.77%	8.25%	10.00%	9.33%	8.89%	14.52%	17.14%	18.02%	16.93%	19.75%	12.01%	13.83%	15.86%	10.84%	0.27%	12.88%	13.54%	11.95%	9.76%	14.43%	15.61%	11.33%	5.16%	20.71%	12.52%	12.50%	11.17%	9.22%	8.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6389	119	96	50	167	197	225	170	192	106	71	78	61	312	145	145	219	192	105	193	247	83	151	177	188	200	126	121	324	176	335	232	181	455	52	88	309	101					
		21.37%	23.43%	24.00%	29.24%	18.96%	19.11%	19.95%	22.52%	22.17%	22.94%	22.54%	19.02%	27.11%	26.15%	17.99%	18.69%	20.99%	20.06%	22.06%	26.33%	19.09%	21.23%	19.48%	23.60%	22.62%	21.32%	20.62%	22.70%	22.06%	18.82%	24.98%	18.15%	19.53%	22.88%	32.50%	25.21%	17.58%	23.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	288	5	3	0	13	15	10	7	13	4	2	3	1	7	7	6	14	6	6	9	13	4	10	5	8	4	4	8	14	11	17	12	14	10	5	4	11	3					
		0.96%	0.98%	0.75%	0.00%	1.48%	1.45%	0.89%	0.93%	1.50%	0.87%	0.63%	0.73%	0.44%	0.59%	0.87%	0.77%	1.34%	0.63%	1.26%	1.23%	1.00%	1.02%	1.29%	0.67%	0.96%	0.43%	0.65%	1.50%	0.95%	1.18%	1.27%	0.94%	1.51%	0.50%	3.13%	1.15%	0.63%	0.70%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2853	33	43	13	117	145	137	83	75	40	25	32	21	90	109	114	152	126	71	97	164	35	69	5	65	101	61	47	169	97	149	10	143	59	8	30	87	31					
		9.54%	6.50%	10.75%	7.60%	13.28%	14.06%	12.15%	10.99%	8.66%	8.66%	7.94%	7.80%	9.33%	7.54%	13.52%	14.69%	14.57%	13.17%	14.92%	13.23%	12.67%	8.95%	8.90%	0.67%	7.82%	10.77%	9.98%	8.82%	11.50%	10.37%	11.11%	0.78%	15.43%	2.97%	5.00%	8.60%	4.95%	7.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1018	8	8	1	41	47	41	26	16	24	7	13	2	37	44	43	80	35	24	27	62	17	26	1	21	38	10	18	75	67	60	4	51	2	2	15	18	7					
		3.41%	1.57%	2.00%	0.58%	4.65%	4.56%	3.63%	3.44%	1.85%	5.19%	2.22%	3.17%	0.89%	3.10%	5.46%	5.54%	7.67%	3.66%	5.04%	3.68%	4.79%	4.35%	3.35%	0.13%	2.53%	4.05%	1.64%	3.38%	5.11%	7.17%	4.47%	0.31%	5.50%	0.10%	1.25%	4.30%	1.02%	1.64%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14748	287	185	87	376	439	535	328	427	210	182	235	111	614	363	311	359	413	168	284	581	178	404	552	418	436	327	271	634	403	597	932	315	1173	70	167	1139	237					
		49.34%	56.50%	46.25%	50.88%	42.68%	42.58%	47.43%	43.44%	49.31%	45.45%	57.78%	57.32%	49.33%	51.47%	45.04%	40.08%	34.42%	43.16%	35.29%	38.74%	44.90%	45.52%	52.13%	73.60%	50.30%	46.48%	53.52%	50.84%	43.16%	43.10%	44.52%	72.93%	33.98%	58.97%	43.75%	47.85%	64.79%	55.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	160	3	2	0	4	2	8	2	8	5	2	3	1	5	1	4	9	6	2	6	14	2	4	1	3	5	3	4	10	4	10	6	5	9	0	0	4	3					
		0.54%	0.59%	0.50%	0.00%	0.45%	0.19%	0.71%	0.26%	0.92%	1.08%	0.63%	0.73%	0.44%	0.42%	0.12%	0.52%	0.86%	0.63%	0.42%	0.82%	1.08%	0.51%	0.52%	0.13%	0.36%	0.53%	0.49%	0.75%	0.68%	0.43%	0.75%	0.47%	0.54%	0.45%	0.00%	0.00%	0.23%	0.70%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
