Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																												
Дата голосования: 02.12.2007																																																																												
																																																																												
Наименование Избирательной комиссии:    Иркутская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483					
1	"Число избирателей, внесенных в списки избирателей"	47839	1061	467	460	2342	1400	1536	976	465	793	242	93	360	2080	397	349	358	120	164	554	308	125	541	314	191	1829	318	1111	424	527	700	338	74	206	1119	162	178	155	162	1634	2203	640	222	761	287	258	1865	2627	1462	363	506	662	332	148	239	2182	2235	1414	1027	49	1022	527	197	215	228	102	39	702	379	313					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42614	1000	410	420	2000	1300	1200	900	430	760	240	91	345	1900	390	335	345	120	161	535	300	123	540	300	191	1500	305	1000	370	510	650	362	75	193	1000	161	181	155	158	1600	2000	630	210	630	260	240	1500	2000	1000	335	480	600	325	148	230	1800	1900	1200	920	50	940	520	200	210	225	105	40	670	400	290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	26960	597	243	302	1271	932	879	626	226	443	128	61	191	959	230	199	193	91	116	371	230	91	422	230	162	859	164	701	272	350	490	269	50	130	608	116	102	96	106	951	1215	305	129	470	185	118	898	1166	661	160	291	387	221	111	154	1318	1220	637	521	21	521	292	114	142	131	52	30	431	366	236					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1456	47	41	13	13	25	19	39	23	25	20	5	9	38	10	21	5	0	9	18	46	4	18	16	11	45	24	42	10	17	10	10	3	5	30	4	6	18	1	39	15	29	0	10	2	32	68	39	29	22	15	11	0	5	16	101	109	35	34	5	33	23	8	11	8	5	1	51	0	0					
6	Число погашенных избирательных бюллетеней	14198	356	126	105	716	343	302	235	181	292	92	25	145	903	150	115	147	29	36	146	24	28	100	54	18	596	117	257	88	143	150	83	22	58	362	41	73	41	51	610	770	296	81	150	73	90	534	795	310	153	174	202	104	32	60	381	571	528	365	24	386	205	78	57	86	48	9	188	34	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1456	47	41	13	13	25	19	39	23	25	20	5	9	38	10	21	5	0	9	18	46	4	18	16	11	45	24	42	10	17	10	10	3	5	30	4	6	18	1	39	15	29	0	10	2	32	68	39	29	22	15	11	0	5	16	101	109	35	34	5	33	23	8	11	8	5	1	51	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26937	597	243	302	1253	932	879	626	226	443	128	61	191	959	230	199	193	91	116	371	230	91	422	230	162	859	164	701	272	350	490	269	50	130	608	116	102	96	106	951	1212	305	129	470	185	118	898	1166	661	160	291	387	221	111	154	1316	1220	637	521	21	521	292	114	142	131	52	30	431	366	236					
9	Число недействительных избирательных бюллетеней	441	10	4	6	14	9	13	10	4	7	3	0	2	17	0	3	0	0	1	8	6	0	4	4	2	23	5	9	6	6	3	7	0	3	12	0	5	1	2	23	15	5	0	7	2	1	6	13	9	1	3	3	0	1	6	19	37	11	7	1	13	5	0	2	2	3	0	33	2	2					
10	Число действительных избирательных бюллетеней	27952	634	280	309	1252	948	885	655	245	461	145	66	198	980	240	217	198	91	124	381	270	95	436	242	171	881	183	734	276	361	497	272	53	132	626	120	103	113	105	967	1212	329	129	473	185	149	960	1192	681	181	303	395	221	115	164	1398	1292	661	548	25	541	310	122	151	137	54	31	449	364	234					
