Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Кашарская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18649	954	127	110	322	551	380	512	151	213	470	2125	1016	1544	686	483	329	309	147	315	118	347	492	192	796	217	723	404	533	850	545	376	645	530	376	189	308	264									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18770	955	128	111	321	561	393	519	153	217	486	2100	1030	1555	693	484	336	313	147	316	114	360	504	192	789	219	728	415	534	850	552	375	643	534	377	189	310	267									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9037	438	64	83	200	362	256	241	62	108	255	963	441	610	277	210	119	154	62	125	84	186	223	103	440	104	332	229	292	381	350	176	299	246	169	88	155	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1236	27	36	7	54	45	37	42	27	31	37	63	38	21	32	45	27	24	14	23	3	22	58	15	75	26	57	37	36	47	31	35	44	36	13	21	26	24									
6	Число погашенных избирательных бюллетеней	8497	490	28	21	67	154	100	236	64	78	194	1074	551	924	384	229	190	135	71	168	27	152	223	74	274	89	339	149	206	422	171	164	300	252	195	80	129	93									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1236	27	36	7	54	45	37	42	27	31	37	63	38	21	32	45	27	24	14	23	3	22	58	15	75	26	57	37	36	47	31	35	44	36	13	21	26	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9037	438	64	83	200	362	256	241	62	108	255	963	441	610	277	210	119	154	62	125	84	186	223	103	440	104	332	229	292	381	350	176	299	246	169	88	155	150									
9	Число недействительных избирательных бюллетеней	139	0	0	0	0	11	2	0	0	0	1	25	14	21	0	0	2	3	0	2	0	1	9	0	12	0	3	5	0	6	0	12	3	1	5	0	0	1									
10	Число действительных избирательных бюллетеней	10134	465	100	90	254	396	291	283	89	139	291	1001	465	610	309	255	144	175	76	146	87	207	272	118	503	130	386	261	328	422	381	199	340	281	177	109	181	173									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	505	20	5	5	6	13	10	13	3	3	10	100	30	55	20	10	5	8	5	6	2	12	11	5	13	2	10	10	10	20	14	10	15	15	5	4	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	116	0	1	0	0	6	10	1	0	3	10	13	9	7	5	0	0	4	0	0	0	7	7	0	6	2	2	10	2	0	1	1	3	1	0	0	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	4	1	1	1	1	1	0	1	2	5	13	2	3	1	0	0	1	1	1	4	1	1	1	0	0	0	1	2	1	1	3	3	1	1	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	389	20	4	5	6	7	0	12	3	0	0	87	21	48	15	10	5	4	5	6	2	5	4	5	7	0	8	0	8	20	13	9	12	14	5	4	8	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	1	0	0	0	1	0	1	0	3	11	9	1	5	1	0	3	1	0	0	0	4	0	0	1	0	1	2	0	0	0	3	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	59	0	1	0	1	2	0	0	0	1	2	11	1	8	0	2	1	1	0	1	0	5	0	2	3	2	4	0	3	2	1	0	1	2	1	1	0	0									
		0.57%	0.00%	1.00%	0.00%	0.39%	0.49%	0.00%	0.00%	0.00%	0.72%	0.68%	1.07%	0.21%	1.27%	0.00%	0.78%	0.68%	0.56%	0.00%	0.68%	0.00%	2.40%	0.00%	1.69%	0.58%	1.54%	1.03%	0.00%	0.91%	0.47%	0.26%	0.00%	0.29%	0.71%	0.55%	0.92%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	266	4	5	3	3	4	10	7	2	1	10	29	16	28	0	8	8	6	1	8	2	2	9	3	13	3	11	0	11	15	6	8	10	6	4	0	6	4									
		2.59%	0.86%	5.00%	3.33%	1.18%	0.98%	3.41%	2.47%	2.25%	0.72%	3.42%	2.83%	3.34%	4.44%	0.00%	3.14%	5.48%	3.37%	1.32%	5.41%	2.30%	0.96%	3.20%	2.54%	2.52%	2.31%	2.83%	0.00%	3.35%	3.50%	1.57%	3.79%	2.92%	2.13%	2.20%	0.00%	3.31%	2.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	216	0	3	1	1	8	3	3	5	0	4	21	7	13	0	2	4	1	0	2	0	4	0	1	6	0	0	9	6	89	5	1	5	6	1	0	2	3									
		2.10%	0.00%	3.00%	1.11%	0.39%	1.97%	1.02%	1.06%	5.62%	0.00%	1.37%	2.05%	1.46%	2.06%	0.00%	0.78%	2.74%	0.56%	0.00%	1.35%	0.00%	1.92%	0.00%	0.85%	1.17%	0.00%	0.00%	3.38%	1.83%	20.79%	1.31%	0.47%	1.46%	2.13%	0.55%	0.00%	1.10%	1.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6569	287	79	63	194	275	217	187	47	111	203	556	276	298	265	162	73	110	58	96	69	161	197	75	363	76	250	188	226	175	295	114	200	179	104	87	132	121									
		63.94%	61.72%	79.00%	70.00%	76.38%	67.57%	74.06%	66.08%	52.81%	79.86%	69.52%	54.19%	57.62%	47.23%	85.76%	63.53%	50.00%	61.80%	76.32%	64.86%	79.31%	77.40%	70.11%	63.56%	70.49%	58.46%	64.27%	70.68%	68.90%	40.89%	77.43%	54.03%	58.31%	63.48%	57.14%	79.82%	72.93%	69.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	43	0	0	0	2	14	1	0	0	0	3	6	1	3	0	1	0	0	1	0	0	2	1	1	0	0	1	0	1	0	1	2	0	1	1	0	0	0									
		0.42%	0.00%	0.00%	0.00%	0.79%	3.44%	0.34%	0.00%	0.00%	0.00%	1.03%	0.58%	0.21%	0.48%	0.00%	0.39%	0.00%	0.00%	1.32%	0.00%	0.00%	0.96%	0.36%	0.85%	0.00%	0.00%	0.26%	0.00%	0.30%	0.00%	0.26%	0.95%	0.00%	0.35%	0.55%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	0	0	0	1	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10	0	0									
		0.18%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	2.25%	0.00%	0.00%	0.10%	0.21%	0.16%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.29%	0.00%	0.00%	9.17%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1296	62	5	8	18	36	33	34	16	14	20	159	79	117	13	32	24	24	7	15	5	18	33	18	59	26	55	31	26	66	31	38	43	45	36	0	18	32									
		12.62%	13.33%	5.00%	8.89%	7.09%	8.85%	11.26%	12.01%	17.98%	10.07%	6.85%	15.50%	16.49%	18.54%	4.21%	12.55%	16.44%	13.48%	9.21%	10.14%	5.75%	8.65%	11.74%	15.25%	11.46%	20.00%	14.14%	11.65%	7.93%	15.42%	8.14%	18.01%	12.54%	15.96%	19.78%	0.00%	9.94%	18.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	0	0	0	1	0	0	0	0	0	0	1	8	4	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0									
		0.19%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	1.67%	0.63%	0.00%	0.39%	0.68%	0.56%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	0	0	0	0	0	0	1	0	0	0	5	1	3	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	3	0	0	1	0									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.49%	0.21%	0.48%	0.00%	0.00%	1.37%	0.56%	0.00%	0.68%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.87%	1.06%	0.00%	0.00%	0.55%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.72%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	28	0	0	0	0	3	1	0	0	0	1	8	4	0	0	1	2	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0									
		0.27%	0.00%	0.00%	0.00%	0.00%	0.74%	0.34%	0.00%	0.00%	0.00%	0.34%	0.78%	0.84%	0.00%	0.00%	0.39%	1.37%	0.56%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.75%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1376	105	5	15	29	44	26	46	15	7	43	178	58	120	31	32	26	24	6	21	10	10	28	18	59	18	56	20	49	62	30	30	64	33	24	5	20	9									
		13.39%	22.58%	5.00%	16.67%	11.42%	10.81%	8.87%	16.25%	16.85%	5.04%	14.73%	17.35%	12.11%	19.02%	10.03%	12.55%	17.81%	13.48%	7.89%	14.19%	11.49%	4.81%	9.96%	15.25%	11.46%	13.85%	14.40%	7.52%	14.94%	14.49%	7.87%	14.22%	18.66%	11.70%	13.19%	4.59%	11.05%	5.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	0	0	0	0	0	0	0	0	0	1	3	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	4	0	1	1	1	2	0	1	1	1	1									
		0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.29%	0.21%	0.00%	0.00%	1.57%	0.68%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.50%	0.00%	0.23%	0.26%	0.47%	0.58%	0.00%	0.55%	0.92%	0.55%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	186	7	2	0	5	9	0	5	1	4	4	23	12	12	0	10	1	5	1	2	1	4	3	0	0	3	9	9	5	10	8	5	10	6	5	2	1	2									
		1.81%	1.51%	2.00%	0.00%	1.97%	2.21%	0.00%	1.77%	1.12%	2.88%	1.37%	2.24%	2.51%	1.90%	0.00%	3.92%	0.68%	2.81%	1.32%	1.35%	1.15%	1.92%	1.07%	0.00%	0.00%	2.31%	2.31%	3.38%	1.52%	2.34%	2.10%	2.37%	2.92%	2.13%	2.75%	1.83%	0.55%	1.15%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
