Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Усть-Илимская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329					
1	"Число избирателей, внесенных в списки"	16038	898	885	1250	1707	177	283	1730	1887	2128	736	258	832	812	760	449	1246					
2	"Число бюллетеней, полученных участковыми комиссиями"	16161	905	881	1237	1725	183	276	1756	1884	2156	750	268	828	829	749	460	1274					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6706	455	282	480	659	91	127	765	794	701	298	110	318	338	378	291	619					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	279	20	21	23	66	0	2	11	21	27	21	0	5	18	11	11	22					
6	Число погашенных бюллетеней	9167	430	578	734	1000	92	147	980	1069	1428	430	158	505	473	360	158	625					
7	Число бюллетеней в переносных ящиках для голосования	287	20	21	23	66	0	2	11	21	27	21	0	5	18	11	11	30					
8	Число бюллетеней в стационарных ящиках для голосования	6703	455	282	479	659	91	127	765	793	701	297	110	318	338	378	291	619					
9	Число недействительных бюллетеней	56	1	1	7	7	2	0	9	10	1	5	0	1	3	1	3	5					
10	Число действительных бюллетеней	6934	474	302	495	718	89	129	767	804	727	313	110	322	353	388	299	644					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	10	10	10	15	5	20	15	15	15	10	5	10	10	10	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	15	0	0	0	2	0	0	2	6	0	3	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	0	0	0	0	1	2	4	2	1	4	1	2	2	1	1	3					
14	Число погашенных открепительных удостоверений	165	10	10	10	13	5	20	13	9	15	7	4	10	10	10	5	14					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	76	5	3	2	10	4	3	7	10	2	6	1	3	4	4	6	6					
		1.08%	1.05%	0.99%	0.39%	1.37%	4.39%	2.32%	0.90%	1.22%	0.27%	1.88%	0.90%	0.92%	1.12%	1.02%	1.98%	0.92%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	1	6	7	4	0	2	7	8	7	5	1	3	6	3	8	0					
		0.97%	0.21%	1.98%	1.39%	0.55%	0.0%	1.55%	0.90%	0.98%	0.96%	1.57%	0.90%	0.92%	1.68%	0.77%	2.64%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	228	17	8	12	15	0	4	32	28	16	14	7	10	17	15	10	23					
		3.26%	3.57%	2.64%	2.39%	2.06%	0.0%	3.10%	4.12%	3.43%	2.19%	4.40%	6.36%	3.09%	4.77%	3.85%	3.31%	3.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	179	4	21	20	12	2	5	12	18	32	9	3	5	17	11	3	5					
		2.56%	0.84%	6.93%	3.98%	1.65%	2.19%	3.87%	1.54%	2.21%	4.39%	2.83%	2.72%	1.54%	4.77%	2.82%	0.99%	0.77%					
22	"5. ""За Русь Святую"""	21	2	1	3	1	0	0	4	1	1	3	1	0	1	1	0	2					
		0.30%	0.42%	0.33%	0.59%	0.13%	0.0%	0.0%	0.51%	0.12%	0.13%	0.94%	0.90%	0.0%	0.28%	0.25%	0.0%	0.30%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	0	3	1	0	0	1	0	1	0	1	0	0	0	1	1					
		0.14%	0.21%	0.0%	0.59%	0.13%	0.0%	0.0%	0.12%	0.0%	0.13%	0.0%	0.90%	0.0%	0.0%	0.0%	0.33%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	1	2	4	1	0	1	2	4	3	4	1	3	3	3	2	1					
		0.50%	0.21%	0.66%	0.79%	0.13%	0.0%	0.77%	0.25%	0.49%	0.41%	1.25%	0.90%	0.92%	0.84%	0.77%	0.66%	0.15%					
25	"8. ""Народно-республиканская партия России"""	9	3	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2					
		0.12%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.28%	0.0%	0.66%	0.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	0	0	3	1	0	0	3	2	2	1	0	1	1	1	1	0					
		0.22%	0.0%	0.0%	0.59%	0.13%	0.0%	0.0%	0.38%	0.24%	0.27%	0.31%	0.0%	0.30%	0.28%	0.25%	0.33%	0.0%					
27	"10. ""Аграрная партия России"""	153	14	13	14	11	1	2	7	12	8	6	4	8	5	4	25	19					
		2.18%	2.94%	4.29%	2.78%	1.51%	1.09%	1.55%	0.90%	1.47%	1.09%	1.88%	3.63%	2.47%	1.40%	1.02%	8.27%	2.92%					
28	"11. ""Истинные патриоты России"""	8	0	2	0	0	0	0	1	0	1	1	2	0	1	0	0	0					
		0.11%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.13%	0.31%	1.81%	0.0%	0.28%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	59	2	1	7	7	0	2	2	5	6	2	0	1	3	6	4	11					
		0.84%	0.42%	0.33%	1.39%	0.96%	0.0%	1.55%	0.25%	0.61%	0.82%	0.62%	0.0%	0.30%	0.84%	1.54%	1.32%	1.69%					
30	"13. ""Демократическая партия России"""	28	4	0	1	4	0	1	1	3	3	3	2	2	0	3	0	1					
		0.40%	0.84%	0.0%	0.19%	0.55%	0.0%	0.77%	0.12%	0.36%	0.41%	0.94%	1.81%	0.61%	0.0%	0.77%	0.0%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1					
		0.08%	0.21%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.15%					
32	"15. ""Партия СЛОН"""	10	0	0	1	1	0	0	1	2	2	2	0	0	0	0	0	1					
		0.14%	0.0%	0.0%	0.19%	0.13%	0.0%	0.0%	0.12%	0.24%	0.27%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%					
33	"16. ""Родина"" (народно-патриотический союз)"""	415	12	30	55	25	4	7	45	54	67	14	0	7	27	14	8	46					
		5.93%	2.52%	9.90%	10.95%	3.44%	4.39%	5.42%	5.79%	6.63%	9.20%	4.40%	0.0%	2.16%	7.58%	3.59%	2.64%	7.08%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	1	0	0	0	0	1	5	0	2	0	3	0	0	2	0	5					
		0.27%	0.21%	0.0%	0.0%	0.0%	0.0%	0.77%	0.64%	0.0%	0.27%	0.0%	2.72%	0.0%	0.0%	0.51%	0.0%	0.77%					
35	"18. ""ЛДПР"""	1445	76	73	95	104	23	42	182	224	185	58	20	61	71	64	50	117					
		20.67%	16.0%	24.09%	18.92%	14.34%	25.27%	32.55%	23.45%	27.51%	25.41%	18.23%	18.18%	18.88%	19.94%	16.45%	16.55%	18.02%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	174	14	7	8	30	3	3	18	14	22	4	0	3	10	13	7	18					
		2.48%	2.94%	2.31%	1.59%	4.13%	3.29%	2.32%	2.31%	1.71%	3.02%	1.25%	0.0%	0.92%	2.80%	3.34%	2.31%	2.77%					
37	"20. ""Политическая партия ""Единая Россия"""	2572	168	88	156	369	43	32	237	247	189	142	48	147	131	155	129	291					
		36.79%	35.36%	29.04%	31.07%	50.89%	47.25%	24.80%	30.54%	30.34%	25.96%	44.65%	43.63%	45.51%	36.79%	39.84%	42.71%	44.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	2	0	0	0	0	0	1	1	1	1	0	1	1	5	0	6					
		0.27%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.12%	0.13%	0.31%	0.0%	0.30%	0.28%	1.28%	0.0%	0.92%					
39	"22. ""Развитие предпринимательства"""	14	0	0	1	2	0	1	3	2	1	0	0	0	3	0	0	1					
		0.20%	0.0%	0.0%	0.19%	0.27%	0.0%	0.77%	0.38%	0.24%	0.13%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.15%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1135	138	40	79	99	4	17	164	138	146	27	14	58	33	75	30	73					
		16.23%	29.05%	13.20%	15.73%	13.65%	4.39%	13.17%	21.13%	16.95%	20.05%	8.49%	12.72%	17.95%	9.26%	19.28%	9.93%	11.24%					
																							
41	Против всех	235	8	7	24	19	5	6	32	30	30	11	2	7	18	9	13	14					
		3.36%	1.68%	2.31%	4.78%	2.62%	5.49%	4.65%	4.12%	3.68%	4.12%	3.45%	1.81%	2.16%	5.05%	2.31%	4.30%	2.15%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
