Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Гатчинская 113																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №462	УИК №463	УИК №464	УИК №465									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58486	1345	737	576	1616	666	520	463	749	559	1075	171	164	1474	1137	1441	1736	1640	2348	1452	1411	1564	1511	2940	941	843	1681	725	570	422	450	1111	835	828	1256	2230	1041	1161	927	447	389	428	2082	1975	1012	532	1403	1852	730	755	1115	1649	1801									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58250	1350	700	500	1650	600	500	450	750	550	1100	150	150	1400	1100	1400	1700	1700	2550	1400	1450	1550	1600	3000	1000	850	1700	750	600	450	450	1100	800	800	1300	2350	1000	1150	900	400	350	400	2000	1950	1000	500	1350	1800	700	750	1100	1650	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22899	438	220	197	753	285	134	151	242	188	369	74	75	514	354	495	590	750	920	512	686	609	762	1240	313	273	596	500	464	216	140	434	392	339	773	818	327	387	352	328	146	161	730	693	473	166	517	705	252	261	331	610	644									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2392	56	69	14	26	39	31	39	41	41	96	27	22	67	41	78	15	2	34	2	3	9	5	15	60	58	49	28	26	24	39	11	6	16	59	14	102	99	42	22	43	37	16	87	120	45	178	119	30	48	143	22	77									
6	Число погашенных избирательных бюллетеней	32959	856	411	289	871	276	335	260	467	321	635	49	53	819	705	827	1095	948	1596	886	761	932	833	1745	627	519	1055	222	110	210	271	655	402	445	468	1518	571	664	506	50	161	202	1254	1170	407	289	655	976	418	441	626	1018	1079									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2391	56	68	14	26	39	31	39	41	41	96	27	22	67	41	78	15	2	34	2	3	9	5	15	60	58	49	28	26	24	39	11	6	16	59	14	102	99	42	22	43	37	16	87	120	45	178	119	30	48	143	22	77									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22742	438	220	197	753	285	134	151	242	188	369	74	75	514	354	495	590	750	920	512	686	600	762	1240	313	273	596	500	438	216	139	434	392	339	773	818	327	387	352	328	146	161	730	693	353	166	516	705	252	261	331	610	644									
9	Число недействительных избирательных бюллетеней	581	16	7	6	20	7	2	2	2	6	7	1	0	15	14	12	20	11	31	17	12	18	20	37	15	12	13	7	10	8	1	7	13	4	13	24	7	11	15	0	9	5	16	8	16	4	25	28	8	1	2	5	11									
10	Число действительных избирательных бюллетеней	24552	478	281	205	759	317	163	188	281	223	458	100	97	566	381	561	585	741	923	497	677	591	747	1218	358	319	632	521	454	232	177	438	385	351	819	808	422	475	379	350	180	193	730	772	457	207	669	796	274	308	472	627	710									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	975	20	20	20	25	20	20	20	20	20	20	20	20	15	15	15	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	15	15	15	15	15	15	25	25	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	420	10	5	6	23	9	3	3	2	0	19	4	1	13	10	6	13	10	14	5	8	9	6	11	7	6	8	2	9	0	2	9	7	2	13	25	7	5	11	2	1	4	22	19	6	0	5	8	2	10	15	11	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	483	11	10	20	9	43	9	4	7	13	6	32	15	14	3	9	6	16	4	0	2	11	3	8	5	7	7	8	11	12	9	24	4	3	8	8	12	2	21	13	6	2	8	9	0	3	4	6	6	8	13	9	0									
14	Число погашенных неиспользованных открепительных удостоверений	555	10	15	14	2	11	17	17	18	20	1	16	19	2	5	9	7	10	6	15	12	11	14	9	13	14	12	18	11	20	18	11	13	18	7	5	8	10	4	13	14	11	3	6	9	15	10	7	13	5	0	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	438	6	6	4	8	6	5	3	5	3	10	4	0	8	8	3	5	20	25	15	7	16	12	13	7	4	19	5	5	2	4	4	8	5	9	33	8	12	15	3	8	1	8	10	7	6	12	16	5	5	9	11	5									
		1.74%	1.21%	2.08%	1.90%	1.03%	1.85%	3.03%	1.58%	1.77%	1.31%	2.15%	3.96%	0.00%	1.38%	2.03%	0.52%	0.83%	2.66%	2.62%	2.92%	1.02%	2.63%	1.56%	1.04%	1.88%	1.21%	2.95%	0.95%	1.08%	0.83%	2.25%	0.90%	2.01%	1.41%	1.08%	3.97%	1.86%	2.47%	3.81%	0.86%	4.23%	0.51%	1.07%	1.28%	1.48%	2.84%	1.73%	1.94%	1.77%	1.62%	1.90%	1.74%	0.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	611	17	10	3	22	11	2	3	7	8	21	0	2	19	9	15	14	12	23	4	13	12	14	25	10	15	18	2	3	6	4	14	22	12	13	29	12	16	12	4	2	7	14	19	6	8	16	26	5	5	9	11	25									
		2.43%	3.44%	3.47%	1.42%	2.82%	3.40%	1.21%	1.58%	2.47%	3.49%	4.52%	0.00%	2.06%	3.27%	2.28%	2.62%	2.31%	1.60%	2.41%	0.78%	1.89%	1.97%	1.83%	1.99%	2.68%	4.53%	2.79%	0.38%	0.65%	2.50%	2.25%	3.15%	5.53%	3.38%	1.56%	3.49%	2.80%	3.29%	3.05%	1.14%	1.06%	3.54%	1.88%	2.44%	1.27%	3.79%	2.31%	3.16%	1.77%	1.62%	1.90%	1.74%	3.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	549	18	4	6	17	9	3	6	4	5	10	1	2	10	8	11	18	14	15	12	24	24	17	37	6	5	12	10	4	8	9	16	7	11	12	31	12	8	8	1	2	3	9	9	7	4	13	26	8	9	4	9	11									
		2.18%	3.64%	1.39%	2.84%	2.18%	2.78%	1.82%	3.16%	1.41%	2.18%	2.15%	0.99%	2.06%	1.72%	2.03%	1.92%	2.98%	1.86%	1.57%	2.33%	3.48%	3.94%	2.22%	2.95%	1.61%	1.51%	1.86%	1.89%	0.86%	3.33%	5.06%	3.60%	1.76%	3.10%	1.44%	3.73%	2.80%	1.65%	2.03%	0.29%	1.06%	1.52%	1.21%	1.15%	1.48%	1.90%	1.87%	3.16%	2.84%	2.91%	0.84%	1.42%	1.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13073	207	145	111	336	127	66	114	131	110	240	45	51	287	186	279	288	423	415	231	407	277	416	564	224	142	288	397	361	140	83	195	156	128	571	309	210	245	184	296	89	117	465	497	283	118	397	397	137	174	293	348	373									
		52.02%	41.90%	50.35%	52.61%	43.13%	39.20%	40.00%	60.00%	46.29%	48.03%	51.61%	44.55%	52.58%	49.40%	47.09%	48.69%	47.60%	56.25%	43.50%	44.94%	59.07%	45.48%	54.24%	44.94%	60.05%	42.90%	44.65%	75.19%	77.80%	58.33%	46.63%	43.82%	39.20%	36.06%	68.63%	37.14%	48.95%	50.41%	46.70%	84.57%	47.09%	59.09%	62.33%	63.72%	59.83%	55.92%	57.20%	48.18%	48.58%	56.31%	61.81%	55.06%	51.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	247	4	3	1	10	6	6	2	5	3	5	3	2	1	7	6	6	13	10	4	4	5	7	13	7	6	5	3	3	3	2	7	4	6	3	11	5	11	2	2	2	0	4	7	5	1	3	4	1	3	2	5	4									
		0.98%	0.81%	1.04%	0.47%	1.28%	1.85%	3.64%	1.05%	1.77%	1.31%	1.08%	2.97%	2.06%	0.17%	1.77%	1.05%	0.99%	1.73%	1.05%	0.78%	0.58%	0.82%	0.91%	1.04%	1.88%	1.81%	0.78%	0.57%	0.65%	1.25%	1.12%	1.57%	1.01%	1.69%	0.36%	1.32%	1.17%	2.26%	0.51%	0.57%	1.06%	0.00%	0.54%	0.90%	1.06%	0.47%	0.43%	0.49%	0.35%	0.97%	0.42%	0.79%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	52	2	0	0	1	0	0	1	0	0	1	0	0	0	3	1	1	1	2	2	2	1	1	0	0	1	1	1	0	1	0	0	2	1	0	1	1	1	1	0	0	1	1	1	0	0	3	2	1	2	9	2	0									
