Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																																																																						
Дата голосования: 02.12.2007																																																																																																																																																																																						
																																																																																																																																																																																						
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																																																						
																																																																																																																																																																																						
Сводная таблица результатов выборов																																																																																																																																																																																						
																																																																																																																																																																																						
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1431	УИК №1432	УИК №1433	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1445	УИК №1446	УИК №1447	УИК №1449	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1491	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1499	УИК №1501	УИК №1502	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510					
1	"Число избирателей, внесенных в списки избирателей"	123693	470	990	2350	310	1985	1004	190	377	1685	1947	1924	1747	1312	804	719	321	1996	1831	1940	1314	1024	2229	1297	816	2056	1837	1349	2014	1452	1942	1557	1272	1613	1660	1418	1680	1648	1440	1799	1708	1859	2122	167	2045	1383	1373	1549	1292	1810	2055	1654	1234	1860	1675	1840	1987	1028	2030	2144	1806	1253	1594	1643	1491	1911	1992	2230	2062	2143	2178	1141	1698	1788	1508	1438	1781	1741	19	18	18	18	19	19	26	23	23	21	19	16	376	272	92	91	30	23	83	24	24	22	25	24	24	23	23	27	29	20	93	93	84	84	91	92	93	93	93	68	75	72	73	74	71	20	27	29	42	33	70	19	118	21	26	29	22	17	15	19	15	16	37	53	22	18	18	34	24	24	23	31	22	20	22	19	14	15	15	17	19	28	20	77	28	25	26	16	26	17	16	22	22	22	29	29	27	26					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	115640	450	1000	2000	300	2000	1000	180	350	1600	1800	1800	1600	1250	700	650	320	2000	1700	2000	1000	900	2000	1000	700	2000	1500	1200	2000	1300	2000	1500	1200	1500	1500	1400	1600	1500	1300	1700	1500	1800	2000	150	2000	1300	1300	1500	1200	1500	2000	1500	1200	1700	1500	1700	2000	1000	2000	2000	1500	1200	1500	1500	1500	1700	2000	2000	2000	2000	2000	1000	1500	1700	1500	1300	1700	1500	19	18	20	18	19	19	28	25	25	21	19	16	376	272	92	91	30	23	83	24	24	22	25	24	24	23	23	27	29	20	93	93	84	84	91	94	93	93	95	68	75	74	73	74	71	20	28	29	42	33	72	19	118	21	26	29	22	17	15	19	17	16	37	55	22	18	18	34	24	24	23	31	22	20	22	19	14	15	15	17	20	30	22	77	28	25	26	16	26	19	15	22	24	22	29	29	27	26					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65096	371	597	1393	210	1180	488	142	227	883	1055	1053	952	760	450	363	196	1023	900	936	576	479	1029	698	557	1122	861	668	723	616	947	803	647	844	885	749	826	946	683	909	795	931	1029	84	938	636	690	708	677	815	981	940	659	794	851	1017	1086	531	1006	1123	906	590	789	882	783	936	1018	1146	1070	1051	983	561	859	912	820	729	924	980	19	18	18	17	19	19	26	23	23	21	19	16	376	272	92	91	30	23	83	24	24	22	25	24	24	23	23	27	29	20	93	93	84	82	88	89	90	93	93	68	75	72	61	73	70	20	27	29	42	33	68	19	118	21	26	29	22	17	15	18	15	16	34	50	22	14	16	34	24	24	23	31	22	20	22	19	14	15	15	17	19	28	20	77	28	25	26	16	26	17	15	22	22	22	29	29	27	26					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1877	9	24	116	8	45	48	0	25	14	26	24	13	13	8	3	71	14	8	30	47	12	33	12	5	4	12	9	93	15	22	79	3	14	22	19	12	24	10	10	16	15	19	23	14	15	20	9	12	180	16	12	8	20	23	19	12	17	22	14	32	7	16	14	5	32	19	16	14	14	127	17	13	23	17	26	8	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	48667	70	379	491	82	775	464	38	98	703	719	723	635	477	242	284	53	963	792	1034	377	409	938	290	138	874	627	523	1184	669	1031	618	550	642	593	632	762	530	607	781	689	854	952	43	1048	649	590	783	511	505	1003	548	533	886	626	664	902	452	972	863	562	603	695	604	712	732	963	838	916	935	890	422	628	765	663	545	768	485	0	0	2	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	3	0	2	0	0	2	12	1	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	2	0	3	5	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1875	9	24	115	8	45	48	0	25	14	26	24	13	13	8	3	71	14	8	30	47	12	33	12	5	4	12	9	93	15	22	79	3	14	22	19	12	24	10	10	16	15	19	23	14	15	20	9	12	180	16	12	8	20	23	19	12	17	22	14	32	7	16	14	5	32	19	16	14	14	127	17	13	22	17	26	8	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65011	371	597	1381	210	1179	488	142	227	882	1055	1053	952	760	450	363	196	1023	900	936	576	479	1029	698	557	1122	861	668	723	616	946	803	647	844	884	746	821	946	682	897	794	931	1029	84	938	636	688	705	675	815	965	940	658	794	850	1017	1086	531	1006	1120	906	588	789	882	783	936	1016	1145	1070	1051	983	561	859	906	820	729	917	979	19	18	18	17	19	19	26	23	23	21	19	16	376	272	92	91	30	23	83	24	24	22	25	24	24	23	23	27	29	20	93	93	84	82	88	89	90	93	93	68	75	72	61	73	70	20	27	29	42	33	68	19	118	21	26	29	22	17	15	18	15	16	34	50	22	14	16	34	24	24	23	31	22	20	22	19	14	15	15	17	19	28	20	77	28	25	26	16	26	17	15	22	22	22	29	29	27	26					
9	Число недействительных избирательных бюллетеней	670	1	5	13	0	6	3	0	3	17	11	6	8	10	8	3	0	9	12	5	4	6	11	7	1	14	12	1	4	10	7	8	4	13	14	14	6	12	6	6	5	9	11	3	11	2	5	9	4	9	18	4	10	4	9	10	9	3	12	8	11	7	16	6	8	7	13	16	13	13	11	1	2	10	14	2	9	11	1	1	3	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0	2	0	0	6	7	8	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	66216	379	616	1483	218	1218	533	142	249	879	1070	1071	957	763	450	363	267	1028	896	961	619	485	1051	703	561	1112	861	676	812	621	961	874	646	845	892	751	827	958	686	901	805	937	1037	104	941	649	703	705	683	986	963	948	656	810	864	1026	1089	545	1016	1126	927	588	789	890	780	961	1022	1145	1071	1052	1099	577	870	918	823	753	916	1003	18	17	15	17	19	16	24	23	23	21	19	16	376	272	92	89	30	23	83	24	24	22	25	24	24	23	23	27	29	20	93	92	84	76	86	89	90	93	93	66	75	72	55	66	62	20	27	29	34	33	61	19	118	21	26	29	22	17	15	18	15	16	33	50	18	13	16	34	24	24	23	31	22	20	22	19	14	15	15	17	19	28	20	77	28	25	26	16	26	17	15	22	22	22	29	29	27	26					
