Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Пермская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763					
1	"Число избирателей, внесенных в список"	64507	2117	385	172	171	1728	1606	2671	608	720	420	585	150	147	1134	2754	761	1185	1228	1429	430	113	1716	1592	448	305	353	208	246	1406	2300	197	723	733	1697	1979	125	526	1852	680	134	64	2080	657	800	293	1200	199	1699	1507	1317	1561	751	1446	2300	2283	1318	1475	1294	1589	852	951	543	594					
2	Число полученных избирательных бюллетеней	63358	2200	380	174	172	1700	1660	2500	600	700	390	550	146	142	1256	2800	750	1050	1050	1400	410	137	1600	1500	450	300	400	250	250	1360	2100	190	900	700	1600	2000	135	520	1890	650	145	61	2000	600	700	250	900	210	1700	1500	1300	1650	800	1480	2100	2100	1200	1550	1250	1700	750	950	500	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	348	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	25	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	122	50	0	0	0	0	0	0	0	0	84	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38230	1394	227	102	88	984	1024	1530	348	420	230	324	99	101	617	1760	502	692	677	772	227	95	960	891	240	167	152	153	132	1040	1449	136	664	375	989	996	106	351	1246	426	100	51	1179	386	516	166	877	159	1076	975	575	641	461	808	1535	1423	637	699	768	913	464	399	245	491					
5	"Число избирательных бюллетеней, выданных вне помещения"	4225	121	33	38	56	73	38	78	11	7	64	47	31	11	112	56	56	44	25	72	74	18	73	22	14	22	201	16	41	114	26	10	59	180	138	174	12	73	69	50	10	5	23	27	23	57	23	18	63	40	311	243	43	156	61	121	134	118	53	78	63	104	92	0					
6	Число погашенных избирательных бюллетеней	20555	685	120	34	28	643	598	892	235	270	96	179	16	30	527	984	192	314	348	556	109	24	567	587	196	111	47	81	77	206	625	44	177	145	427	805	17	96	575	166	35	1	798	187	161	27	0	33	561	485	414	644	246	516	504	556	429	733	429	709	223	363	163	509					
7	Число избирательных бюллетеней в переносных ящиках	4573	121	33	38	56	73	38	78	17	10	64	47	31	11	112	56	56	44	25	72	74	18	73	22	14	22	201	16	41	114	26	10	59	180	184	199	12	73	69	58	10	9	23	27	23	57	23	18	63	40	311	365	93	156	61	121	134	118	53	78	63	188	92	0					
8	Число бюллетеней в стационарных ящиках для голосования	38206	1394	227	102	88	984	1024	1530	348	420	228	324	99	101	617	1760	502	692	677	772	227	95	959	891	240	167	152	153	132	1040	1449	136	664	375	989	996	106	351	1246	426	100	51	1179	386	516	166	868	159	1076	975	575	640	461	808	1528	1423	637	699	768	913	460	399	245	491					
9	Число недействительных избирательных бюллетеней	392	22	1	2	1	10	12	7	4	4	4	9	1	0	7	11	13	15	15	10	2	1	12	11	5	6	5	0	2	10	15	4	2	5	10	10	0	2	4	4	10	3	7	2	3	2	4	1	8	10	4	18	2	5	7	8	8	7	12	3	0	5	2	3					
10	Число действительных избирательных бюллетеней	42387	1493	259	138	143	1047	1050	1601	361	426	288	362	129	112	722	1805	545	721	687	834	299	112	1020	902	249	183	348	169	171	1144	1460	142	721	550	1163	1185	118	422	1311	480	100	57	1195	411	536	221	887	176	1131	1005	882	987	552	959	1582	1536	763	810	809	988	523	582	335	488					
