Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    территориальная избирательная комиссия Ленинского р-на г. Владимира																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390					
1	"Число избирателей, внесенных в списки избирателей"	101462	2299	1158	2449	2652	2940	2763	1709	2587	2537	2592	2774	2630	2845	2567	2723	2718	2649	2727	2686	2433	2935	2534	2342	2931	2695	2759	2401	2512	735	1387	378	1650	1958	2282	2350	2527	2657	2030	318	2451	2108	2051	383	2736	1585	329					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	96501	2000	1100	2400	2400	2700	2600	1600	2500	2400	2600	2700	2600	2800	2500	2600	2700	2500	2600	2600	2600	2600	2500	2300	2700	2600	2500	2200	2400	690	1300	380	1500	1800	2100	2200	2500	2500	2000	321	2400	2000	2000	380	2300	1500	330					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60506	1677	657	1634	1468	1730	1723	1015	1464	1500	1555	1608	1488	1636	1590	1715	1607	1424	1668	1593	1641	1675	1726	1411	1698	1644	1547	1249	1279	324	822	262	1031	1082	1328	1321	1480	1583	1200	169	1712	1211	1125	210	1698	1000	326					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1900	61	31	49	34	55	37	37	73	55	68	33	75	24	24	35	32	26	33	13	117	44	49	44	57	36	138	52	24	17	27	30	11	32	50	42	53	24	19	39	36	50	45	28	21	20	0					
6	Число погашенных избирательных бюллетеней	34093	262	412	717	898	915	840	548	963	845	977	1059	1037	1140	885	850	1061	1050	899	994	842	881	725	845	945	920	815	899	1097	349	451	88	458	686	722	837	967	893	781	113	652	739	829	142	581	480	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1899	61	31	49	34	55	37	37	73	55	68	33	75	24	24	35	32	26	33	13	116	44	49	44	57	36	138	52	24	17	27	30	11	32	50	42	53	24	19	39	36	50	45	28	21	20	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60478	1677	656	1634	1463	1730	1721	1015	1463	1499	1555	1608	1488	1636	1590	1707	1607	1424	1668	1591	1640	1675	1723	1411	1698	1641	1547	1249	1279	324	822	262	1031	1082	1328	1321	1480	1583	1200	169	1712	1210	1125	210	1698	1000	326					
9	Число недействительных избирательных бюллетеней	945	46	9	31	22	26	26	15	25	19	21	25	29	18	20	20	24	14	24	27	30	22	29	16	34	30	25	12	16	2	20	53	6	6	12	23	20	25	20	0	14	16	23	2	30	10	8					
10	Число действительных избирательных бюллетеней	61432	1692	678	1652	1475	1759	1732	1037	1511	1535	1602	1616	1534	1642	1594	1722	1615	1436	1677	1577	1726	1697	1743	1439	1721	1647	1660	1289	1287	339	829	239	1036	1108	1366	1340	1513	1582	1199	208	1734	1244	1147	236	1689	1010	318					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1598	300	25	45	35	45	25	25	25	35	25	25	36	40	25	25	50	30	25	40	25	25	40	25	31	37	29	25	35	25	25	0	25	25	25	25	25	45	25	25	40	25	25	25	35	25	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1257	300	6	36	30	38	21	13	22	35	20	17	36	33	12	23	43	29	19	28	25	18	39	18	29	34	25	19	29	1	11	0	18	11	25	17	17	33	16	6	33	19	17	3	25	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1135	69	18	40	35	18	19	15	27	21	22	31	14	9	15	23	17	28	7	12	23	16	16	22	30	28	27	152	18	26	30	3	16	11	19	6	14	21	20	1	30	14	12	2	17	6	115					
14	Число погашенных неиспользованных открепительных удостоверений	341	0	19	9	5	7	4	12	3	0	5	8	0	7	13	2	7	1	6	12	0	7	1	7	2	3	4	6	6	24	14	0	7	14	0	8	8	12	9	19	7	6	8	22	10	17	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	0	0	0	1	1	0	2	1	1	1	0	1	1	2	1	0	1	0	2	1	0	3	3	2	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	1.Политическая партия «Аграрная партия России»	2416	66	26	59	48	58	78	39	54	64	66	65	62	68	52	50	62	45	59	70	63	65	64	40	54	78	55	50	35	9	42	10	65	64	71	67	49	55	70	2	49	41	41	8	88	88	2					
		3.87%	3.80%	3.78%	3.51%	3.21%	3.25%	4.44%	3.71%	3.52%	4.12%	4.07%	3.96%	3.97%	4.10%	3.22%	2.87%	3.78%	3.10%	3.47%	4.36%	3.59%	3.78%	3.61%	2.75%	3.08%	4.65%	3.26%	3.84%	2.69%	2.64%	4.95%	3.42%	6.24%	5.75%	5.15%	4.92%	3.20%	3.42%	5.74%	0.96%	2.80%	3.25%	3.50%	3.36%	5.12%	8.63%	0.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1112	37	7	37	23	22	24	18	26	22	38	27	30	31	35	19	29	26	36	25	25	45	39	16	53	25	50	24	16	5	12	4	12	32	15	11	19	26	17	2	37	29	17	2	48	11	8					
		1.78%	2.13%	1.02%	2.20%	1.54%	1.23%	1.37%	1.71%	1.69%	1.42%	2.34%	1.65%	1.92%	1.87%	2.17%	1.09%	1.77%	1.79%	2.12%	1.56%	1.42%	2.62%	2.20%	1.10%	3.02%	1.49%	2.97%	1.84%	1.23%	1.47%	1.41%	1.37%	1.15%	2.87%	1.09%	0.81%	1.24%	1.62%	1.39%	0.96%	2.12%	2.30%	1.45%	0.84%	2.79%	1.08%	2.45%					
20	3.Политическая партия «Демократическая партия России»	118	7	3	2	1	3	2	7	3	2	0	2	4	4	4	2	3	2	0	5	1	6	1	5	3	2	4	2	1	0	1	4	1	4	0	3	2	3	1	1	3	3	1	0	3	6	1					
		0.19%	0.40%	0.44%	0.12%	0.07%	0.17%	0.11%	0.67%	0.20%	0.13%	0.00%	0.12%	0.26%	0.24%	0.25%	0.11%	0.18%	0.14%	0.00%	0.31%	0.06%	0.35%	0.06%	0.34%	0.17%	0.12%	0.24%	0.15%	0.08%	0.00%	0.12%	1.37%	0.10%	0.36%	0.00%	0.22%	0.13%	0.19%	0.08%	0.48%	0.17%	0.24%	0.09%	0.00%	0.17%	0.59%	0.31%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10074	199	103	310	307	397	304	164	251	235	270	289	320	311	270	271	254	257	278	251	260	310	425	196	259	285	271	208	172	39	169	25	177	136	214	126	140	284	191	14	292	176	173	17	302	161	11					
		16.15%	11.45%	14.99%	18.42%	20.51%	22.24%	17.29%	15.59%	16.34%	15.12%	16.64%	17.61%	20.47%	18.73%	16.73%	15.56%	15.50%	17.72%	16.34%	15.65%	14.81%	18.03%	23.98%	13.47%	14.76%	16.99%	16.08%	15.99%	13.20%	11.44%	19.91%	8.56%	16.99%	12.21%	15.53%	9.24%	9.13%	17.67%	15.67%	6.73%	16.70%	13.97%	14.79%	7.14%	17.57%	15.78%	3.37%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	693	20	1	30	12	27	29	11	21	13	27	15	15	16	15	14	12	13	20	19	28	32	19	11	28	10	23	20	16	9	18	2	8	6	4	9	8	24	9	0	29	12	11	0	14	11	2					
		1.11%	1.15%	0.15%	1.78%	0.80%	1.51%	1.65%	1.05%	1.37%	0.84%	1.66%	0.91%	0.96%	0.96%	0.93%	0.80%	0.73%	0.90%	1.18%	1.18%	1.59%	1.86%	1.07%	0.76%	1.60%	0.60%	1.36%	1.54%	1.23%	2.64%	2.12%	0.68%	0.77%	0.54%	0.29%	0.66%	0.52%	1.49%	0.74%	0.00%	1.66%	0.95%	0.94%	0.00%	0.81%	1.08%	0.61%					
23	6.Политическая партия «Партия социальной справедливости»	271	18	1	9	5	7	10	3	8	5	8	10	4	1	3	10	7	4	2	6	7	6	10	6	10	12	4	9	5	1	3	3	7	3	3	3	5	9	6	0	13	5	5	1	8	5	1					
		0.43%	1.04%	0.15%	0.53%	0.33%	0.39%	0.57%	0.29%	0.52%	0.32%	0.49%	0.61%	0.26%	0.06%	0.19%	0.57%	0.43%	0.28%	0.12%	0.37%	0.40%	0.35%	0.56%	0.41%	0.57%	0.72%	0.24%	0.69%	0.38%	0.29%	0.35%	1.03%	0.67%	0.27%	0.22%	0.22%	0.33%	0.56%	0.49%	0.00%	0.74%	0.40%	0.43%	0.42%	0.47%	0.49%	0.31%					
24	7.Политическая партия «Либерально-демократическая партия России»	7159	295	62	151	171	199	184	114	169	185	162	194	170	158	184	206	166	179	155	207	181	177	135	149	216	178	159	164	185	43	102	15	128	140	190	160	206	180	154	30	210	143	152	29	183	105	134					
		11.48%	16.97%	9.02%	8.97%	11.42%	11.15%	10.47%	10.84%	11.00%	11.90%	9.98%	11.82%	10.88%	9.52%	11.40%	11.83%	10.13%	12.34%	9.11%	12.91%	10.31%	10.30%	7.62%	10.24%	12.31%	10.61%	9.44%	12.61%	14.20%	12.61%	12.01%	5.14%	12.28%	12.57%	13.79%	11.74%	13.44%	11.20%	12.63%	14.42%	12.01%	11.35%	12.99%	12.18%	10.65%	10.29%	41.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5994	145	67	207	150	173	177	85	154	159	150	152	166	164	163	181	188	140	157	147	165	139	155	131	165	199	168	162	143	20	80	13	80	113	104	143	135	151	104	12	130	104	119	13	198	110	13					
		9.61%	8.34%	9.75%	12.30%	10.02%	9.69%	10.07%	8.08%	10.03%	10.23%	9.24%	9.26%	10.62%	9.88%	10.10%	10.39%	11.47%	9.66%	9.23%	9.16%	9.40%	8.09%	8.75%	9.00%	9.40%	11.87%	9.97%	12.45%	10.97%	5.87%	9.42%	4.45%	7.68%	10.14%	7.55%	10.49%	8.81%	9.40%	8.53%	5.77%	7.44%	8.25%	10.17%	5.46%	11.52%	10.78%	3.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1113	26	7	41	33	32	39	10	25	21	27	31	36	51	57	49	23	28	54	44	17	26	33	42	27	35	30	29	13	3	9	4	14	8	20	3	16	37	10	2	27	20	12	2	28	10	2					
		1.78%	1.50%	1.02%	2.44%	2.20%	1.79%	2.22%	0.95%	1.63%	1.35%	1.66%	1.89%	2.30%	3.07%	3.53%	2.81%	1.40%	1.93%	3.17%	2.74%	0.97%	1.51%	1.86%	2.89%	1.54%	2.09%	1.78%	2.23%	0.99%	0.88%	1.06%	1.37%	1.34%	0.72%	1.45%	0.22%	1.04%	2.30%	0.82%	0.96%	1.54%	1.59%	1.03%	0.84%	1.63%	0.98%	0.61%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	31075	835	391	777	686	784	839	562	754	791	824	790	684	804	778	876	836	711	868	775	947	851	796	818	846	779	840	594	675	209	368	153	524	579	729	806	923	769	609	145	907	684	599	162	773	484	141					
		49.82%	48.04%	56.91%	46.17%	45.82%	43.92%	47.72%	53.42%	49.09%	50.90%	50.77%	48.14%	43.76%	48.43%	48.20%	50.29%	51.01%	49.03%	51.03%	48.32%	53.93%	49.51%	44.92%	56.22%	48.21%	46.45%	49.85%	45.66%	51.80%	61.29%	43.35%	52.40%	50.29%	51.97%	52.90%	59.13%	60.21%	47.85%	49.96%	69.71%	51.89%	54.29%	51.20%	68.07%	44.97%	47.45%	43.25%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1407	44	10	29	39	57	46	24	46	38	30	41	43	34	33	44	35	31	48	28	32	40	66	25	60	44	56	27	26	1	25	6	20	23	16	9	10	44	28	0	37	27	17	2	44	19	3					
		2.26%	2.53%	1.46%	1.72%	2.61%	3.19%	2.62%	2.28%	2.99%	2.45%	1.85%	2.50%	2.75%	2.05%	2.04%	2.53%	2.14%	2.14%	2.82%	1.75%	1.82%	2.33%	3.72%	1.72%	3.42%	2.62%	3.32%	2.08%	1.99%	0.29%	2.94%	2.05%	1.92%	2.06%	1.16%	0.66%	0.65%	2.74%	2.30%	0.00%	2.12%	2.14%	1.45%	0.84%	2.56%	1.86%	0.92%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
