Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Суетская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
1	"Число избирателей, внесенных в списки избирателей"	4535	590	403	1926	174	1096	173	173					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4950	620	420	2140	200	1200	180	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2718	433	195	1160	128	587	112	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	345	3	131	116	5	51	12	27					
6	Число погашенных избирательных бюллетеней	1887	184	94	864	67	562	56	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	345	3	131	116	5	51	12	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2718	433	195	1160	128	587	112	103					
9	Число недействительных избирательных бюллетеней	21	1	2	9	3	3	2	1					
10	Число действительных избирательных бюллетеней	3042	435	324	1267	130	635	122	129					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	15	14	25	10	15	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	24	3	3	13	1	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	10	0	3	6	0	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	75	12	11	12	9	12	10	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	208	41	9	84	8	55	3	8					
		6.79%	9.40%	2.76%	6.58%	6.02%	8.62%	2.42%	6.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	1	0	0	1	1	0	0					
		0.10%	0.23%	0.00%	0.00%	0.75%	0.16%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	3	0	1	0	0					
		0.16%	0.23%	0.00%	0.24%	0.00%	0.16%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	342	46	15	169	10	85	4	13					
		11.17%	10.55%	4.60%	13.24%	7.52%	13.32%	3.23%	10.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	15	0	0	9	1	4	1	0					
		0.49%	0.00%	0.00%	0.71%	0.75%	0.63%	0.81%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	2	1	0	0	2	0	0					
		0.16%	0.46%	0.31%	0.00%	0.00%	0.31%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	202	27	11	85	10	43	14	12					
		6.59%	6.19%	3.37%	6.66%	7.52%	6.74%	11.29%	9.23%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	339	31	20	194	20	32	21	21					
		11.07%	7.11%	6.13%	15.20%	15.04%	5.02%	16.94%	16.15%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	21	5	0	10	1	3	1	1					
		0.69%	1.15%	0.00%	0.78%	0.75%	0.47%	0.81%	0.77%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1894	279	268	707	79	409	78	74					
		61.83%	63.99%	82.21%	55.41%	59.40%	64.11%	62.90%	56.92%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	8	2	0	6	0	0	0	0					
		0.26%	0.46%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
