Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Mихайловская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27096	1418	1408	1132	666	902	1081	844	985	188	202	657	502	852	597	424	383	792	859	367	718	646	860	629	91	81	298	532	72	171	173	762	150	156	361	228	192	91	339	193	151	351	312	190	346	281	282	82	390	735	244	342	319	1066	321	348	334									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26200	1400	1300	1100	650	900	1000	800	950	185	200	650	500	800	600	400	350	800	850	350	850	650	800	600	85	80	300	500	70	180	170	750	150	150	350	200	170	90	300	180	150	350	300	180	300	280	280	80	350	700	240	340	320	1000	300	320	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13094	604	594	544	261	341	399	338	345	159	108	262	207	359	307	169	230	596	660	142	597	456	406	224	38	39	151	269	12	87	76	390	63	65	162	116	145	56	153	97	101	183	133	100	153	148	132	33	130	287	79	217	209	460	170	137	195									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3125	68	103	38	19	39	33	33	93	14	14	48	40	128	130	178	52	48	28	94	121	84	233	59	22	9	33	49	30	7	47	102	38	46	52	22	8	18	49	41	12	42	60	40	90	32	66	27	31	34	60	99	81	80	40	47	14									
6	Число погашенных избирательных бюллетеней	9981	728	603	518	370	520	568	429	512	12	78	340	253	313	163	53	68	156	162	114	132	110	161	317	25	32	116	182	28	86	47	258	49	39	136	62	17	16	98	42	37	125	107	40	57	100	82	20	189	379	101	24	30	460	90	136	91									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3125	68	103	38	19	39	33	33	93	14	14	48	40	128	130	178	52	48	28	94	121	84	233	59	22	9	33	49	30	7	47	102	38	46	52	22	8	18	49	41	12	42	60	40	90	32	66	27	31	34	60	99	81	80	40	47	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13094	604	594	544	261	341	399	338	345	159	108	262	207	359	307	169	230	596	660	142	597	456	406	224	38	39	151	269	12	87	76	390	63	65	162	116	145	56	153	97	101	183	133	100	153	148	132	33	130	287	79	217	209	460	170	137	195									
9	Число недействительных избирательных бюллетеней	227	12	12	6	11	9	7	9	6	1	0	3	1	15	3	2	5	41	5	1	4	0	7	5	0	0	1	5	0	0	2	8	0	0	5	0	0	0	1	0	2	6	0	1	0	0	1	2	4	12	1	0	0	9	0	0	2									
10	Число действительных избирательных бюллетеней	15992	660	685	576	269	371	425	362	432	172	122	307	246	472	434	345	277	603	683	235	714	540	632	278	60	48	183	313	42	94	121	484	101	111	209	138	153	74	201	138	111	219	193	139	243	180	197	58	157	309	138	316	290	531	210	184	207									
