Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Похвистневская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №4701	УИК №4702	УИК №4703	УИК №4704	УИК №4705	УИК №4706	УИК №4707	УИК №4708	УИК №4709	УИК №4710	УИК №4711	УИК №4712	УИК №4713	УИК №4714	УИК №4715	УИК №4716	УИК №4717	УИК №4718	УИК №4719	УИК №4720	УИК №4721	УИК №4722	УИК №4723	УИК №4724	УИК №4725	УИК №4726	УИК №4727	УИК №4728									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20703	1324	166	1218	500	341	723	272	101	628	92	980	1073	517	829	204	2437	371	756	394	1776	235	1036	494	532	1480	576	428	1220									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21228	1340	177	1240	506	348	735	287	110	675	92	1020	1120	538	865	207	2450	383	775	400	1810	235	1080	510	540	1500	585	450	1250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16051	1165	148	1008	405	280	437	238	68	527	66	819	908	350	709	108	1485	268	581	259	1508	201	806	371	376	1191	375	334	1060									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2376	95	11	173	75	57	94	18	22	75	24	121	101	41	110	43	169	64	120	64	128	30	142	75	98	171	79	62	114									
6	Число погашенных избирательных бюллетеней	2801	80	18	59	26	11	204	31	20	73	2	80	111	147	46	56	796	51	74	77	174	4	132	64	66	138	131	54	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2376	95	11	173	75	57	94	18	22	75	24	121	101	41	110	43	169	64	120	64	128	30	142	75	98	171	79	62	114									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16051	1165	148	1008	405	280	437	238	68	527	66	819	908	350	709	108	1485	268	581	259	1508	201	806	371	376	1191	375	334	1060									
9	Число недействительных избирательных бюллетеней	409	16	6	0	1	2	26	5	4	2	0	15	11	4	60	1	0	10	3	21	17	5	17	9	10	140	18	5	1									
10	Число действительных избирательных бюллетеней	18018	1244	153	1181	479	335	505	251	86	600	90	925	998	387	759	150	1654	322	698	302	1619	226	931	437	464	1222	436	391	1173									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	453	24	5	25	8	6	21	6	2	20	4	29	22	11	9	2	54	8	15	13	30	4	36	14	8	30	14	13	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	453	24	5	25	8	6	21	6	2	20	4	29	22	11	9	2	54	8	15	13	30	4	36	14	8	30	14	13	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	3	1	8	4	7	2	3	1	0	2	9	3	1	4	1	16	1	2	5	4	1	3	0	4	5	3	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
