Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Алатырская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52					
1	"Число избирателей, внесенных в список"	32729	833	844	1223	1052	1595	1280	1234	1411	2178	1680	1133	2495	1349	702	913	1334	884	1361	780	1510	1371	2460	2090	832	185					
2	Число полученных избирательных бюллетеней	29538	750	750	1120	960	1450	1160	1090	1265	1930	1520	1000	2270	1205	630	820	1210	800	1210	720	1350	1240	2260	1900	750	178					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16611	367	341	630	510	850	570	661	815	1126	919	542	1306	830	346	446	728	391	639	369	817	678	1185	1017	490	38					
5	"Число избирательных бюллетеней, выданных вне помещения"	1654	66	82	88	26	50	75	45	48	42	70	42	47	29	36	39	30	59	71	66	127	101	67	170	38	140					
6	Число погашенных избирательных бюллетеней	11273	317	327	402	424	550	515	384	402	762	531	416	917	346	248	335	452	350	500	285	406	461	1008	713	222	0					
7	Число избирательных бюллетеней в переносных ящиках	1654	66	82	88	26	50	75	45	48	42	70	42	47	29	36	39	30	59	71	66	127	101	67	170	38	140					
8	Число бюллетеней в стационарных ящиках для голосования	16611	367	341	630	510	850	570	661	815	1126	919	542	1306	830	346	446	728	391	639	369	817	678	1185	1017	490	38					
9	Число недействительных избирательных бюллетеней	128	3	7	3	8	3	4	1	11	9	6	4	12	4	1	5	6	3	3	2	13	3	4	9	1	3					
10	Число действительных избирательных бюллетеней	18137	430	416	715	528	897	641	705	852	1159	983	580	1341	855	381	480	752	447	707	433	931	776	1248	1178	527	175					
11	Число полученных открепительных  удостоверений	972	39	40	40	40	40	40	40	40	43	40	40	58	25	40	40	40	40	40	20	40	40	63	44	40	0					
12	Число выданных открепительных удостоверений	437	8	13	19	15	32	16	12	15	31	25	13	45	16	12	13	17	5	12	7	21	12	57	15	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	384	6	5	10	5	13	4	6	8	6	5	6	20	19	3	3	3	2	32	4	15	4	11	15	1	178					
14	Число неиспользованных открепительных удостоверений	535	31	27	21	25	8	24	28	25	12	15	27	13	9	28	27	23	35	28	13	19	28	6	29	34	0					
15	"Число открепительных удостоверений, выданных в ТИК"	28	1	2	1	0	1	1	1	1	0	0	2	6	2	1	2	0	0	2	0	0	2	0	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	656	10	11	30	27	48	18	31	32	38	33	28	28	40	17	15	34	11	33	12	39	32	33	38	15	3					
		3.59%	2.31%	2.60%	4.18%	5.04%	5.33%	2.79%	4.39%	3.71%	3.25%	3.34%	4.79%	2.07%	4.66%	4.45%	3.09%	4.49%	2.44%	4.65%	2.76%	4.13%	4.11%	2.64%	3.20%	2.84%	1.69%					
19	. Малышкин Олег Александрович	294	6	5	10	4	19	13	14	8	26	10	10	18	15	5	14	8	5	21	5	7	23	23	13	9	3					
		1.61%	1.39%	1.18%	1.39%	0.75%	2.11%	2.02%	1.98%	0.93%	2.23%	1.01%	1.71%	1.33%	1.75%	1.31%	2.89%	1.06%	1.11%	2.96%	1.15%	0.74%	2.95%	1.84%	1.10%	1.70%	1.69%					
20	. Миронов Сергей Михайлович	79	4	3	2	2	4	4	0	4	3	2	0	5	2	1	6	6	1	4	3	5	1	9	4	2	2					
		0.43%	0.92%	0.71%	0.28%	0.37%	0.44%	0.62%	0.00%	0.46%	0.26%	0.20%	0.00%	0.37%	0.23%	0.26%	1.24%	0.79%	0.22%	0.56%	0.69%	0.53%	0.13%	0.72%	0.34%	0.38%	1.12%					
21	. Путин Владимир Владимирович	12461	325	235	498	354	564	453	440	515	796	677	416	936	564	247	330	498	315	441	285	681	546	921	879	404	141					
		68.22%	75.06%	55.56%	69.36%	66.04%	62.67%	70.23%	62.32%	59.68%	68.15%	68.45%	71.23%	69.18%	65.66%	64.66%	68.04%	65.70%	70.00%	62.11%	65.52%	72.14%	70.09%	73.56%	74.05%	76.52%	79.21%					
22	. Хакамада Ирина Муцуовна	351	3	14	7	10	17	7	12	23	23	20	16	29	25	7	13	16	7	13	5	17	18	21	17	6	5					
		1.92%	0.69%	3.31%	0.97%	1.87%	1.89%	1.09%	1.70%	2.67%	1.97%	2.02%	2.74%	2.14%	2.91%	1.83%	2.68%	2.11%	1.56%	1.83%	1.15%	1.80%	2.31%	1.68%	1.43%	1.14%	2.81%					
23	. Харитонов Николай Михайлович	3848	77	111	155	118	226	138	186	246	240	212	99	289	189	94	91	172	105	177	113	162	135	204	205	88	16					
		21.07%	17.78%	26.24%	21.59%	22.01%	25.11%	21.40%	26.35%	28.51%	20.55%	21.44%	16.95%	21.36%	22.00%	24.61%	18.76%	22.69%	23.33%	24.93%	25.98%	17.16%	17.33%	16.29%	17.27%	16.67%	8.99%					
																																
24	Против всех	448	5	37	13	13	19	8	22	24	33	29	11	36	20	10	11	18	3	18	10	20	21	37	22	3	5					
		2.45%	1.15%	8.75%	1.81%	2.43%	2.11%	1.24%	3.12%	2.78%	2.83%	2.93%	1.88%	2.66%	2.33%	2.62%	2.27%	2.37%	0.67%	2.54%	2.30%	2.12%	2.70%	2.96%	1.85%	0.57%	2.81%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
