Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Нукутская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129					
1	"Число избирателей, внесенных в списки"	10648	481	70	142	136	323	313	102	605	361	669	153	103	639	100	74	681	308	558	191	528	239	124	498	129	124	1088	1075	599	235					
2	"Число бюллетеней, полученных участковыми комиссиями"	10320	476	89	130	159	312	300	110	600	341	672	159	103	631	103	73	659	308	520	193	521	234	128	496	119	121	1008	994	545	216					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7246	342	60	111	126	215	203	92	433	213	439	106	77	432	83	55	475	228	392	148	348	163	94	313	99	91	671	668	393	176					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	451	34	10	4	10	8	26	10	34	29	17	0	4	22	2	0	28	13	24	6	30	5	11	30	6	8	29	26	17	8					
6	Число погашенных бюллетеней	2623	100	19	15	23	89	71	8	133	99	216	53	22	177	18	18	156	67	104	39	143	66	23	153	14	22	308	300	135	32					
7	Число бюллетеней в переносных ящиках для голосования	451	34	10	4	10	8	26	10	34	29	17	0	4	22	2	0	28	13	24	6	30	5	11	30	6	8	29	26	17	8					
8	Число бюллетеней в стационарных ящиках для голосования	7246	342	60	111	126	215	203	92	433	213	439	106	77	432	83	55	475	228	392	148	348	163	94	313	99	91	671	668	393	176					
9	Число недействительных бюллетеней	269	10	4	4	7	1	13	4	17	6	11	4	4	15	1	5	12	8	13	5	38	3	2	15	7	7	26	15	7	5					
10	Число действительных бюллетеней	7428	366	66	111	129	222	216	98	450	236	445	102	77	439	84	50	491	233	403	149	340	165	103	328	98	92	674	679	403	179					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	371	15	5	6	7	10	10	6	20	10	20	8	6	20	5	5	20	10	20	10	15	10	8	15	5	5	35	35	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	7	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	0	1	1	0	1	1	0	2	1	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	3	5	0	0					
14	Число погашенных открепительных удостоверений	348	14	5	6	8	10	10	7	19	9	18	8	6	20	4	5	20	10	20	10	15	10	8	15	5	5	27	28	16	10					
