Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
"Наименование Избирательной комиссии:    Красноярск, Кировская"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
1	"Число избирателей, внесенных в списки избирателей"	86691	2039	1815	1961	1555	1547	1596	1817	1793	1754	1750	1664	2450	1931	2208	1722	1880	2111	1955	1856	1656	1900	1796	1808	1688	1756	1720	1764	2240	1886	1752	1807	1279	1756	1828	1972	1675	1892	2333	2364	581	1754	1899	2372	1560	1644	1043	1740	1822					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	83600	2000	1700	1900	1500	1500	1600	1800	1700	1700	1700	1600	2200	1900	2200	1700	1800	2100	1900	1800	1600	1800	1700	1800	1600	1700	1700	1700	2200	1900	1700	1600	1200	1700	1800	1900	1600	1800	2300	2300	400	1700	1900	2300	1500	1500	900	1700	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45074	588	1069	1000	773	774	902	1014	681	855	972	917	1202	1015	1024	851	908	1004	1025	1009	919	1015	918	959	1022	969	946	962	1279	869	899	903	607	1004	996	1223	907	979	1065	1169	293	996	948	1231	711	964	683	979	1076					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1442	54	12	15	14	10	14	15	24	5	39	23	227	8	30	15	23	25	23	20	18	24	22	6	64	23	16	16	20	33	31	158	14	49	17	20	31	24	19	35	1	36	36	40	20	23	15	22	13					
6	Число погашенных избирательных бюллетеней	37084	1358	619	885	713	716	684	771	995	840	689	660	771	877	1146	834	869	1071	852	771	663	761	760	835	514	708	738	722	901	998	770	539	579	647	787	657	662	797	1216	1096	106	668	916	1029	769	513	202	699	711					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1442	54	12	15	14	10	14	15	24	5	39	23	227	8	30	15	23	25	23	20	18	24	22	6	64	23	16	16	20	33	31	158	14	49	17	20	31	24	19	35	1	36	36	40	20	23	15	22	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45067	588	1069	999	773	774	902	1014	681	855	972	917	1202	1012	1024	851	908	1004	1025	1009	919	1015	918	958	1022	969	946	962	1279	869	899	903	607	1004	996	1223	907	979	1065	1169	293	996	948	1231	711	964	681	979	1076					
9	Число недействительных избирательных бюллетеней	648	4	32	12	15	10	9	9	13	11	15	8	18	7	7	4	11	12	26	21	15	14	22	29	14	11	10	11	8	9	16	13	4	12	16	12	8	16	11	18	5	17	16	23	17	11	18	8	20					
10	Число действительных избирательных бюллетеней	45861	638	1049	1002	772	774	907	1020	692	849	996	932	1411	1013	1047	862	920	1017	1022	1008	922	1025	918	935	1072	981	952	967	1291	893	914	1048	617	1041	997	1231	930	987	1073	1186	289	1015	968	1248	714	976	678	993	1069					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2380	30	150	40	30	70	60	80	30	30	60	30	50	50	50	30	30	30	40	30	30	30	60	30	100	30	30	30	70	70	60	30	50	60	30	50	90	30	30	60	50	60	60	50	30	30	80	70	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1665	15	121	33	22	66	55	56	11	23	52	18	39	29	27	17	15	23	32	25	26	18	32	17	19	22	19	26	62	37	40	19	32	48	24	37	68	20	30	47	19	29	56	42	22	30	56	43	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1323	16	29	22	22	28	36	38	6	24	22	5	61	46	14	28	16	18	23	32	23	18	20	18	69	20	13	19	62	11	24	39	25	31	44	46	35	17	19	24	13	25	24	27	24	42	51	19	35					
14	Число погашенных неиспользованных открепительных удостоверений	715	15	29	7	8	4	5	24	19	7	8	12	11	21	23	13	15	7	8	5	4	12	28	13	81	8	11	4	8	33	20	11	18	12	6	13	22	10	0	13	31	31	4	8	8	0	24	27	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	91	0	3	1	2	1	2	3	1	3	5	2	1	3	2	2	0	1	0	4	2	2	1	4	1	3	4	3	4	3	0	2	2	3	3	0	0	2	2	3	0	1	0	4	1	2	1	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	1.Политическая партия «Аграрная партия России»	1094	13	18	25	9	17	19	22	13	13	22	22	25	22	14	25	24	29	35	22	17	24	26	33	24	25	22	28	17	28	21	31	11	36	25	20	27	23	24	34	4	23	27	29	21	17	11	31	46					
		2.35%	2.02%	1.67%	2.47%	1.14%	2.17%	2.07%	2.14%	1.84%	1.51%	2.18%	2.34%	1.75%	2.16%	1.33%	2.89%	2.58%	2.82%	3.34%	2.14%	1.81%	2.31%	2.77%	3.42%	2.21%	2.52%	2.29%	2.86%	1.31%	3.10%	2.26%	2.92%	1.77%	3.42%	2.47%	1.61%	2.88%	2.29%	2.21%	2.82%	1.36%	2.23%	2.74%	2.28%	2.87%	1.72%	1.58%	3.10%	4.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	424	6	1	10	11	2	5	7	6	5	9	13	12	10	6	10	9	15	8	12	6	10	10	10	11	12	5	12	9	7	9	5	6	3	12	11	6	12	10	7	0	11	8	19	6	12	10	19	9					
		0.91%	0.93%	0.09%	0.99%	1.40%	0.26%	0.55%	0.68%	0.85%	0.58%	0.89%	1.38%	0.84%	0.98%	0.57%	1.15%	0.97%	1.46%	0.76%	1.17%	0.64%	0.96%	1.06%	1.04%	1.01%	1.21%	0.52%	1.23%	0.69%	0.78%	0.97%	0.47%	0.97%	0.28%	1.18%	0.88%	0.64%	1.20%	0.92%	0.58%	0.00%	1.07%	0.81%	1.49%	0.82%	1.22%	1.44%	1.90%	0.83%					
20	3.Политическая партия «Демократическая партия России»	65	1	0	0	0	0	0	2	2	0	1	3	3	0	0	4	2	3	1	1	2	1	3	0	2	1	2	2	2	0	1	7	2	2	1	0	0	1	2	4	0	0	0	4	2	0	1	0	0					
		0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.28%	0.00%	0.10%	0.32%	0.21%	0.00%	0.00%	0.46%	0.21%	0.29%	0.10%	0.10%	0.21%	0.10%	0.32%	0.00%	0.18%	0.10%	0.21%	0.20%	0.15%	0.00%	0.11%	0.66%	0.32%	0.19%	0.10%	0.00%	0.00%	0.10%	0.18%	0.33%	0.00%	0.00%	0.00%	0.31%	0.27%	0.00%	0.14%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6202	72	81	138	78	102	113	114	76	101	124	154	181	166	136	92	160	153	181	153	97	126	128	131	142	144	159	185	144	116	145	174	68	178	106	148	128	141	148	170	19	135	122	174	106	152	78	105	158					
		13.34%	11.21%	7.49%	13.61%	9.91%	13.01%	12.34%	11.08%	10.78%	11.74%	12.27%	16.38%	12.67%	16.27%	12.90%	10.62%	17.19%	14.87%	17.27%	14.87%	10.35%	12.13%	13.62%	13.59%	13.08%	14.52%	16.53%	18.92%	11.09%	12.86%	15.59%	16.40%	10.95%	16.90%	10.46%	11.91%	13.65%	14.06%	13.65%	14.12%	6.46%	13.08%	12.40%	13.69%	14.50%	15.40%	11.21%	10.49%	14.51%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	858	13	13	12	27	22	12	29	13	23	17	11	18	20	20	10	21	12	16	17	25	12	25	8	14	11	11	13	14	9	20	28	14	24	21	21	18	23	23	21	2	17	20	21	21	20	18	31	27					
		1.84%	2.02%	1.20%	1.18%	3.43%	2.81%	1.31%	2.82%	1.84%	2.67%	1.68%	1.17%	1.26%	1.96%	1.90%	1.15%	2.26%	1.17%	1.53%	1.65%	2.67%	1.15%	2.66%	0.83%	1.29%	1.11%	1.14%	1.33%	1.08%	0.99%	2.15%	2.64%	2.25%	2.28%	2.07%	1.69%	1.92%	2.29%	2.12%	1.74%	0.68%	1.65%	2.03%	1.65%	2.87%	2.03%	2.59%	3.10%	2.48%					
23	6.Политическая партия «Партия социальной справедливости»	123	1	5	2	3	2	1	2	4	4	2	1	4	1	0	0	5	1	2	2	3	4	2	4	4	0	4	6	3	0	2	3	2	2	3	5	4	1	2	1	3	1	2	4	3	5	1	5	2					
		0.26%	0.16%	0.46%	0.20%	0.38%	0.26%	0.11%	0.19%	0.57%	0.47%	0.20%	0.11%	0.28%	0.10%	0.00%	0.00%	0.54%	0.10%	0.19%	0.19%	0.32%	0.38%	0.21%	0.41%	0.37%	0.00%	0.42%	0.61%	0.23%	0.00%	0.22%	0.28%	0.32%	0.19%	0.30%	0.40%	0.43%	0.10%	0.18%	0.08%	1.02%	0.10%	0.20%	0.31%	0.41%	0.51%	0.14%	0.50%	0.18%					
24	7.Политическая партия «Либерально-демократическая партия России»	4582	65	119	112	90	88	72	90	81	92	89	92	129	93	105	94	83	102	101	90	94	110	97	94	100	115	82	88	134	95	105	107	63	78	84	135	95	89	112	135	43	73	104	127	70	102	64	101	99					
		9.85%	10.12%	11.01%	11.05%	11.44%	11.22%	7.86%	8.75%	11.49%	10.70%	8.80%	9.79%	9.03%	9.12%	9.96%	10.85%	8.92%	9.91%	9.64%	8.75%	10.03%	10.59%	10.32%	9.75%	9.21%	11.59%	8.52%	8.99%	10.32%	10.53%	11.29%	10.08%	10.14%	7.41%	8.29%	10.86%	10.13%	8.87%	10.33%	11.21%	14.63%	7.07%	10.57%	9.99%	9.58%	10.33%	9.20%	10.09%	9.09%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4564	52	63	83	52	66	114	107	62	97	120	88	156	121	92	79	85	117	107	86	79	102	88	95	125	100	95	99	99	106	74	133	61	111	127	120	75	77	111	110	21	44	85	181	76	94	77	117	135					
		9.81%	8.10%	5.83%	8.19%	6.61%	8.42%	12.45%	10.40%	8.79%	11.28%	11.87%	9.36%	10.92%	11.86%	8.73%	9.12%	9.13%	11.37%	10.21%	8.36%	8.43%	9.82%	9.36%	9.85%	11.51%	10.08%	9.88%	10.12%	7.62%	11.75%	7.96%	12.54%	9.82%	10.54%	12.54%	9.65%	7.99%	7.68%	10.24%	9.14%	7.14%	4.26%	8.64%	14.24%	10.40%	9.52%	11.06%	11.69%	12.40%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	459	8	14	7	7	6	12	3	4	4	5	8	12	22	12	10	10	13	10	19	10	11	11	13	8	6	9	11	10	9	7	14	7	13	8	7	13	10	10	11	1	10	7	11	7	6	11	11	11					
		0.99%	1.25%	1.30%	0.69%	0.89%	0.77%	1.31%	0.29%	0.57%	0.47%	0.49%	0.85%	0.84%	2.16%	1.14%	1.15%	1.07%	1.26%	0.95%	1.85%	1.07%	1.06%	1.17%	1.35%	0.74%	0.60%	0.94%	1.12%	0.77%	0.99%	0.75%	1.32%	1.13%	1.23%	0.79%	0.56%	1.39%	0.99%	0.92%	0.91%	0.34%	0.97%	0.71%	0.87%	0.96%	0.61%	1.58%	1.10%	1.01%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	26846	402	728	606	486	462	549	634	423	495	593	528	843	554	648	524	501	564	542	592	583	611	516	538	621	550	548	511	849	507	521	537	376	572	584	749	550	591	619	673	194	683	580	640	390	557	391	558	573					
		57.72%	62.62%	67.35%	59.76%	61.75%	58.93%	59.93%	61.61%	60.00%	57.56%	58.65%	56.17%	58.99%	54.31%	61.48%	60.51%	53.81%	54.81%	51.72%	57.53%	62.22%	58.81%	54.89%	55.81%	57.18%	55.44%	56.96%	52.25%	65.36%	56.21%	56.02%	50.61%	60.55%	54.32%	57.65%	60.26%	58.64%	58.92%	57.10%	55.90%	65.99%	66.18%	58.94%	50.35%	53.35%	56.43%	56.18%	55.74%	52.62%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	644	5	7	7	9	7	10	10	8	15	14	12	28	4	14	14	20	8	19	14	6	14	12	9	21	17	15	12	10	16	9	9	7	22	26	15	14	19	12	20	2	18	13	38	12	11	16	15	9					
