Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Ермекеевская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917					
1	"Число избирателей, внесенных в список избирателей"	12154	363	176	74	443	133	119	517	299	692	1116	1035	135	368	238	321	60	47	268	256	224	187	188	184	229	583	213	642	281	131	277	507	279	585	589	395					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12495	364	179	77	447	135	121	518	301	694	1105	1033	133	372	241	325	62	49	269	266	227	189	191	188	231	674	220	648	283	138	278	596	281	586	677	397					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10475	296	145	70	307	123	102	451	235	569	980	932	112	324	221	293	60	47	193	195	188	147	188	153	209	410	186	608	261	123	252	455	251	477	550	362					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	944	43	30	4	26	8	5	46	35	80	28	23	15	37	9	22	0	0	21	35	24	30	0	29	7	125	17	27	10	8	22	33	25	62	29	29					
6	Число погашенных избирательных бюллетеней	1076	25	4	3	114	4	14	21	31	45	97	78	6	11	11	10	2	2	55	36	15	12	3	6	15	139	17	13	12	7	4	108	5	47	98	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	944	43	30	4	26	8	5	46	35	80	28	23	15	37	9	22	0	0	21	35	24	30	0	29	7	125	17	27	10	8	22	33	25	62	29	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10475	296	145	70	307	123	102	451	235	569	980	932	112	324	221	293	60	47	193	195	188	147	188	153	209	410	186	608	261	123	252	455	251	477	550	362					
9	Число недействительных избирательных бюллетеней	82	3	0	1	6	0	1	0	1	6	5	5	1	12	8	0	0	0	2	1	0	5	7	0	1	5	0	3	0	4	0	1	0	1	3	0					
10	Число действительных избирательных бюллетеней	11337	336	175	73	327	131	106	497	269	643	1003	950	126	349	222	315	60	47	212	229	212	172	181	182	215	530	203	632	271	127	274	487	276	538	576	391					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	279	4	3	3	10	1	9	22	3	10	20	30	17	14	5	5	1	1	10	19	5	3	6	3	6	5	6	10	4	1	5	7	7	9	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	185	0	3	0	10	0	9	22	3	3	8	10	14	14	5	3	0	0	7	19	5	3	1	1	1	4	5	7	0	0	0	5	7	8	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	0	0	0	3	0	0	2	3	2	11	9	4	0	0	0	0	0	3	0	0	2	4	0	0	4	0	3	2	1	1	5	1	3	6	0					
14	Число погашенных неиспользованных открепительных удостоверений	94	4	0	3	0	1	0	0	0	7	12	20	3	0	0	2	1	1	3	0	0	0	5	2	5	1	1	3	4	1	5	2	0	1	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	1	0	0	3	0	0	2	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	313	16	3	0	24	0	11	8	11	12	6	31	7	5	1	4	0	0	8	13	4	9	3	5	7	23	17	21	7	3	4	12	5	0	18	15					
		2.74%	4.72%	1.71%	0.00%	7.21%	0.00%	10.28%	1.61%	4.07%	1.85%	0.60%	3.25%	5.51%	1.39%	0.43%	1.27%	0.00%	0.00%	3.74%	5.65%	1.89%	5.08%	1.60%	2.75%	3.24%	4.30%	8.37%	3.31%	2.58%	2.29%	1.46%	2.46%	1.81%	0.00%	3.11%	3.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	347	5	9	0	38	0	4	7	11	6	4	27	8	5	1	6	1	0	4	21	9	4	5	3	14	10	23	42	20	0	2	9	8	25	10	6					
		3.04%	1.47%	5.14%	0.00%	11.41%	0.00%	3.74%	1.41%	4.07%	0.92%	0.40%	2.83%	6.30%	1.39%	0.43%	1.90%	1.67%	0.00%	1.87%	9.13%	4.25%	2.26%	2.66%	1.65%	6.48%	1.87%	11.33%	6.61%	7.38%	0.00%	0.73%	1.84%	2.90%	4.64%	1.73%	1.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	0	1	0	4	0	0	3	0	1	3	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	1	0	0	4	0					
		0.25%	0.00%	0.57%	0.00%	1.20%	0.00%	0.00%	0.60%	0.00%	0.15%	0.30%	0.21%	0.79%	0.28%	0.00%	0.32%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.47%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.69%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1297	23	23	5	27	21	25	30	48	100	222	79	32	30	20	10	3	1	64	75	14	29	11	14	13	51	41	53	27	6	5	29	3	89	68	6					
