Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Джанкойская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34356	2787	2839	1514	1422	1480	2442	2380	2433	2313	2725	2231	2224	914	2702	266	1673	1722	289									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28250	2200	2200	1200	1100	1200	1600	1900	2300	2100	2100	1800	1800	700	2100	200	2200	1300	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13722	989	1157	442	477	578	1267	1032	1164	1117	1179	704	686	302	865	103	829	671	160									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	657	34	39	28	43	37	31	47	95	31	38	37	40	27	50	17	25	38	0									
6	Число погашенных избирательных бюллетеней	13871	1177	1004	730	580	585	302	821	1041	952	883	1059	1074	371	1185	80	1346	591	90									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	657	34	39	28	43	37	31	47	95	31	38	37	40	27	50	17	25	38	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13722	989	1157	442	477	578	1267	1032	1164	1117	1179	704	686	302	865	103	829	671	160									
9	Число недействительных избирательных бюллетеней	242	15	5	2	13	12	23	13	22	31	7	20	19	6	24	0	15	12	3									
10	Число действительных избирательных бюллетеней	14137	1008	1191	468	507	603	1275	1066	1237	1117	1210	721	707	323	891	120	839	697	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	757	63	64	33	31	33	45	53	65	45	61	50	50	20	61	12	33	38	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	221	12	23	5	5	5	16	17	17	23	19	11	4	7	9	3	29	16	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	328	12	7	14	8	9	66	9	11	86	9	3	7	10	17	9	15	9	27									
14	Число погашенных неиспользованных открепительных удостоверений	536	51	41	28	26	28	29	36	48	22	42	39	46	13	52	9	4	22	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	5	1	0	2	3	1	2	1	4	0	2	2	3	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	13	5	4	0	3	33	13	13	21	15	10	8	1	9	0	12	11	0									
		1.19%	1.27%	0.42%	0.85%	0.00%	0.49%	2.54%	1.20%	1.03%	1.83%	1.23%	1.35%	1.10%	0.30%	0.98%	0.00%	1.41%	1.55%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	157	7	10	7	7	4	20	13	20	14	10	9	8	2	7	1	9	8	1									
		1.09%	0.68%	0.84%	1.49%	1.35%	0.65%	1.54%	1.20%	1.59%	1.22%	0.82%	1.21%	1.10%	0.61%	0.77%	0.83%	1.05%	1.13%	0.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	12	8	3	3	10	6	8	6	7	10	12	5	2	6	0	3	12	3									
		0.81%	1.17%	0.67%	0.64%	0.58%	1.63%	0.46%	0.74%	0.48%	0.61%	0.82%	1.62%	0.69%	0.61%	0.66%	0.00%	0.35%	1.69%	1.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10526	772	922	360	392	436	880	813	902	807	949	565	548	251	668	89	532	516	124									
		73.20%	75.46%	77.09%	76.60%	75.38%	70.89%	67.80%	75.35%	71.64%	70.30%	77.98%	76.25%	75.48%	76.29%	73.01%	74.17%	62.30%	72.78%	77.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	74	4	9	2	0	1	8	4	7	4	5	6	6	3	1	1	7	6	0									
		0.51%	0.39%	0.75%	0.43%	0.00%	0.16%	0.62%	0.37%	0.56%	0.35%	0.41%	0.81%	0.83%	0.91%	0.11%	0.83%	0.82%	0.85%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	0	4	0	3	2	2	0	2	0	3	2	1	1	4	0	1	0	0									
		0.17%	0.00%	0.33%	0.00%	0.58%	0.33%	0.15%	0.00%	0.16%	0.00%	0.25%	0.27%	0.14%	0.30%	0.44%	0.00%	0.12%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1840	128	145	58	61	69	200	139	172	144	124	71	71	36	130	12	180	84	16									
		12.80%	12.51%	12.12%	12.34%	11.73%	11.22%	15.41%	12.88%	13.66%	12.54%	10.19%	9.58%	9.78%	10.94%	14.21%	10.00%	21.08%	11.85%	10.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	54	4	5	0	3	10	3	2	5	3	6	1	4	2	1	0	0	4	1									
		0.38%	0.39%	0.42%	0.00%	0.58%	1.63%	0.23%	0.19%	0.40%	0.26%	0.49%	0.13%	0.55%	0.61%	0.11%	0.00%	0.00%	0.56%	0.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	50	7	5	3	1	0	6	3	3	7	2	3	2	0	3	0	2	3	0									
		0.35%	0.68%	0.42%	0.64%	0.19%	0.00%	0.46%	0.28%	0.24%	0.61%	0.16%	0.40%	0.28%	0.00%	0.33%	0.00%	0.23%	0.42%	0.00%									
