Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Сердобская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42781	368	386	542	1053	100	514	471	191	1130	445	271	368	1248	1417	1622	659	1377	708	559	380	309	677	1349	1466	1444	1438	1458	1400	1305	1245	1284	1252	1346	1315	1466	1397	1554	1530	1440	1398	1424	1475									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42500	370	370	530	1050	100	500	450	180	1140	450	260	350	1240	1430	1620	660	1380	700	550	370	300	680	1330	1460	1430	1430	1460	1360	1300	1240	1300	1260	1310	1310	1460	1330	1560	1500	1470	1400	1440	1470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17350	148	242	191	343	48	281	212	77	583	162	114	155	456	542	591	267	513	275	194	171	156	454	488	520	615	559	576	560	482	550	528	498	588	578	639	611	503	570	674	632	523	481									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2010	41	21	66	166	16	70	45	18	86	43	0	22	38	47	90	44	58	98	105	11	5	10	31	23	23	31	15	17	44	15	54	50	151	23	60	97	57	39	21	27	39	93									
6	Число погашенных избирательных бюллетеней	23140	181	107	273	541	36	149	193	85	471	245	146	173	746	841	939	349	809	327	251	188	139	216	811	917	792	840	869	783	774	675	718	712	571	709	761	622	1000	891	775	741	878	896									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2010	41	21	66	166	16	70	45	18	86	43	0	22	38	47	90	44	58	98	105	11	5	10	31	23	23	31	15	17	44	15	54	50	151	23	60	97	57	39	21	27	39	93									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17344	148	242	191	340	48	281	212	77	583	162	114	155	455	542	591	267	513	275	194	171	156	454	488	520	615	559	576	560	482	550	528	498	588	578	639	611	503	568	674	632	523	481									
9	Число недействительных избирательных бюллетеней	528	6	6	7	11	2	4	12	4	13	4	1	4	6	20	23	5	16	7	10	3	42	9	18	12	19	12	12	8	11	12	12	16	15	11	21	53	9	15	14	19	9	15									
10	Число действительных избирательных бюллетеней	18826	183	257	250	495	62	347	245	91	656	201	113	173	487	569	658	306	555	366	289	179	119	455	501	531	619	578	579	569	515	553	570	532	724	590	678	655	551	592	681	640	553	559									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	2	2	6	5	1	2	4	3	4	4	2	2	4	4	4	2	6	2	8	2	3	2	4	4	10	4	9	6	4	4	4	8	4	4	10	8	7	8	7	4	4	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	151	1	0	5	4	0	0	4	3	3	3	1	0	4	1	4	0	5	1	8	2	3	2	3	1	8	2	7	5	4	2	4	6	3	3	8	8	5	8	6	4	4	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	1	2	2	1	1	0	1	2	3	4	1	2	2	3	1	2	2	2	4	0	1	28	0	0	2	3	1	1	0	4	1	5	2	2	2	2	0	3	2	4	6	2									
14	Число погашенных неиспользованных открепительных удостоверений	45	1	2	1	1	1	2	0	0	1	1	1	2	0	3	0	2	1	1	0	0	0	0	1	3	2	2	2	1	0	2	0	2	1	1	2	0	2	0	1	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	168	0	0	0	5	0	0	0	0	5	12	1	3	5	11	7	2	0	2	4	2	0	2	5	4	5	3	3	2	3	6	3	6	8	11	3	6	4	10	5	7	3	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	262	1	4	3	13	2	0	2	2	6	2	5	3	4	6	12	3	8	5	2	1	0	6	11	8	4	5	12	8	8	6	5	9	13	7	8	11	11	14	12	5	8	7									
		1.35%	0.53%	1.52%	1.17%	2.57%	3.13%	0.00%	0.78%	2.11%	0.90%	0.98%	4.39%	1.69%	0.81%	1.02%	1.76%	0.96%	1.40%	1.34%	0.67%	0.55%	0.00%	1.29%	2.12%	1.47%	0.63%	0.85%	2.03%	1.39%	1.52%	1.06%	0.86%	1.64%	1.76%	1.16%	1.14%	1.55%	1.96%	2.31%	1.73%	0.76%	1.42%	1.22%									
