Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Красночетайская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12158	273	441	373	180	543	138	89	143	235	257	442	211	174	264	143	296	130	1003	1287	367	715	198	199	453	138	225	460	241	344	170	227	181	321	291	185	134	107	119	353	108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12440	280	440	380	170	620	130	110	140	250	270	440	220	190	270	150	310	130	980	1290	400	690	210	200	480	160	240	480	240	350	160	220	190	320	260	190	140	100	140	390	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7983	202	298	240	127	412	79	61	99	173	187	307	127	126	182	104	154	98	546	825	241	419	132	140	293	86	169	315	131	237	114	154	125	212	144	130	113	85	93	225	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1189	21	39	53	14	66	47	8	22	18	26	46	16	13	17	14	46	12	49	43	24	58	5	15	69	24	29	63	52	51	17	22	19	24	35	13	12	4	9	51	23									
6	Число погашенных избирательных бюллетеней	3268	57	103	87	29	142	4	41	19	59	57	87	77	51	71	32	110	20	385	422	135	213	73	45	118	50	42	102	57	62	29	44	46	84	81	47	15	11	38	114	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1189	21	39	53	14	66	47	8	22	18	26	46	16	13	17	14	46	12	49	43	24	58	5	15	69	24	29	63	52	51	17	22	19	24	35	13	12	4	9	51	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7983	202	298	240	127	412	79	61	99	173	187	307	127	126	182	104	154	98	546	825	241	419	132	140	293	86	169	315	131	237	114	154	125	212	144	130	113	85	93	225	78									
9	Число недействительных избирательных бюллетеней	403	4	18	22	9	20	0	0	2	11	6	9	6	9	14	5	8	0	29	21	21	30	14	10	15	8	4	13	6	24	3	4	8	11	8	9	5	5	2	7	3									
10	Число действительных избирательных бюллетеней	8769	219	319	271	132	458	126	69	119	180	207	344	137	130	185	113	192	110	566	847	244	447	123	145	347	102	194	365	177	264	128	172	136	225	171	134	120	84	100	269	98									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	404	10	15	12	5	20	5	5	5	8	10	14	7	5	10	5	10	5	30	40	15	22	7	7	15	5	7	15	8	10	5	7	6	10	8	6	5	3	5	12	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	383	8	15	12	5	20	5	1	5	8	10	14	7	5	10	5	10	5	30	30	15	22	3	7	15	5	7	15	8	10	5	7	6	10	8	6	5	2	5	12	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	3	0	2	0	5	0	1	2	1	3	4	2	0	5	1	1	1	4	9	1	5	0	1	1	0	0	0	0	5	1	1	0	1	1	2	0	1	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	21	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	1	1	2	0	5	0	1	0	1	0	2	0	1	1	1	1	1	6	14	1	5	1	1	5	6	4	4	0	18	1	5	0	2	1	1	0	0	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	2	2	1	1	2	1	0	2	2	0	2	1	1	0	1	2	1	2	4	0	1	1	1	3	0	2	4	1	1	0	3	3	0	0	2	0	0	1	0	1									
		0.56%	0.90%	0.59%	0.34%	0.71%	0.42%	0.79%	0.00%	1.65%	1.05%	0.00%	0.57%	0.70%	0.72%	0.00%	0.85%	1.00%	0.91%	0.34%	0.46%	0.00%	0.21%	0.73%	0.65%	0.83%	0.00%	1.01%	1.06%	0.55%	0.35%	0.00%	1.70%	2.08%	0.00%	0.00%	1.40%	0.00%	0.00%	0.98%	0.00%	0.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	134	3	4	5	1	8	2	0	3	8	1	5	4	1	0	2	6	2	9	10	6	6	4	1	6	2	2	1	2	4	3	1	2	5	5	3	1	1	0	4	1									
		1.46%	1.35%	1.19%	1.71%	0.71%	1.67%	1.59%	0.00%	2.48%	4.19%	0.47%	1.42%	2.80%	0.72%	0.00%	1.69%	3.00%	1.82%	1.51%	1.15%	2.26%	1.26%	2.92%	0.65%	1.66%	1.82%	1.01%	0.26%	1.09%	1.39%	2.29%	0.57%	1.39%	2.12%	2.79%	2.10%	0.80%	1.12%	0.00%	1.45%	0.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	139	1	3	3	1	13	3	0	4	1	5	4	1	1	1	1	6	1	11	20	3	8	4	6	4	3	2	3	1	4	1	2	2	3	4	1	2	1	1	3	1									
		1.52%	0.45%	0.89%	1.02%	0.71%	2.72%	2.38%	0.00%	3.31%	0.52%	2.35%	1.13%	0.70%	0.72%	0.50%	0.85%	3.00%	0.91%	1.85%	2.30%	1.13%	1.68%	2.92%	3.87%	1.10%	2.73%	1.01%	0.79%	0.55%	1.39%	0.76%	1.14%	1.39%	1.27%	2.23%	0.70%	1.60%	1.12%	0.98%	1.09%	0.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5295	146	197	179	82	301	107	49	84	107	150	215	68	67	115	82	112	75	283	439	150	243	67	79	213	58	119	195	114	147	75	109	78	156	99	90	84	65	79	159	58									
		57.73%	65.47%	58.46%	61.09%	58.16%	62.97%	84.92%	71.01%	69.42%	56.02%	70.42%	60.91%	47.55%	48.20%	57.79%	69.49%	56.00%	68.18%	47.56%	50.58%	56.60%	50.94%	48.91%	50.97%	58.84%	52.73%	60.10%	51.59%	62.30%	51.04%	57.25%	61.93%	54.17%	66.10%	55.31%	62.94%	67.20%	73.03%	77.45%	57.61%	57.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	55	2	2	3	0	3	0	0	1	1	0	1	0	1	0	0	0	1	5	6	3	3	0	0	2	0	1	3	1	6	0	1	1	1	2	1	2	0	0	2	0									
