Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
"Наименование Избирательной комиссии:    Самара, Октябрьская"																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922					
1	"Число избирателей, внесенных в списки избирателей"	94887	2761	2561	2121	2012	1462	2266	2537	2481	2538	1987	2015	2357	1939	2982	2163	1331	2335	2001	3031	2779	2610	2815	2660	2680	2405	2550	2056	2462	2439	1490	1731	1454	2708	2141	2651	2293	2345	1952	2084	2812	2890					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	85500	2500	2500	2000	2000	1300	2000	2500	2000	2500	2000	2000	2000	1500	2500	2000	1200	2000	2000	2500	2500	2500	2500	2500	2500	2000	2000	2000	2000	2000	1400	1500	1300	2500	2000	2500	2000	2000	1800	2000	2500	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	44922	1494	1384	1050	1172	674	1362	1334	1215	1426	1020	1026	1280	1029	1464	896	615	948	920	1604	1274	1214	1608	1244	869	841	938	957	1482	1427	604	735	592	1094	995	1146	1028	916	678	811	1227	1329					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1787	66	51	45	24	116	26	33	51	40	32	40	140	53	35	47	43	51	37	14	51	42	115	23	20	115	29	51	11	15	32	30	28	29	41	48	27	46	20	19	35	16					
6	Число погашенных избирательных бюллетеней	38791	940	1065	905	804	510	612	1133	734	1034	948	934	580	418	1001	1057	542	1001	1043	882	1175	1244	777	1233	1611	1044	1033	992	507	558	764	735	680	1377	964	1306	945	1038	1102	1170	1238	1155					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1787	66	51	45	24	116	26	33	51	40	32	40	140	53	35	47	43	51	37	14	51	42	115	23	20	115	29	51	11	15	32	30	28	29	41	48	27	46	20	19	35	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44898	1494	1383	1050	1172	674	1362	1334	1215	1424	1019	1026	1280	1029	1461	895	613	948	920	1604	1274	1214	1605	1244	869	839	938	957	1482	1427	603	734	592	1092	995	1144	1028	916	677	811	1225	1329					
9	Число недействительных избирательных бюллетеней	577	15	18	15	8	2	7	13	12	11	8	7	13	7	10	56	2	14	10	13	7	10	15	17	8	14	11	15	13	31	100	15	5	8	5	7	11	5	7	5	13	14					
10	Число действительных избирательных бюллетеней	46108	1545	1416	1080	1188	788	1381	1354	1254	1453	1043	1059	1407	1075	1486	886	654	985	947	1605	1318	1246	1705	1250	881	940	956	993	1480	1411	535	749	615	1113	1031	1185	1044	957	690	825	1247	1331					
