Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Приморская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811					
1	"Число избирателей, внесенных в списки"	21958	166	98	1323	1330	521	1317	252	334	84	561	559	413	520	80	432	118	633	1547	99	390	1533	506	277	121	217	287	254	548	682	1347	1748	254	634	306	1111	277	88	330	107	171	121	197	65					
2	"Число бюллетеней, полученных участковыми комиссиями"	20175	155	99	1250	1260	470	1200	250	300	80	510	500	370	480	80	400	110	580	1410	110	360	1370	470	250	150	200	400	250	500	510	1250	1580	230	550	260	1010	250	80	300	93	160	110	160	68					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	318	0	5	0	0	0	40	0	10	0	27	15	0	0	0	30	0	0	0	0	0	0	35	0	0	0	0	0	0	0	45	0	50	0	0	0	0	0	14	0	0	0	47	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11508	80	67	704	618	288	683	72	203	37	268	287	258	244	33	179	66	364	965	73	188	707	173	112	65	96	167	160	390	457	567	865	92	398	189	620	148	35	158	40	149	82	105	56					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1044	7	0	4	1	1	61	117	7	14	32	41	0	73	14	16	29	25	23	9	49	138	58	19	18	17	0	0	0	1	21	18	16	46	3	58	16	27	13	36	5	3	8	0					
6	Число погашенных бюллетеней	7305	68	27	542	641	181	416	61	80	29	183	157	112	163	33	175	15	191	422	28	123	525	204	119	67	87	233	90	110	52	617	697	72	106	68	332	86	18	115	17	6	25	0	12					
7	Число бюллетеней в переносных ящиках для голосования	1362	7	5	4	1	1	101	117	17	14	59	56	0	73	14	46	29	25	23	9	49	138	93	19	18	17	0	0	0	1	66	18	66	46	3	58	16	27	27	36	5	3	55	0					
8	Число бюллетеней в стационарных ящиках для голосования	11506	80	67	703	618	288	683	72	203	37	268	287	258	244	33	179	66	364	965	73	188	707	173	112	65	96	167	160	390	456	567	865	92	398	189	620	148	35	158	40	149	82	105	56					
9	Число недействительных бюллетеней	153	2	0	2	7	1	4	6	5	0	5	1	5	1	1	1	0	7	11	0	4	15	1	0	0	1	4	4	15	0	8	6	1	6	1	10	3	2	4	4	2	2	0	1					
10	Число действительных бюллетеней	12715	85	72	705	612	288	780	183	215	51	322	342	253	316	46	224	95	382	977	82	233	830	265	131	83	112	163	156	375	457	625	877	157	438	191	668	161	60	181	72	152	83	160	55					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	354	13	2	11	15	7	27	0	5	3	7	5	10	10	7	10	5	7	18	8	3	12	10	7	23	3	10	3	7	10	12	10	3	10	10	16	10	3	6	3	5	3	3	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	208	7	0	10	12	2	25	0	0	1	3	5	3	7	2	0	0	7	18	3	2	10	7	1	18	0	5	1	1	5	10	4	2	9	1	16	7	0	1	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	211	0	0	10	2	1	7	15	0	1	7	6	5	2	2	3	0	7	14	1	0	22	2	5	4	4	16	1	0	24	5	9	1	6	3	10	10	3	1	0	1	0	1	0					
