Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Гагаринская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98					
1	"Число избирателей, внесенных в список избирателей"	37344	2571	1652	1619	2698	2029	2199	2652	1545	694	2568	925	2474	1198	413	430	2156	739	158	291	207	517	313	193	239	310	734	239	909	813	444	395	271	549	286	1587	327					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32750	2300	1500	1400	2400	1800	1900	2300	1300	600	2300	800	2200	1000	350	350	1900	650	130	250	170	450	300	150	230	270	650	200	800	700	400	350	250	450	250	1400	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14116	889	587	555	1173	875	666	1052	539	223	1104	422	993	378	116	151	951	300	56	163	141	198	115	53	119	173	282	106	234	266	140	123	116	221	85	425	126					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1571	19	22	8	14	16	33	17	9	10	13	11	14	89	89	108	52	71	34	21	23	69	51	58	53	47	58	20	86	73	37	37	36	89	62	72	50					
6	Число погашенных избирательных бюллетеней	17063	1392	891	837	1213	909	1201	1231	752	367	1183	367	1193	533	145	91	897	279	40	66	6	183	134	39	58	50	310	74	480	361	223	190	98	140	103	903	124					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1569	19	22	8	14	16	33	16	9	10	13	11	14	89	89	108	52	71	34	21	23	69	51	58	53	47	58	20	85	73	37	37	36	89	62	72	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14115	889	587	555	1173	875	666	1052	539	223	1104	421	993	378	116	151	951	300	56	163	141	198	115	53	119	173	282	106	234	266	140	123	116	221	85	425	126					
9	Число недействительных избирательных бюллетеней	215	15	8	8	14	23	17	23	4	6	11	4	13	3	3	5	15	3	1	1	0	2	6	0	0	1	3	0	6	3	3	2	2	3	2	5	0					
10	Число действительных избирательных бюллетеней	15469	893	601	555	1173	868	682	1045	544	227	1106	428	994	464	202	254	988	368	89	183	164	265	160	111	172	219	337	126	313	336	174	158	150	307	145	492	176					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	608	30	40	20	33	20	24	27	20	10	40	20	30	10	3	10	30	10	3	10	10	15	10	10	30	10	10	10	30	10	3	10	3	24	10	20	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	430	25	33	18	29	10	20	23	15	3	36	14	27	5	0	4	22	4	0	3	4	15	8	1	28	7	6	4	30	3	3	2	1	12	7	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	338	22	10	21	28	22	20	20	13	4	20	7	13	10	7	4	24	3	2	8	7	5	1	2	1	6	2	2	8	9	6	6	2	6	2	8	7					
14	Число погашенных неиспользованных открепительных удостоверений	178	5	7	2	4	10	4	4	5	7	4	6	3	5	3	6	8	6	3	7	6	0	2	9	2	3	4	6	0	7	0	8	2	12	3	13	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	173	17	7	6	15	11	11	20	4	2	16	3	18	3	2	5	21	0	0	0	2	1	0	1	0	0	0	0	1	0	2	1	0	0	0	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2521	164	124	119	247	164	133	182	105	47	184	64	198	86	29	27	105	50	10	23	27	24	17	15	13	13	52	13	37	46	25	22	12	25	31	66	22					
		16.07%	18.06%	20.36%	21.14%	20.81%	18.41%	19.03%	17.04%	19.16%	20.17%	16.47%	14.81%	19.66%	18.42%	14.15%	10.42%	10.47%	13.48%	11.11%	12.50%	16.46%	8.99%	10.24%	13.51%	7.56%	5.91%	15.29%	10.32%	11.60%	13.57%	14.12%	13.75%	7.89%	8.06%	21.09%	13.28%	12.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2406	127	103	82	127	120	104	173	83	50	169	112	136	52	38	60	204	56	12	23	30	31	22	19	19	17	60	21	50	63	13	24	26	43	14	89	34					
		15.34%	13.99%	16.91%	14.56%	10.70%	13.47%	14.88%	16.20%	15.15%	21.46%	15.13%	25.93%	13.51%	11.13%	18.54%	23.17%	20.34%	15.09%	13.33%	12.50%	18.29%	11.61%	13.25%	17.12%	11.05%	7.73%	17.65%	16.67%	15.67%	18.58%	7.34%	15.00%	17.11%	13.87%	9.52%	17.91%	19.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	180	23	2	4	17	11	11	11	6	2	15	6	16	4	4	2	8	2	0	4	1	0	4	0	1	0	4	2	1	5	1	0	0	2	1	8	2					
		1.15%	2.53%	0.33%	0.71%	1.43%	1.23%	1.57%	1.03%	1.09%	0.86%	1.34%	1.39%	1.59%	0.86%	1.95%	0.77%	0.80%	0.54%	0.00%	2.17%	0.61%	0.00%	2.41%	0.00%	0.58%	0.00%	1.18%	1.59%	0.31%	1.47%	0.56%	0.00%	0.00%	0.65%	0.68%	1.61%	1.14%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3635	261	158	136	333	253	156	323	153	50	309	84	312	78	24	30	231	51	13	28	22	34	34	7	24	13	45	28	70	60	51	37	10	87	23	81	26					
		23.18%	28.74%	25.94%	24.16%	28.05%	28.40%	22.32%	30.24%	27.92%	21.46%	27.66%	19.44%	30.98%	16.70%	11.71%	11.58%	23.03%	13.75%	14.44%	15.22%	13.41%	12.73%	20.48%	6.31%	13.95%	5.91%	13.24%	22.22%	21.94%	17.70%	28.81%	23.13%	6.58%	28.06%	15.65%	16.30%	14.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	446	37	17	16	49	33	28	40	18	4	60	14	36	9	3	3	21	1	0	2	1	12	2	1	1	1	3	1	1	6	5	0	1	2	4	8	6					
