Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Сорочинская городская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839					
1	"Число избирателей, внесенных в списки избирателей"	23233	1785	1556	1400	1450	1549	1471	1667	1658	1475	1453	1604	1488	1340	1514	1823					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18050	1350	1200	1100	1150	1200	1200	1300	1300	1100	1150	1250	1150	1050	1200	1350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12760	1040	860	739	762	963	791	908	853	725	699	864	799	717	938	1102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	858	25	73	43	63	84	96	112	65	75	42	39	56	45	22	18					
6	Число погашенных избирательных бюллетеней	4431	285	267	318	324	153	313	280	382	300	409	347	295	288	240	230					
7	Число избирательных бюллетеней в переносных ящиках для голосования	858	25	73	43	63	84	96	112	65	75	42	39	56	45	22	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12758	1040	860	739	760	963	791	908	853	725	699	864	799	717	938	1102					
9	Число недействительных избирательных бюллетеней	99	3	9	14	9	4	11	9	4	9	5	3	2	5	3	9					
10	Число действительных избирательных бюллетеней	13517	1062	924	768	814	1043	876	1011	914	791	736	900	853	757	957	1111					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	196	10	10	10	19	10	20	10	10	10	20	10	15	10	15	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	130	10	7	4	7	4	20	6	8	5	9	7	10	6	14	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	97	6	11	12	9	5	11	6	9	4	2	1	2	6	13	0					
14	Число погашенных неиспользованных открепительных удостоверений	66	0	3	6	12	6	0	4	2	5	11	3	5	4	1	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	372	33	23	25	35	19	26	39	23	15	13	20	21	15	34	31					
		2.73%	3.10%	2.47%	3.20%	4.25%	1.81%	2.93%	3.82%	2.51%	1.88%	1.75%	2.21%	2.46%	1.97%	3.54%	2.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	78	8	4	3	8	3	9	2	5	1	4	10	4	3	3	11					
		0.57%	0.75%	0.43%	0.38%	0.97%	0.29%	1.01%	0.20%	0.54%	0.13%	0.54%	1.11%	0.47%	0.39%	0.31%	0.98%					
20	3.Политическая партия «Демократическая партия России»	10	0	2	1	0	1	0	0	1	0	0	0	1	2	2	0					
		0.07%	0.00%	0.21%	0.13%	0.00%	0.10%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.12%	0.26%	0.21%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2007	140	159	130	109	124	118	161	121	121	118	135	151	94	146	180					
		14.74%	13.15%	17.04%	16.62%	13.24%	11.84%	13.30%	15.78%	13.18%	15.13%	15.92%	14.95%	17.66%	12.34%	15.21%	16.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	53	8	7	3	0	1	3	1	6	1	2	1	7	6	5	2					
		0.39%	0.75%	0.75%	0.38%	0.00%	0.10%	0.34%	0.10%	0.65%	0.13%	0.27%	0.11%	0.82%	0.79%	0.52%	0.18%					
23	6.Политическая партия «Партия социальной справедливости»	27	0	0	2	1	1	1	1	1	2	2	3	6	3	1	3					
		0.20%	0.00%	0.00%	0.26%	0.12%	0.10%	0.11%	0.10%	0.11%	0.25%	0.27%	0.33%	0.70%	0.39%	0.10%	0.27%					
24	7.Политическая партия «Либерально-демократическая партия России»	1705	119	106	91	87	117	93	113	146	99	109	133	108	105	122	157					
		12.52%	11.17%	11.36%	11.64%	10.57%	11.17%	10.48%	11.08%	15.90%	12.38%	14.71%	14.73%	12.63%	13.78%	12.71%	14.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1300	110	100	68	63	101	87	81	79	57	53	88	104	97	107	105					
		9.55%	10.33%	10.72%	8.70%	7.65%	9.65%	9.81%	7.94%	8.61%	7.13%	7.15%	9.75%	12.16%	12.73%	11.15%	9.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	84	12	3	5	2	2	4	6	4	1	5	5	4	4	13	14					
		0.62%	1.13%	0.32%	0.64%	0.24%	0.19%	0.45%	0.59%	0.44%	0.13%	0.67%	0.55%	0.47%	0.52%	1.35%	1.25%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7800	630	516	439	505	669	528	601	527	485	425	499	442	425	516	593					
		57.29%	59.15%	55.31%	56.14%	61.36%	63.90%	59.53%	58.92%	57.41%	60.63%	57.35%	55.26%	51.70%	55.77%	53.75%	52.95%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	81	2	4	1	4	5	7	6	1	9	5	6	5	3	8	15					
		0.59%	0.19%	0.43%	0.13%	0.49%	0.48%	0.79%	0.59%	0.11%	1.13%	0.67%	0.66%	0.58%	0.39%	0.83%	1.34%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
