Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Саткинская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239					
1	"Число избирателей, внесенных в список избирателей"	64758	2291	557	975	2527	343	1959	1986	2535	907	1385	935	1047	829	1042	1167	1467	696	1347	701	1372	1312	1884	2203	2956	432	360	303	1732	934	1181	360	1899	831	1155	2285	1177	736	258	770	638	234	134	2242	1452	2271	2283	1232	1326	958	877	550	1224	281	220					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63250	2200	550	970	2500	340	1850	1980	2500	850	1350	930	1040	820	1040	1160	1460	690	1040	690	1350	1250	1800	2200	2950	430	360	300	1730	900	1100	350	1800	830	1150	2250	1170	730	250	770	630	230	130	2240	1450	2270	2150	1230	1320	950	870	550	1150	280	170					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	57539	1784	474	835	2004	304	1762	1913	2458	686	1221	863	988	766	946	1120	1368	639	929	607	1225	1150	1561	2123	2930	357	250	247	1628	818	821	279	1560	771	914	2017	1067	540	223	701	590	203	114	2204	1411	2234	2025	1167	1249	913	835	517	899	254	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3121	210	74	83	295	6	23	30	37	107	83	64	42	49	43	31	84	42	70	48	20	19	34	14	18	67	61	43	87	22	86	29	33	30	196	141	99	190	27	53	20	25	7	29	30	23	33	36	57	18	32	23	44	23	31					
6	Число погашенных избирательных бюллетеней	2590	206	2	52	201	30	65	37	5	57	46	3	10	5	51	9	8	9	41	35	105	81	205	63	2	6	49	10	15	60	193	42	207	29	40	92	4	0	0	16	20	2	9	7	9	13	92	27	14	19	3	10	207	3	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3121	210	74	83	295	6	23	30	37	107	83	64	42	49	43	31	84	42	70	48	20	19	34	14	18	67	61	43	87	22	86	29	33	30	196	141	99	190	27	53	20	25	7	29	30	23	33	36	57	18	32	23	44	23	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57469	1784	474	835	2004	304	1762	1913	2458	686	1221	863	988	766	946	1120	1368	639	859	607	1225	1150	1561	2123	2930	357	250	247	1628	818	821	279	1560	771	914	2017	1067	540	223	701	590	203	114	2204	1411	2234	2025	1167	1249	913	835	517	899	254	75					
9	Число недействительных избирательных бюллетеней	501	31	5	11	21	4	22	25	5	9	15	2	5	2	10	7	11	5	20	4	9	19	16	20	1	5	0	1	2	4	9	7	13	6	6	26	2	2	1	0	4	3	0	16	19	7	23	15	8	10	6	4	17	1	5					
10	Число действительных избирательных бюллетеней	60089	1963	543	907	2278	306	1763	1918	2490	784	1289	925	1025	813	979	1144	1441	676	909	651	1236	1150	1579	2117	2947	419	311	289	1713	836	898	301	1580	795	1104	2132	1164	728	249	754	606	225	121	2217	1422	2250	2035	1188	1298	921	861	536	926	276	101					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	785	23	1	10	15	5	15	20	20	15	15	10	10	13	20	10	15	5	13	5	13	13	15	23	35	10	8	10	15	5	5	5	20	10	25	40	60	10	15	13	7	5	10	15	10	25	25	20	16	5	16	5	10	13	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	709	23	1	10	15	3	14	18	16	11	15	7	4	13	19	7	11	1	13	4	13	13	15	22	35	8	8	9	14	2	5	3	20	10	25	32	60	10	11	12	5	5	3	15	10	24	24	20	16	5	11	5	10	13	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	458	13	13	31	20	0	9	8	31	6	26	12	7	3	10	1	42	3	0	5	5	11	9	6	19	1	4	6	7	6	2	3	8	5	2	9	1	6	9	3	2	0	3	2	6	10	12	9	9	6	8	10	7	7	5					
