Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Саткинская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239					
1	"Число избирателей, внесенных в списки избирателей"	64744	2432	602	624	2629	315	2062	2166	2538	1113	1149	1122	1116	890	1163	1478	1396	781	1663	672	1272	1475	2011	2238	2791	408	214	200	121	1942	763	1152	357	1611	694	925	2343	1050	499	185	591	544	177	198	119	2535	1482	2366	2199	1248	1341	1013	926	518	904	238	183					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	57530	2340	580	590	2280	310	1780	1920	2170	990	1270	980	980	770	1020	1300	1280	730	1330	580	1100	1270	1770	1930	2440	390	200	210	110	1680	670	960	350	1430	600	880	2300	1000	470	190	560	490	170	190	100	2110	1240	1950	1870	1170	1140	870	880	500	770	220	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47347	1718	423	412	1470	230	1662	1643	1844	820	1087	871	813	654	972	1129	1108	561	1022	424	951	1155	1481	1631	2205	306	173	151	75	1357	470	841	281	1249	504	586	1710	786	411	161	500	437	140	167	79	1731	1122	1611	1573	930	967	790	742	360	562	144	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3163	119	38	76	250	11	26	59	204	40	62	37	55	42	41	89	54	49	228	82	6	16	26	14	27	34	4	49	11	59	80	91	25	43	69	164	164	96	59	23	40	44	21	22	3	13	28	104	32	40	77	46	34	0	23	14	0					
6	Число погашенных избирательных бюллетеней	7020	503	119	102	560	69	92	218	122	130	121	72	112	74	7	82	118	120	80	74	143	99	263	285	208	50	23	10	24	264	120	28	44	138	27	130	426	118	0	6	20	9	9	1	18	366	90	235	265	200	96	34	104	140	185	62	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3163	119	38	76	250	11	26	59	204	40	62	37	55	42	41	89	54	49	228	82	6	16	26	14	27	34	4	49	11	59	80	91	25	43	69	164	164	96	59	23	40	44	21	22	3	13	28	104	32	40	77	46	34	0	23	14	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47340	1718	423	412	1469	230	1662	1643	1844	820	1087	871	812	654	972	1129	1108	561	1022	424	946	1155	1481	1631	2205	306	173	151	75	1357	470	841	281	1249	504	586	1710	786	411	161	500	437	140	167	79	1731	1122	1611	1573	930	967	790	742	360	562	144	145					
9	Число недействительных избирательных бюллетеней	608	22	7	7	11	0	9	36	30	13	12	14	20	1	47	40	12	9	28	6	12	16	20	20	19	1	3	0	0	22	9	10	1	0	4	3	27	0	6	1	0	2	0	0	0	12	11	24	28	5	6	13	5	2	1	1	0					
10	Число действительных избирательных бюллетеней	49895	1815	454	481	1708	241	1679	1666	2018	847	1137	894	847	695	966	1178	1150	601	1222	500	940	1155	1487	1625	2213	339	174	200	86	1394	541	922	305	1292	569	747	1847	882	464	183	540	479	161	189	82	1732	1139	1691	1577	965	1038	823	771	358	584	157	145					
