Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Коломенская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №3581	УИК №8021	УИК №8128	УИК №8129	УИК №8133	УИК №8134	УИК №8135	УИК №8136									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37971	1369	1436	1065	1134	995	1444	1294	1538	1031	1263	707	1499	1524	1174	1388	1054	674	556	848	1923	776	528	778	893	970	319	1397	1288	1697	664	1964	521	931	30	184	157	646	123	73	116									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61290	1250	1300	900	900	800	1300	1200	1400	950	1150	650	1300	1300	1000	1250	950	600	500	750	1750	700	450	700	800	850	280	1200	1100	1500	600	1750	460	800	2500	3460	3212	16428	1300	800	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15389	601	621	359	486	247	513	418	449	348	516	218	488	753	387	550	413	223	223	286	823	291	178	288	342	432	115	688	587	660	229	696	172	488	30	184	157	640	123	51	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1849	64	55	34	43	122	84	61	128	77	41	95	112	2	47	15	46	44	19	60	51	33	87	64	70	33	38	41	35	72	62	67	40	5	0	0	0	1	0	1	0									
6	Число погашенных избирательных бюллетеней	44031	585	624	507	371	431	703	721	823	525	593	337	700	545	566	685	491	333	258	404	876	376	185	348	388	385	127	471	478	768	309	987	248	307	2470	3276	3055	15787	1177	727	1084									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1870	64	55	34	43	122	84	61	128	77	41	95	112	2	47	15	46	44	19	60	51	33	87	64	70	33	38	41	35	72	62	67	40	5	0	0	0	1	0	22	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15379	596	621	359	486	247	513	418	449	348	516	218	488	753	387	550	413	223	223	286	823	290	178	288	342	432	115	688	587	659	229	696	172	485	30	184	157	640	123	51	116									
9	Число недействительных избирательных бюллетеней	589	17	27	9	22	6	23	16	36	21	32	8	18	20	19	33	14	14	14	10	14	9	5	16	9	6	5	14	11	63	14	29	4	18	1	1	0	10	0	1	0									
10	Число действительных избирательных бюллетеней	16660	643	649	384	507	363	574	463	541	404	525	305	582	735	415	532	445	253	228	336	860	314	260	336	403	459	148	715	611	668	277	734	208	472	29	183	157	631	123	72	116									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	20	28	10	20	10	20	10	15	16	15	10	10	30	15	10	10	5	18	11	20	13	5	10	10	20	5	19	20	25	10	25	5	10	0	5	0	15	0	0	0									
