Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Березовская городская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36759	272	1363	1170	904	1216	1743	1352	1928	1216	493	1660	1471	1611	1511	2089	1979	1782	1916	1903	1825	1961	2139	1534	140	1581									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36500	250	1330	1180	880	1200	1730	1330	1860	1200	480	1680	1480	1630	1500	2090	1970	1740	1930	1930	1800	1966	2130	1500	134	1580									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29741	193	1018	917	545	942	1477	1116	1566	958	362	1342	1214	1341	1245	1700	1598	1420	1602	1629	1506	1633	1778	1205	107	1327									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1486	52	136	95	206	87	55	24	45	69	52	80	21	40	57	52	69	53	49	24	32	45	32	81	5	25									
6	Число погашенных избирательных бюллетеней	5273	5	176	168	129	171	198	190	249	173	66	258	245	249	198	338	303	267	279	277	262	288	320	214	22	228									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1486	52	136	95	206	87	55	24	45	69	52	80	21	40	57	52	69	53	49	24	32	45	32	81	5	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29735	193	1018	917	545	942	1477	1116	1566	958	361	1342	1214	1341	1245	1700	1598	1420	1602	1627	1506	1633	1778	1202	107	1327									
9	Число недействительных избирательных бюллетеней	120	3	1	0	0	2	0	7	1	7	1	3	1	12	6	11	5	4	8	9	11	7	6	12	3	0									
10	Число действительных избирательных бюллетеней	31101	242	1153	1012	751	1027	1532	1133	1610	1020	412	1419	1234	1369	1296	1741	1662	1469	1643	1642	1527	1671	1804	1271	109	1352									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	855	10	30	30	30	30	30	30	30	30	15	50	30	30	30	80	30	30	60	60	60	30	30	30	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	485	0	8	13	4	18	17	7	13	14	11	28	20	18	12	54	23	23	33	42	28	21	30	15	3	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	464	3	12	6	12	11	13	17	95	8	12	17	12	15	3	15	25	87	8	6	5	20	18	14	8	22									
14	Число погашенных неиспользованных открепительных удостоверений	370	10	22	17	26	12	13	23	17	16	4	22	10	12	18	26	7	7	27	18	32	9	0	15	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	0	0	0	0	1	0	0	2	0	1	2	1	4	4	4	7	7	2	5	4	5	3	2	0	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	0	3	4	7	1	0	2	0	8	2	0	2	2	1	1	1	5	3	0	1	0	0	1	0	1									
		0.14%	0.00%	0.26%	0.40%	0.93%	0.10%	0.00%	0.18%	0.00%	0.78%	0.48%	0.00%	0.16%	0.14%	0.08%	0.06%	0.06%	0.34%	0.18%	0.00%	0.07%	0.00%	0.00%	0.08%	0.00%	0.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	56	0	1	2	4	2	3	5	3	1	1	2	2	0	4	3	5	9	1	1	0	3	0	2	1	1									
		0.18%	0.00%	0.09%	0.20%	0.53%	0.19%	0.20%	0.44%	0.19%	0.10%	0.24%	0.14%	0.16%	0.00%	0.31%	0.17%	0.30%	0.61%	0.06%	0.06%	0.00%	0.18%	0.00%	0.16%	0.89%	0.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	2	6	8	4	2	2	7	1	0	2	1	5	0	2	2	3	0	1	0	2	0	4	0	0	0									
		0.17%	0.82%	0.52%	0.79%	0.53%	0.19%	0.13%	0.61%	0.06%	0.00%	0.48%	0.07%	0.40%	0.00%	0.15%	0.11%	0.18%	0.00%	0.06%	0.00%	0.13%	0.00%	0.22%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22764	178	843	740	547	761	1135	826	1180	752	301	1035	892	998	944	1271	1221	1059	1204	1212	1094	1221	1319	941	83	1007									
