Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Шушенская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2179	УИК №2266									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28247	704	1037	1708	2041	1705	1473	1160	1764	1455	1872	1805	364	110	257	1525	438	143	65	179	670	1831	1349	131	439	131	109	1130	248	130	1032	359	141	670	72									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28310	700	1060	1720	2020	1700	1470	1160	1770	1460	1890	1820	360	100	250	1530	440	130	60	180	680	1860	1370	130	430	130	100	1130	260	130	1030	360	140	670	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9932	237	313	556	656	574	595	436	667	559	777	673	113	40	78	511	172	61	35	66	209	572	452	24	111	41	49	381	85	59	428	120	62	191	29									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	531	41	30	29	9	10	26	17	23	25	35	16	17	3	8	28	16	0	1	4	51	29	28	4	7	12	1	15	5	2	18	13	0	8	0									
6	Число погашенных избирательных бюллетеней	17847	422	717	1135	1355	1116	849	707	1080	876	1078	1131	230	57	164	991	252	69	24	110	420	1259	890	102	312	77	50	734	170	69	584	227	78	471	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	531	41	30	29	9	10	26	17	23	25	35	16	17	3	8	28	16	0	1	4	51	29	28	4	7	12	1	15	5	2	18	13	0	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9928	236	313	556	656	573	595	436	667	559	776	673	113	40	78	511	172	61	35	66	209	572	452	24	111	41	49	381	85	59	427	120	62	191	29									
9	Число недействительных избирательных бюллетеней	307	10	16	17	14	24	23	9	18	9	19	6	2	1	3	11	5	6	0	2	12	23	10	1	0	3	2	8	6	1	23	7	4	12	0									
10	Число действительных избирательных бюллетеней	10152	267	327	568	651	559	598	444	672	575	792	683	128	42	83	528	183	55	36	68	248	578	470	27	118	50	48	388	84	60	422	126	58	187	29									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	10	20	23	23	23	20	20	22	20	23	23	7	5	7	22	10	5	5	5	10	23	20	5	10	5	5	20	7	5	20	7	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	85	3	4	9	6	2	3	4	4	9	10	6	0	0	0	0	0	0	0	0	1	2	8	0	0	0	0	9	1	0	1	0	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	1	2	7	3	0	3	3	5	11	5	5	1	1	0	3	1	2	4	2	0	2	2	2	1	1	1	3	1	0	3	2	2	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	365	7	16	14	17	21	17	16	18	11	13	17	7	5	7	22	10	5	5	5	9	21	12	5	10	5	5	11	6	5	19	7	5	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	1	2	1	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	149	4	5	3	14	7	13	6	12	11	11	9	0	0	0	12	0	1	0	0	6	13	5	1	1	1	0	1	2	0	4	0	0	7	0									
		1.42%	1.44%	1.46%	0.51%	2.11%	1.20%	2.09%	1.32%	1.74%	1.88%	1.36%	1.31%	0.00%	0.00%	0.00%	2.23%	0.00%	1.64%	0.00%	0.00%	2.31%	2.16%	1.04%	3.57%	0.85%	1.89%	0.00%	0.25%	2.22%	0.00%	0.90%	0.00%	0.00%	3.52%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	333	8	6	26	18	23	25	16	19	16	31	29	2	0	2	15	3	1	1	2	5	19	16	1	4	0	2	10	1	5	17	0	1	8	1									
		3.18%	2.89%	1.75%	4.44%	2.71%	3.95%	4.03%	3.53%	2.75%	2.74%	3.82%	4.21%	1.54%	0.00%	2.33%	2.78%	1.60%	1.64%	2.78%	2.86%	1.92%	3.16%	3.33%	3.57%	3.39%	0.00%	4.00%	2.53%	1.11%	8.20%	3.82%	0.00%	1.61%	4.02%	3.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	274	11	10	19	22	9	19	14	22	15	23	25	2	1	1	10	5	2	1	2	7	12	12	0	0	3	0	9	2	4	5	1	0	3	3									
