Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Чесменская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №2390	УИК №2391	УИК №2392									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14778	353	240	134	938	2143	2205	366	519	68	811	114	121	186	474	380	112	106	334	60	58	47	827	121	155	666	167	451	388	195	625	428	608	85	293									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14000	350	240	130	910	2000	2000	360	500	60	760	110	120	170	460	360	110	110	330	70	60	50	770	120	160	640	180	450	390	190	560	420	500	80	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7461	212	188	83	547	807	937	213	365	52	393	81	74	89	253	233	67	66	177	50	46	19	332	67	94	297	85	261	210	133	268	302	295	45	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	594	21	8	11	66	20	42	17	25	4	37	4	5	10	37	2	8	0	26	0	3	0	39	5	5	28	12	23	28	10	54	20	12	0	12									
6	Число погашенных избирательных бюллетеней	5945	117	44	36	297	1173	1021	130	110	4	330	25	41	71	170	125	35	44	127	20	11	31	399	48	61	315	83	166	152	47	238	98	193	35	148									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	594	21	8	11	66	20	42	17	25	4	37	4	5	10	37	2	8	0	26	0	3	0	39	5	5	28	12	23	28	10	54	20	12	0	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7460	212	188	83	547	807	936	213	365	52	393	81	74	89	253	233	67	66	177	50	46	19	332	67	94	297	85	261	210	133	268	302	295	45	120									
9	Число недействительных избирательных бюллетеней	207	4	9	4	27	18	17	7	12	0	2	4	0	0	4	5	2	4	5	0	0	0	13	7	6	5	0	9	7	2	14	16	3	0	1									
10	Число действительных избирательных бюллетеней	7847	229	187	90	586	809	961	223	378	56	428	81	79	99	286	230	73	62	198	50	49	19	358	65	93	320	97	275	231	141	308	306	304	45	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	508	15	4	5	43	32	30	20	33	5	12	5	5	5	35	10	10	11	10	17	15	15	15	5	10	20	20	33	15	5	10	20	6	4	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	467	15	4	5	43	32	28	20	33	3	12	5	5	0	33	5	10	10	10	17	6	15	15	5	7	20	19	33	15	5	3	20	6	0	8									
