Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Маловишерская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в список избирателей"	15191	1304	963	1118	1343	2161	1115	839	2117	104	1375	251	742	149	309	172	230	321	137	162	279					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14780	1250	900	1100	1300	2150	1100	800	2150	100	1350	200	750	140	300	150	200	300	140	150	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7002	567	426	454	518	1146	414	282	1073	59	669	123	364	74	149	87	103	163	76	75	180					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1012	65	45	50	45	52	65	39	91	14	86	27	68	28	57	34	34	82	39	41	50					
6	Число погашенных избирательных бюллетеней	6766	618	429	596	737	952	621	479	986	27	595	50	318	38	94	29	63	55	25	34	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1012	65	45	50	45	52	65	39	91	14	86	27	68	28	57	34	34	82	39	41	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6999	565	426	454	518	1146	414	282	1072	59	669	123	364	74	149	87	103	163	76	75	180					
9	Число недействительных избирательных бюллетеней	247	15	12	20	10	32	11	15	31	7	26	7	9	1	6	2	7	4	4	4	24					
10	Число действительных избирательных бюллетеней	7764	615	459	484	553	1166	468	306	1132	66	729	143	423	101	200	119	130	241	111	112	206					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	392	20	10	20	20	40	10	20	40	5	20	10	30	5	15	15	10	42	20	15	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	330	7	6	12	15	35	6	6	36	5	20	10	30	5	13	12	10	42	20	15	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	220	14	25	11	19	26	6	11	8	3	14	10	9	8	6	5	13	10	2	2	18					
14	Число погашенных неиспользованных открепительных удостоверений	62	13	4	8	5	5	4	14	4	0	0	0	0	0	2	3	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	5	2	6	3	10	6	2	9	0	1	0	2	0	0	1	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
