Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Торжокская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1367					
1	"Число избирателей, внесенных в списки"	38856	1990	2282	2063	2391	2055	2146	2454	2312	2150	2372	2978	2343	2123	2363	2281	2132	2262	159					
2	"Число бюллетеней, полученных участковыми комиссиями"	37000	2000	2200	2000	2300	2000	2000	2300	2200	2000	2300	2400	2300	2000	2300	2200	2000	2200	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19842	1124	1169	999	1105	807	1037	1282	1274	1208	1280	1424	1151	902	1337	1281	1151	1154	157					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	476	37	20	56	39	21	9	28	18	27	11	35	53	30	11	18	29	34	0					
6	Число погашенных бюллетеней	16682	839	1011	945	1156	1172	954	990	908	765	1009	941	1096	1068	952	901	820	1012	143					
7	Число бюллетеней в переносных ящиках для голосования	476	37	20	56	39	21	9	28	18	27	11	35	53	30	11	18	29	34	0					
8	Число бюллетеней в стационарных ящиках для голосования	19836	1122	1169	999	1105	806	1037	1280	1274	1208	1277	1424	1151	902	1329	1281	1161	1154	157					
9	Число недействительных бюллетеней	208	14	12	5	20	9	4	10	10	21	6	14	13	4	18	22	13	9	4					
10	Число действительных бюллетеней	20104	1145	1177	1050	1124	818	1042	1298	1282	1214	1282	1445	1191	928	1322	1277	1177	1179	153					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	999	58	59	58	59	58	58	59	59	59	59	59	59	59	59	59	59	59	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	360	20	19	14	15	10	21	43	17	26	32	28	16	26	12	23	17	21	0					
