Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №8320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	95861	1406	1733	1451	1688	2014	1582	640	2047	1790	1757	1692	1754	1880	1500	1467	1623	1471	1690	1766	1515	1614	1630	1586	1430	1679	1581	1711	1591	1549	1767	1593	1921	1281	1867	1552	1424	1572	1810	1615	1782	1404	1835	1978	1886	1879	1523	1389	1429	1731	1907	1567	1432	1517	1154	1385	1553	1563	1389	1645	209	465									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	105804	1200	1500	1000	1500	1500	1500	600	2000	1500	1500	1500	1500	1500	1500	1300	1500	1200	1500	1500	1300	1300	1500	1500	1200	1500	1500	1500	1500	1300	1500	1500	1700	1000	1500	1300	1200	1300	1700	1500	1700	1300	1700	1800	1700	1700	1200	1100	1200	1600	1700	1300	1200	1300	1000	1200	1300	1300	1200	1500	204	22500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34250	474	550	530	533	579	539	148	550	477	548	540	662	714	581	580	576	609	665	819	682	593	586	584	526	543	547	489	466	550	495	552	668	448	733	647	498	615	676	530	745	555	697	743	585	512	508	469	486	603	714	568	619	558	362	414	552	668	554	611	160	465									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1217	11	44	18	13	20	11	161	15	11	7	7	14	23	19	12	16	4	12	5	8	7	14	5	6	10	7	54	16	17	110	9	148	7	22	6	14	5	16	17	9	13	15	24	7	22	10	17	14	16	4	7	2	16	23	8	7	14	18	13	37	0									
6	Число погашенных избирательных бюллетеней	70337	715	906	452	954	901	950	291	1435	1012	945	953	824	763	900	708	908	587	823	676	610	700	900	911	668	947	946	957	1018	733	895	939	884	545	745	647	688	680	1008	953	946	732	988	1033	1108	1166	682	614	700	981	982	725	579	726	615	778	741	618	628	876	7	22035									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1216	11	44	18	13	20	11	161	15	11	7	7	14	23	19	12	16	4	12	5	8	7	14	5	6	10	7	54	16	17	110	9	147	7	22	6	14	5	16	17	9	13	15	24	7	22	10	17	14	16	4	7	2	16	23	8	7	14	18	13	37	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34159	474	550	528	520	579	539	148	549	460	545	539	662	714	581	580	571	609	656	819	682	593	585	584	526	541	546	488	466	550	495	552	662	448	730	647	484	613	676	530	745	555	697	743	585	510	508	469	484	603	714	564	619	558	362	414	552	668	554	611	160	463									
9	Число недействительных избирательных бюллетеней	1453	12	46	13	26	31	20	161	15	19	13	23	23	34	18	19	18	17	28	16	20	20	23	11	21	18	26	24	10	21	29	29	25	23	33	17	23	22	27	23	22	15	49	21	28	20	19	26	14	32	21	21	18	20	10	15	13	19	21	21	25	6									
10	Число действительных избирательных бюллетеней	33922	473	548	533	507	568	530	148	549	452	539	523	653	703	582	573	569	596	640	808	670	580	576	578	511	533	527	518	472	546	576	532	784	432	719	636	475	596	665	524	732	553	663	746	564	512	499	460	484	587	697	550	603	554	375	407	546	663	551	603	172	457									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2117	34	34	34	34	34	34	30	34	34	34	44	34	49	34	34	34	34	34	36	34	34	34	34	34	34	34	34	34	34	34	34	60	34	34	34	34	34	44	36	39	34	34	34	34	34	34	34	34	37	44	45	34	34	34	34	34	34	34	40	0	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1539	20	30	15	32	28	34	4	27	19	27	40	26	40	20	18	28	15	28	36	21	31	27	26	26	15	18	30	32	20	28	24	43	14	24	29	29	21	41	28	31	18	28	25	30	32	21	17	20	36	44	35	25	26	11	18	28	21	21	38	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1223	24	16	87	22	10	56	18	15	20	11	18	15	14	10	16	11	5	8	50	20	28	14	22	7	15	13	10	17	13	10	10	31	98	19	21	31	28	14	12	19	10	20	18	9	10	23	19	25	6	7	2	44	21	17	7	11	20	22	14	7	33									
14	Число погашенных неиспользованных открепительных удостоверений	578	14	4	19	2	6	0	26	7	15	7	4	8	9	14	16	6	19	6	0	13	3	7	8	8	19	16	4	2	14	6	10	17	20	10	5	5	13	3	8	8	16	6	9	4	2	13	17	14	1	0	10	9	8	23	16	6	13	13	2	0	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	343	7	3	3	3	9	11	1	4	8	10	4	9	9	4	8	8	7	5	8	3	8	5	5	6	1	5	0	6	5	6	4	8	2	5	3	2	0	3	4	5	7	11	10	8	5	3	11	9	7	12	2	5	5	4	11	10	4	5	7	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	669	13	14	3	1	11	17	4	11	15	11	11	17	9	13	10	13	20	8	13	15	12	12	11	12	7	9	9	5	10	8	14	15	7	16	9	3	9	13	12	17	11	7	18	11	10	7	5	5	15	18	16	16	10	5	10	10	14	6	13	3	20									
		1.89%	2.68%	2.36%	0.55%	0.19%	1.84%	3.09%	1.29%	1.95%	3.18%	1.99%	2.01%	2.51%	1.22%	2.17%	1.69%	2.21%	3.26%	1.20%	1.58%	2.17%	2.00%	2.00%	1.87%	2.26%	1.27%	1.63%	1.66%	1.04%	1.76%	1.32%	2.50%	1.85%	1.54%	2.13%	1.38%	0.60%	1.46%	1.88%	2.19%	2.25%	1.94%	0.98%	2.35%	1.86%	1.88%	1.35%	1.03%	1.00%	2.42%	2.51%	2.80%	2.58%	1.74%	1.30%	2.37%	1.79%	2.05%	1.05%	2.08%	1.52%	4.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	846	4	14	5	24	17	18	3	9	8	12	23	16	19	10	15	13	13	15	14	15	19	15	15	11	15	11	9	16	15	14	22	11	9	18	12	15	11	17	17	23	18	20	28	14	17	13	15	14	13	16	8	14	21	7	8	9	20	9	13	1	6									
