Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Тамбовская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019					
1	"Число избирателей, внесенных в список"	73145	2419	508	1311	1229	679	1219	1682	1424	371	1004	511	290	888	342	1059	789	464	705	2009	1217	130	449	498	1434	486	1475	251	3141	292	313	393	363	652	543	585	450	241	233	1580	802	1322	2669	1666	287	80	1490	1502	475	311	94	2326	2829	2809	2750	2577	1348	2027	2125	1553	1286	2774	651	2183	951	629					
2	Число полученных избирательных бюллетеней	72860	2440	500	1300	1150	690	1180	1700	1420	370	1000	500	330	880	350	1070	800	450	710	2030	1230	140	450	470	1420	490	1450	250	3180	290	300	380	360	630	540	580	450	240	230	1550	790	1325	2730	1650	300	80	1470	1530	480	320	100	2300	2800	2800	2800	2500	1360	2000	2170	1550	1240	2730	635	2140	940	620					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46246	1627	328	835	590	456	762	855	806	236	477	314	229	580	205	734	522	243	458	1044	810	96	293	289	770	414	974	93	2308	208	247	183	196	507	416	380	285	136	134	1023	498	991	1791	1022	216	66	902	839	380	246	74	1585	1941	1889	1957	1862	735	1113	1252	818	814	1678	418	1279	498	319					
5	"Число избирательных бюллетеней, выданных вне помещения"	8700	170	69	89	360	37	191	153	209	75	244	91	22	180	114	127	127	133	142	226	171	12	111	159	200	0	249	95	207	35	41	126	96	123	119	115	128	92	83	110	112	198	132	173	31	0	329	240	82	65	20	89	39	46	88	69	170	287	68	111	258	242	98	320	213	189					
6	Число погашенных избирательных бюллетеней	17914	643	103	376	200	197	227	692	405	59	279	95	79	120	31	209	151	74	110	760	249	32	46	22	450	76	227	62	665	47	12	71	68	0	5	85	37	12	13	417	180	136	807	455	53	14	239	451	18	9	6	626	820	865	755	569	455	600	850	621	168	810	119	541	229	112					
7	Число избирательных бюллетеней в переносных ящиках	8700	170	69	89	360	37	191	153	209	75	244	91	22	180	114	127	127	133	142	226	171	12	111	159	200	0	249	95	207	35	41	126	96	123	119	115	128	92	83	110	112	198	132	173	31	0	329	240	82	65	20	89	39	46	88	69	170	287	68	111	258	242	98	320	213	189					
8	Число бюллетеней в стационарных ящиках для голосования	46234	1627	328	835	590	456	762	855	806	236	477	314	229	580	205	734	522	243	458	1044	810	96	291	288	770	414	973	93	2308	208	247	183	196	507	416	380	285	136	134	1023	498	991	1791	1022	216	66	902	839	380	246	74	1585	1941	1889	1957	1862	735	1113	1252	818	811	1674	418	1278	498	319					
9	Число недействительных избирательных бюллетеней	695	14	3	13	4	5	15	10	15	3	8	3	4	13	4	7	11	4	13	9	25	1	10	5	12	2	6	2	18	1	18	6	3	49	5	7	4	3	2	15	5	31	17	3	0	1	20	22	3	1	1	31	9	31	5	8	10	27	15	19	16	27	12	16	9	4					
10	Число действительных избирательных бюллетеней	54239	1783	394	911	946	488	938	998	1000	308	713	402	247	747	315	854	638	372	587	1261	956	107	392	442	958	412	1216	186	2497	242	270	303	289	581	530	488	409	225	215	1118	605	1158	1906	1192	247	65	1211	1057	459	310	93	1643	1971	1904	2040	1923	895	1373	1305	910	1053	1889	504	1582	702	504					
