Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Купинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24457	1873	1291	609	470	1552	1763	1588	1390	1417	588	117	98	324	81	60	622	50	155	148	427	159	258	437	83	212	373	452	221	138	585	412	587	408	595	321	107	363	552	308	101	164	103	437	227	68	32	320	74	588	522	411	74	142									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24338	1800	1300	600	450	1500	1700	1600	1300	1400	600	122	103	332	83	60	620	52	162	152	437	163	258	442	89	215	375	456	220	139	597	414	600	408	607	320	109	363	555	313	100	168	103	440	233	68	35	317	76	611	520	425	75	151									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9699	577	389	212	159	489	494	607	372	535	297	67	70	149	52	30	212	25	91	68	174	93	150	217	32	171	207	198	95	53	207	196	277	145	205	146	53	142	262	122	45	65	69	225	114	37	25	182	49	282	221	231	48	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1222	60	30	7	16	25	52	60	58	42	29	9	0	22	0	0	42	7	8	16	39	15	2	40	5	3	7	40	9	15	50	17	33	45	43	11	8	30	83	7	10	25	4	35	12	7	0	29	4	30	51	21	2	7									
6	Число погашенных избирательных бюллетеней	13417	1163	881	381	275	986	1154	933	870	823	274	46	33	161	31	30	366	20	63	68	224	55	106	185	52	41	161	218	116	71	340	201	290	218	359	163	48	191	210	184	45	78	30	180	107	24	10	106	23	299	248	173	25	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1222	60	30	7	16	25	52	60	58	42	29	9	0	22	0	0	42	7	8	16	39	15	2	40	5	3	7	40	9	15	50	17	33	45	43	11	8	30	83	7	10	25	4	35	12	7	0	29	4	30	51	21	2	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9699	577	389	212	159	489	494	607	372	535	297	67	70	149	52	30	212	25	91	68	174	93	150	217	32	171	207	198	95	53	207	196	277	145	205	146	53	142	262	122	45	65	69	225	114	37	25	182	49	282	221	231	48	66									
9	Число недействительных избирательных бюллетеней	242	13	11	7	4	14	27	22	8	13	14	0	1	3	1	1	4	0	0	2	6	3	1	5	0	0	1	7	0	1	8	9	3	5	4	3	1	2	8	1	0	1	1	2	1	1	0	7	0	4	3	8	0	1									
10	Число действительных избирательных бюллетеней	10679	624	408	212	171	500	519	645	422	564	312	76	69	168	51	29	250	32	99	82	207	105	151	252	37	174	213	231	104	67	249	204	307	185	244	154	60	170	337	128	55	89	72	258	125	43	25	204	53	308	269	244	50	72									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	524	20	20	10	10	25	20	20	15	25	11	5	3	10	3	3	15	5	10	3	10	5	5	10	3	10	10	15	5	3	15	10	15	10	15	10	3	10	15	10	3	5	3	10	5	3	3	10	3	15	15	15	4	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	272	17	17	5	5	22	11	20	9	21	11	5	2	6	1	0	1	0	7	2	8	2	0	2	3	0	2	2	0	1	15	0	10	0	6	3	0	2	0	4	0	5	0	2	5	0	0	0	0	15	3	12	0	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	153	11	14	3	2	12	2	4	10	7	3	2	2	2	1	1	5	0	2	0	1	2	3	1	1	0	2	3	4	0	2	3	3	2	3	6	0	3	1	4	2	3	2	1	1	2	0	3	1	0	5	2	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	252	3	3	5	5	3	9	0	6	4	0	0	1	4	2	3	14	5	3	1	2	3	5	8	0	10	8	13	5	2	0	10	5	10	9	7	3	8	15	6	3	0	3	8	0	3	3	10	3	0	12	3	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	0	1	0	4	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	5	7	1	3	6	4	7	3	4	8	1	0	1	1	0	2	0	0	0	3	0	0	1	1	1	0	2	1	1	6	0	1	3	0	4	1	0	0	1	1	3	1	2	0	1	0	1	0	3	0	4	0	0									
		0.87%	0.78%	1.67%	0.46%	1.71%	1.17%	0.73%	1.05%	0.70%	0.69%	2.45%	1.32%	0.00%	0.58%	1.92%	0.00%	0.79%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.39%	2.70%	0.57%	0.00%	0.84%	0.96%	1.47%	2.33%	0.00%	0.32%	1.58%	0.00%	2.55%	1.64%	0.00%	0.00%	0.78%	1.82%	3.33%	1.37%	0.77%	0.00%	2.27%	0.00%	0.47%	0.00%	0.96%	0.00%	1.59%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	325	21	7	10	5	22	12	18	7	9	13	15	3	9	1	1	8	0	0	4	10	2	8	8	1	0	6	4	3	1	9	4	13	9	6	2	1	6	9	9	1	4	3	7	4	4	0	2	0	6	2	8	8	0									
		2.98%	3.30%	1.67%	4.57%	2.86%	4.28%	2.20%	2.70%	1.63%	1.56%	3.99%	19.74%	4.29%	5.26%	1.92%	3.33%	3.15%	0.00%	0.00%	4.76%	4.69%	1.85%	5.26%	3.11%	2.70%	0.00%	2.80%	1.68%	2.88%	1.47%	3.50%	1.88%	4.19%	4.74%	2.42%	1.27%	1.64%	3.49%	2.61%	6.98%	1.82%	4.44%	4.11%	2.69%	3.17%	9.09%	0.00%	0.95%	0.00%	1.92%	0.74%	3.17%	16.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	162	10	7	2	8	6	9	13	10	13	5	1	0	4	0	0	8	1	0	0	1	1	0	6	0	0	2	5	0	1	12	0	5	1	0	1	0	0	1	2	0	1	2	3	0	0	0	2	3	3	9	3	0	1									
		1.48%	1.57%	1.67%	0.91%	4.57%	1.17%	1.65%	1.95%	2.33%	2.25%	1.53%	1.32%	0.00%	2.34%	0.00%	0.00%	3.15%	3.13%	0.00%	0.00%	0.47%	0.93%	0.00%	2.33%	0.00%	0.00%	0.93%	2.10%	0.00%	1.47%	4.67%	0.00%	1.61%	0.53%	0.00%	0.64%	0.00%	0.00%	0.29%	1.55%	0.00%	1.11%	2.74%	1.15%	0.00%	0.00%	0.00%	0.95%	5.66%	0.96%	3.31%	1.19%	0.00%	1.37%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5156	264	162	86	64	204	200	277	162	244	164	32	37	85	18	18	103	15	70	57	100	52	73	118	24	122	130	116	49	51	104	130	152	94	123	75	46	104	148	34	27	45	41	140	68	19	5	131	33	169	192	114	30	35									
		47.21%	41.44%	38.66%	39.27%	36.57%	39.69%	36.63%	41.53%	37.67%	42.29%	50.31%	42.11%	52.86%	49.71%	34.62%	60.00%	40.55%	46.88%	70.71%	67.86%	46.95%	48.15%	48.03%	45.91%	64.86%	70.11%	60.75%	48.74%	47.12%	75.00%	40.47%	61.03%	49.03%	49.47%	49.60%	47.77%	75.41%	60.47%	42.90%	26.36%	49.09%	50.00%	56.16%	53.85%	53.97%	43.18%	20.00%	62.09%	62.26%	54.17%	70.59%	45.24%	60.00%	47.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	1	0	1	1	3	0	1	1	3	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1									
		0.24%	0.16%	0.00%	0.46%	0.57%	0.58%	0.00%	0.15%	0.23%	0.52%	0.31%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.39%	0.47%	0.32%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	1.37%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	1.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	0	0	0	2	0	0	1	4	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0									
