Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Шенкурская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026					
1	"Число избирателей, внесенных в список"	14167	511	156	55	276	420	106	141	138	151	507	94	100	941	250	76	168	195	166	78	158	56	367	118	80	524	719	214	434	257	105	81	804	145	286	223	1663	1921	1483					
2	Число полученных избирательных бюллетеней	12680	500	150	50	270	400	100	130	140	140	400	100	100	900	250	80	160	200	160	80	150	60	360	120	80	500	600	200	300	250	110	90	800	150	280	220	1400	1500	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7753	240	74	47	193	236	85	58	82	86	271	64	38	571	157	57	112	139	115	45	112	47	230	71	64	305	398	116	238	142	78	60	418	84	135	107	796	979	703					
5	"Число избирательных бюллетеней, выданных вне помещения"	1471	67	31	0	0	63	4	62	13	16	13	8	24	113	38	19	28	12	31	11	28	3	48	24	4	48	114	56	44	12	6	3	89	44	41	62	102	56	134					
6	Число погашенных избирательных бюллетеней	3456	193	45	3	77	101	11	10	45	38	116	28	38	216	55	4	20	49	14	24	10	10	82	25	12	147	88	28	18	96	26	27	293	22	104	51	502	465	363					
7	Число избирательных бюллетеней в переносных ящиках	1471	67	31	0	0	63	4	62	13	16	13	8	24	113	38	19	28	12	31	11	28	3	48	24	4	48	114	56	44	12	6	3	89	44	41	62	102	56	134					
8	Число бюллетеней в стационарных ящиках для голосования	7753	240	74	47	193	236	85	58	82	86	271	64	38	571	157	57	112	139	115	45	112	47	230	71	64	305	398	116	238	142	78	60	418	84	135	107	796	979	703					
9	Число недействительных избирательных бюллетеней	61	3	1	0	1	0	0	1	1	2	4	0	1	0	2	0	0	1	1	0	1	0	0	1	0	1	5	1	1	3	8	1	2	0	0	0	6	7	6					
10	Число действительных избирательных бюллетеней	9163	304	104	47	192	299	89	119	94	100	280	72	61	684	193	76	140	150	145	56	139	50	278	94	68	352	507	171	281	151	76	62	505	128	176	169	892	1028	831					
11	Число полученных открепительных  удостоверений	196	3	2	2	2	5	2	2	3	2	6	2	2	10	5	3	3	5	3	2	2	2	5	3	3	10	14	3	5	3	3	6	9	3	3	3	15	25	15					
12	Число выданных открепительных удостоверений	113	0	1	0	0	1	2	1	2	1	5	0	0	6	3	1	2	3	1	2	2	0	3	0	1	6	11	0	0	3	2	2	7	0	1	1	15	16	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	72	2	2	0	2	2	2	1	0	4	1	0	1	2	1	2	0	2	0	1	4	0	1	0	0	1	2	0	0	2	1	1	2	0	1	4	13	6	9					
14	Число неиспользованных открепительных удостоверений	83	3	1	2	2	4	0	1	1	1	1	2	2	4	2	2	1	2	2	0	0	2	2	3	2	4	3	3	5	0	1	4	2	3	2	2	0	9	3					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	191	9	2	1	5	4	0	1	1	0	3	3	1	9	0	0	2	3	8	0	1	0	11	1	0	7	6	3	3	4	3	2	11	2	4	1	24	36	20					
		2.07%	2.93%	1.90%	2.13%	2.59%	1.34%	0.00%	0.83%	1.05%	0.00%	1.06%	4.17%	1.61%	1.32%	0.00%	0.00%	1.43%	1.99%	5.48%	0.00%	0.71%	0.00%	3.96%	1.05%	0.00%	1.98%	1.17%	1.74%	1.06%	2.60%	3.57%	3.17%	2.17%	1.56%	2.27%	0.59%	2.67%	3.48%	2.39%					
19	. Малышкин Олег Александрович	152	1	2	4	0	2	1	1	0	1	10	0	4	9	4	0	4	2	2	3	0	0	9	0	0	5	10	5	4	3	2	0	11	6	4	4	13	13	13					
		1.65%	0.33%	1.90%	8.51%	0.00%	0.67%	1.12%	0.83%	0.00%	0.98%	3.52%	0.00%	6.45%	1.32%	2.05%	0.00%	2.86%	1.32%	1.37%	5.36%	0.00%	0.00%	3.24%	0.00%	0.00%	1.42%	1.95%	2.91%	1.42%	1.95%	2.38%	0.00%	2.17%	4.69%	2.27%	2.37%	1.45%	1.26%	1.55%					
20	. Миронов Сергей Михайлович	60	3	1	0	2	4	0	1	0	2	1	0	0	7	1	0	0	2	1	2	1	0	1	0	0	1	2	1	3	2	1	0	3	0	0	2	2	10	4					
		0.65%	0.98%	0.95%	0.00%	1.04%	1.34%	0.00%	0.83%	0.00%	1.96%	0.35%	0.00%	0.00%	1.02%	0.51%	0.00%	0.00%	1.32%	0.68%	3.57%	0.71%	0.00%	0.36%	0.00%	0.00%	0.28%	0.39%	0.58%	1.06%	1.30%	1.19%	0.00%	0.59%	0.00%	0.00%	1.18%	0.22%	0.97%	0.48%					
21	. Путин Владимир Владимирович	7724	261	90	41	166	251	79	99	79	87	229	62	50	582	175	70	125	106	113	48	125	43	224	82	58	294	449	154	235	124	66	56	432	110	152	146	744	830	687					
		83.74%	85.02%	85.71%	87.23%	86.01%	83.95%	88.76%	82.50%	83.16%	85.29%	80.63%	86.11%	80.65%	85.09%	89.74%	92.11%	89.29%	70.20%	77.40%	85.71%	89.29%	86.00%	80.58%	86.32%	85.29%	83.29%	87.70%	89.53%	83.33%	80.52%	78.57%	88.89%	85.21%	85.94%	86.36%	86.39%	82.85%	80.19%	82.08%					
22	. Хакамада Ирина Муцуовна	210	3	0	0	5	4	1	2	2	1	4	1	0	10	2	2	3	3	3	0	0	3	5	1	3	10	17	0	9	2	0	0	7	4	5	3	24	37	34					
		2.28%	0.98%	0.00%	0.00%	2.59%	1.34%	1.12%	1.67%	2.11%	0.98%	1.41%	1.39%	0.00%	1.46%	1.03%	2.63%	2.14%	1.99%	2.05%	0.00%	0.00%	6.00%	1.80%	1.05%	4.41%	2.83%	3.32%	0.00%	3.19%	1.30%	0.00%	0.00%	1.38%	3.12%	2.84%	1.78%	2.67%	3.57%	4.06%					
23	. Харитонов Николай Михайлович	725	25	8	1	13	31	7	14	9	8	28	5	5	61	10	4	4	30	15	3	10	3	28	8	7	28	20	8	20	16	4	3	39	4	9	12	76	89	60					
		7.86%	8.14%	7.62%	2.13%	6.74%	10.37%	7.87%	11.67%	9.47%	7.84%	9.86%	6.94%	8.06%	8.92%	5.13%	5.26%	2.86%	19.87%	10.27%	5.36%	7.14%	6.00%	10.07%	8.42%	10.29%	7.93%	3.91%	4.65%	7.09%	10.39%	4.76%	4.76%	7.69%	3.12%	5.11%	7.10%	8.46%	8.60%	7.17%					
																																													
24	Против всех	101	2	1	0	1	3	1	1	3	1	5	1	1	6	1	0	2	4	3	0	2	1	0	2	0	7	3	0	7	0	0	1	2	2	2	1	9	13	13					
		1.09%	0.65%	0.95%	0.00%	0.52%	1.00%	1.12%	0.83%	3.16%	0.98%	1.76%	1.39%	1.61%	0.88%	0.51%	0.00%	1.43%	2.65%	2.05%	0.00%	1.43%	2.00%	0.00%	2.11%	0.00%	1.98%	0.59%	0.00%	2.48%	0.00%	0.00%	1.59%	0.39%	1.56%	1.14%	0.59%	1.00%	1.26%	1.55%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
