Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Первомайская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924					
1	"Число избирателей, внесенных в список избирателей"	16686	2472	2248	1863	2459	2781	1398	407	352	473	198	221	512	415	294	170	423					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15850	2450	2150	1850	2350	2750	1250	350	300	450	200	200	450	350	250	150	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14306	2390	2096	1788	2191	2288	1109	307	244	315	127	185	334	284	250	89	309					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	677	30	17	28	66	31	34	43	38	105	50	0	105	49	0	47	34					
6	Число погашенных избирательных бюллетеней	867	30	37	34	93	431	107	0	18	30	23	15	11	17	0	14	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	677	30	17	28	66	31	34	43	38	105	50	0	105	49	0	47	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14306	2390	2096	1788	2191	2288	1109	307	244	315	127	185	334	284	250	89	309					
9	Число недействительных избирательных бюллетеней	325	152	29	20	4	12	66	10	0	9	15	1	3	1	0	0	3					
10	Число действительных избирательных бюллетеней	14658	2268	2084	1796	2253	2307	1077	340	282	411	162	184	436	332	250	136	340					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	50	50	50	50	50	50	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	336	48	47	41	32	30	34	0	10	11	12	7	15	10	11	15	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	8	42	22	6	1	29	3	0	0	0	0	0	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	114	2	3	9	18	20	16	15	5	4	3	8	0	5	4	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	801	82	133	91	86	161	86	25	16	9	4	11	24	21	25	12	15					
		5.35%	3.39%	6.29%	5.01%	3.81%	6.94%	7.52%	7.14%	5.67%	2.14%	2.26%	5.95%	5.47%	6.31%	10.00%	8.82%	4.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	800	112	114	125	82	139	85	16	5	13	7	21	26	23	22	4	6					
		5.34%	4.63%	5.40%	6.88%	3.63%	5.99%	7.44%	4.57%	1.77%	3.10%	3.95%	11.35%	5.92%	6.91%	8.80%	2.94%	1.75%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	17	10	13	9	10	3	2	0	6	0	0	3	2	0	0	1					
		0.51%	0.70%	0.47%	0.72%	0.40%	0.43%	0.26%	0.57%	0.00%	1.43%	0.00%	0.00%	0.68%	0.60%	0.00%	0.00%	0.29%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2642	333	327	265	487	574	166	49	42	93	19	23	103	46	41	13	61					
		17.63%	13.76%	15.48%	14.59%	21.58%	24.75%	14.52%	14.00%	14.89%	22.14%	10.73%	12.43%	23.46%	13.81%	16.40%	9.56%	17.78%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	86	12	7	11	7	13	12	3	0	10	1	3	5	1	0	0	1					
		0.57%	0.50%	0.33%	0.61%	0.31%	0.56%	1.05%	0.86%	0.00%	2.38%	0.56%	1.62%	1.14%	0.30%	0.00%	0.00%	0.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10218	1710	1487	1286	1577	1401	724	244	219	276	131	126	274	239	162	106	256					
		68.20%	70.66%	70.37%	70.81%	69.87%	60.41%	63.34%	69.71%	77.66%	65.71%	74.01%	68.11%	62.41%	71.77%	64.80%	77.94%	74.64%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	35	2	6	5	5	9	1	1	0	4	0	0	1	0	0	1	0					
		0.23%	0.08%	0.28%	0.28%	0.22%	0.39%	0.09%	0.29%	0.00%	0.95%	0.00%	0.00%	0.23%	0.00%	0.00%	0.74%	0.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
