Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Истринская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677					
1	"Число избирателей, внесенных в списки"	96297	3043	2791	2452	2896	2598	2637	2809	2818	2384	2051	902	235	2291	2473	1820	2073	1936	2018	2301	2923	2031	2407	2251	1786	588	600	1156	1087	2387	2797	2340	448	495	333	2129	1524	853	2334	396	514	1365	536	702	315	678	1835	2212	1381	362	1162	324	794	2315	2331	388	1256	1509	1395	334	1196					
2	"Число бюллетеней, полученных участковыми комиссиями"	95401	3000	2797	2436	2850	2591	2631	2756	2764	2292	2008	871	200	2212	2452	1739	1915	1868	2002	2287	2907	1978	2355	2314	1645	565	554	1152	1071	2364	2769	2301	445	429	322	2191	1475	787	2304	391	479	1313	511	626	307	667	1827	2214	1322	358	1160	307	751	2577	2941	452	1364	1443	1368	324	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45853	1538	1653	1456	1600	1440	1221	1587	1583	1069	913	453	0	975	1220	851	891	862	998	1004	1157	767	877	1160	899	278	303	573	456	1079	1223	787	146	258	170	1125	662	377	1217	156	223	785	240	341	80	301	745	1091	587	172	557	168	461	1095	1258	116	573	669	568	140	699					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2546	14	14	18	11	21	23	19	9	16	29	25	159	29	43	80	17	18	26	19	11	14	21	24	35	25	22	91	92	33	10	62	37	46	19	170	111	34	107	36	37	18	39	12	59	54	108	54	47	14	73	63	63	19	50	59	48	11	71	52	5					
6	Число погашенных бюллетеней	46983	1448	1130	962	1239	1130	1387	1150	1172	1207	1066	393	41	1208	1189	808	1007	988	978	1264	1700	1219	1457	1130	711	262	229	488	521	1252	1536	1452	262	125	133	896	702	376	980	199	219	510	232	273	168	312	974	1069	688	172	530	76	227	1463	1633	277	743	763	729	132	396					
7	Число бюллетеней в переносных ящиках для голосования	2546	14	14	18	11	21	23	19	9	16	29	25	159	29	43	80	17	18	26	19	11	14	21	24	35	25	22	91	92	33	10	62	37	46	19	170	111	34	107	36	37	18	39	12	59	54	108	54	47	14	73	63	63	19	50	59	48	11	71	52	5					
8	Число бюллетеней в стационарных ящиках для голосования	45765	1521	1651	1456	1583	1440	1217	1587	1580	1053	913	453	0	975	1207	851	891	862	996	1004	1157	760	877	1158	899	278	298	573	456	1079	1223	787	146	258	170	1125	662	376	1217	156	221	785	240	341	80	301	745	1091	587	172	557	168	461	1095	1258	116	573	669	568	140	702					
9	Число недействительных бюллетеней	1064	17	7	40	11	20	21	22	19	51	8	9	2	4	23	18	32	25	58	32	34	8	27	12	19	0	3	16	4	38	16	32	6	24	3	43	11	8	22	5	5	63	3	12	0	5	18	40	17	4	17	5	10	31	28	2	13	12	18	3	8					
10	Число действительных бюллетеней	47247	1518	1658	1434	1583	1441	1219	1584	1570	1018	934	469	157	1000	1227	913	876	855	964	991	1134	766	871	1170	915	303	317	648	544	1074	1217	817	177	280	186	1252	762	402	1302	187	253	740	276	341	139	350	835	1105	617	182	613	226	514	1083	1280	173	608	668	621	189	699					
