Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Каменская городская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44					
1	"Число избирателей, внесенных в списки"	33504	197	2910	1236	1175	1039	1138	2245	2093	2687	2856	2628	2818	2508	2749	2366	2287	572					
2	"Число бюллетеней, полученных участковыми комиссиями"	33023	200	2830	1220	1165	1045	1105	2210	2050	2670	2810	2585	2775	2500	2665	2345	2285	563					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14750	177	1154	561	472	353	463	1084	835	1237	1249	1289	1468	1111	1242	924	877	254					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	708	0	80	18	28	25	43	23	39	34	44	69	24	45	129	26	58	23					
6	Число погашенных бюллетеней	17565	23	1596	641	665	667	599	1103	1176	1399	1517	1227	1283	1344	1294	1395	1350	286					
7	Число бюллетеней в переносных ящиках для голосования	708	0	80	18	28	25	43	23	39	34	44	69	24	45	129	26	58	23					
8	Число бюллетеней в стационарных ящиках для голосования	14744	177	1154	561	472	353	463	1084	835	1202	1249	1286	1468	1148	1241	921	876	254					
9	Число недействительных бюллетеней	282	0	12	19	9	2	19	7	10	22	9	30	24	58	24	15	15	7					
10	Число действительных бюллетеней	15170	177	1222	560	491	376	487	1100	864	1214	1284	1325	1468	1135	1346	932	919	270					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	450	5	35	20	20	20	20	25	25	35	35	35	35	35	35	30	30	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	164	1	9	4	5	3	1	17	11	17	14	15	17	14	14	6	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	0	3	1	3	2	2	12	8	2	1	6	7	9	3	4	3	3					
14	Число погашенных открепительных удостоверений	286	4	26	16	15	17	19	8	14	18	21	20	18	21	21	24	14	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	153	3	15	8	4	2	14	8	6	13	9	11	12	8	10	15	7	8					
		0.99%	1.69%	1.21%	1.38%	0.8%	0.52%	2.76%	0.72%	0.68%	1.05%	0.69%	0.81%	0.80%	0.67%	0.72%	1.58%	0.74%	2.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	117	1	8	2	3	5	5	19	5	11	9	7	11	13	11	6	0	1					
		0.75%	0.56%	0.64%	0.34%	0.6%	1.32%	0.98%	1.71%	0.57%	0.88%	0.69%	0.51%	0.73%	1.08%	0.80%	0.63%	0.0%	0.36%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	512	9	28	13	16	16	27	46	20	28	41	55	34	35	45	44	41	14					
		3.31%	5.08%	2.26%	2.24%	3.2%	4.23%	5.33%	4.15%	2.28%	2.26%	3.17%	4.05%	2.27%	2.93%	3.28%	4.64%	4.38%	5.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	414	14	23	5	15	3	9	32	11	38	36	57	46	38	36	20	28	3					
		2.67%	7.90%	1.86%	0.86%	3.0%	0.79%	1.77%	2.89%	1.25%	3.07%	2.78%	4.20%	3.08%	3.18%	2.62%	2.11%	2.99%	1.08%					
22	"5. ""За Русь Святую"""	73	0	6	1	2	3	2	4	2	4	5	5	8	9	8	4	6	4					
		0.47%	0.0%	0.48%	0.17%	0.4%	0.79%	0.39%	0.36%	0.22%	0.32%	0.38%	0.36%	0.53%	0.75%	0.58%	0.42%	0.64%	1.44%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	0	2	1	0	0	0	1	1	0	1	2	2	1	5	5	2	0					
		0.14%	0.0%	0.16%	0.17%	0.0%	0.0%	0.0%	0.09%	0.11%	0.0%	0.07%	0.14%	0.13%	0.08%	0.36%	0.52%	0.21%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	114	2	14	4	8	8	4	11	7	14	12	3	6	3	7	6	2	3					
		0.73%	1.12%	1.13%	0.69%	1.6%	2.11%	0.79%	0.99%	0.80%	1.13%	0.92%	0.22%	0.40%	0.25%	0.51%	0.63%	0.21%	1.08%					
25	"8. ""Народно-республиканская партия России"""	16	1	0	0	2	0	3	1	2	0	3	0	0	1	2	1	0	0					
		0.10%	0.56%	0.0%	0.0%	0.4%	0.0%	0.59%	0.09%	0.22%	0.0%	0.23%	0.0%	0.0%	0.08%	0.14%	0.10%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	45	0	8	1	3	2	0	3	1	8	1	1	8	2	2	2	2	1					
		0.29%	0.0%	0.64%	0.17%	0.6%	0.52%	0.0%	0.27%	0.11%	0.64%	0.07%	0.07%	0.53%	0.16%	0.14%	0.21%	0.21%	0.36%					
27	"10. ""Аграрная партия России"""	370	6	26	14	18	18	15	23	14	18	22	37	39	29	35	19	28	9					
		2.39%	3.38%	2.10%	2.41%	3.6%	4.76%	2.96%	2.07%	1.60%	1.45%	1.70%	2.73%	2.61%	2.43%	2.55%	2.00%	2.99%	3.24%					
28	"11. ""Истинные патриоты России"""	26	1	2	0	0	1	0	1	4	0	0	2	2	0	3	1	9	0					
		0.16%	0.56%	0.16%	0.0%	0.0%	0.26%	0.0%	0.09%	0.45%	0.0%	0.0%	0.14%	0.13%	0.0%	0.21%	0.10%	0.96%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	229	5	18	17	6	4	6	19	8	12	15	22	25	21	15	12	15	9					
		1.48%	2.82%	1.45%	2.93%	1.2%	1.05%	1.18%	1.71%	0.91%	0.97%	1.16%	1.62%	1.67%	1.76%	1.09%	1.26%	1.60%	3.24%					
30	"13. ""Демократическая партия России"""	27	1	0	1	2	0	1	5	3	1	1	0	1	0	2	1	6	2					
		0.17%	0.56%	0.0%	0.17%	0.4%	0.0%	0.19%	0.45%	0.34%	0.08%	0.07%	0.0%	0.06%	0.0%	0.14%	0.10%	0.64%	0.72%					
31	"14. ""Великая Россия - Евразийский Союз"""	33	1	1	2	0	0	1	1	0	2	1	4	7	2	2	3	4	2					
		0.21%	0.56%	0.08%	0.34%	0.0%	0.0%	0.19%	0.09%	0.0%	0.16%	0.07%	0.29%	0.46%	0.16%	0.14%	0.31%	0.42%	0.72%					
32	"15. ""Партия СЛОН"""	29	0	4	2	2	0	2	2	0	5	1	2	2	0	4	1	0	2					
		0.18%	0.0%	0.32%	0.34%	0.4%	0.0%	0.39%	0.18%	0.0%	0.40%	0.07%	0.14%	0.13%	0.0%	0.29%	0.10%	0.0%	0.72%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1634	12	106	59	51	36	40	207	71	143	152	109	178	138	107	86	117	22					
		10.57%	6.77%	8.58%	10.18%	10.2%	9.52%	7.90%	18.69%	8.12%	11.56%	11.75%	8.04%	11.93%	11.56%	7.81%	9.08%	12.52%	7.94%					
