Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Городищенская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463					
1	"Число избирателей, внесенных в списки избирателей"	39908	490	763	740	442	259	207	1844	1699	2339	286	595	631	2384	2279	2298	572	345	290	151	178	100	1231	457	1179	181	868	1702	1374	1549	1761	219	1586	181	117	2161	1999	2433	2018					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40077	493	758	752	424	256	204	1861	1656	2338	283	587	635	2372	2291	2295	582	348	289	147	183	99	1229	456	1193	180	915	1720	1417	1532	1784	217	1622	174	113	2159	2032	2460	2021					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33814	397	570	571	353	197	178	1572	1483	2113	266	414	590	1883	1905	1881	441	309	250	127	133	92	810	415	814	109	810	1531	1131	1254	1498	187	1350	134	96	2113	1795	2050	1992					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2744	44	116	100	68	52	24	174	136	103	9	124	15	128	51	208	61	16	18	14	41	7	220	31	104	56	23	109	120	191	105	14	103	21	12	24	7	95	0					
6	Число погашенных избирательных бюллетеней	3519	52	72	81	3	7	2	115	37	122	8	49	30	361	335	206	80	23	21	6	9	0	199	10	275	15	82	80	166	87	181	16	169	19	5	22	230	315	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2744	44	116	100	68	52	24	174	136	103	9	124	15	128	51	208	61	16	18	14	41	7	220	31	104	56	23	109	120	191	105	14	103	21	12	24	7	95	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33796	397	570	571	353	197	178	1572	1481	2113	266	414	590	1883	1905	1881	441	309	250	127	133	92	810	415	814	109	810	1531	1131	1254	1498	187	1350	134	96	2113	1795	2034	1992					
9	Число недействительных избирательных бюллетеней	518	1	2	6	2	0	3	14	108	28	8	1	1	83	0	21	27	7	3	0	0	0	3	0	10	0	4	13	2	11	7	1	4	0	1	5	19	68	55					
10	Число действительных избирательных бюллетеней	36022	440	684	665	419	249	199	1732	1509	2188	267	537	604	1928	1956	2068	475	318	265	141	174	99	1027	446	908	165	829	1627	1249	1434	1596	200	1449	155	107	2132	1783	2061	1937					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	680	5	10	10	5	5	5	35	25	40	5	5	5	40	45	35	5	5	5	5	5	5	20	5	25	5	30	40	45	30	25	5	25	5	5	20	30	45	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	567	2	6	10	5	2	2	35	25	40	4	0	4	34	38	28	4	2	2	0	5	0	20	2	22	4	22	40	45	25	20	0	25	1	0	18	22	41	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	256	7	12	6	8	3	2	14	10	8	2	5	3	41	9	15	2	2	2	4	2	2	6	4	4	3	3	13	9	10	10	2	9	4	2	10	2	6	0					
14	Число погашенных неиспользованных открепительных удостоверений	113	3	4	0	0	3	3	0	0	0	1	5	1	6	7	7	1	3	3	5	0	5	0	3	3	1	8	0	0	5	5	5	0	4	5	2	8	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
