Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Уфа, Орджоникидзевская"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	123874	2003	2019	2154	2036	1939	2128	2144	1805	1808	2042	2143	1435	2127	1810	2349	2676	2444	2528	2431	2548	1468	2331	1879	2091	1931	2486	2121	695	362	2010	1145	1501	1766	2297	2292	1873	1280	1668	1993	1661	1969	1996	2138	2235	1623	2121	1723	2237	1938	2017	2376	2283	2384	1671	2092	1879	2057	2360	2010	2239	2070	2436	242	223	111	25									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	119950	1900	2000	2000	2000	1900	2000	2100	1700	1700	2000	2000	1300	1900	1700	2200	2600	2300	2400	2300	2400	1300	2200	1800	2000	1800	2400	2000	700	300	1900	1300	1400	1700	2200	2300	1900	1300	1800	2000	1600	1900	2000	2100	2200	1600	2100	1700	2200	1900	2000	2300	2200	2400	1500	2000	1700	1900	2200	1900	2100	1800	2400	500	700	250	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	69582	1084	1166	1342	1248	911	1028	1301	967	1009	1361	1121	676	1763	1054	1296	1609	1446	2014	630	1524	815	1362	1225	1731	1295	1414	1115	501	249	1145	370	570	1163	1853	1196	1022	558	387	1206	891	959	920	1155	1267	984	1506	1193	951	1093	1107	431	1786	1298	906	1276	1470	491	1407	879	1161	1229	1059	141	216	71	8									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6172	173	101	14	13	272	270	15	169	70	21	149	14	45	149	100	25	73	46	155	30	96	50	12	21	3	165	87	6	3	101	148	255	91	9	198	213	91	246	8	150	84	265	187	43	5	75	5	191	89	115	13	11	208	113	10	12	14	38	405	58	23	232	61	6	36	16									
6	Число погашенных избирательных бюллетеней	44196	643	733	644	739	717	702	784	564	621	618	730	610	92	497	804	966	781	340	1515	846	389	788	563	248	502	821	798	193	48	654	782	575	446	338	906	665	651	1167	786	559	857	815	758	890	611	519	502	1058	718	778	1856	403	894	481	714	218	1395	755	616	881	548	1109	298	478	143	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6172	173	101	14	13	272	270	15	169	70	21	149	14	45	149	100	25	73	46	155	30	96	50	12	21	3	165	87	6	3	101	148	255	91	9	198	213	91	246	8	150	84	265	187	43	5	75	5	191	89	115	13	11	208	113	10	12	14	38	405	58	23	232	61	6	36	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	69555	1084	1166	1324	1248	911	1028	1301	967	1009	1361	1121	676	1763	1047	1296	1609	1446	2014	630	1524	815	1362	1224	1731	1295	1414	1115	501	249	1145	370	570	1163	1853	1196	1022	558	387	1206	891	959	920	1155	1267	984	1506	1193	951	1093	1107	430	1786	1298	906	1276	1470	491	1407	879	1161	1229	1059	141	216	71	8									
9	Число недействительных избирательных бюллетеней	748	4	12	37	22	0	0	53	31	25	20	9	23	9	14	0	0	5	0	0	13	0	8	4	40	17	4	9	0	7	26	21	9	0	2	5	4	4	16	0	0	15	19	12	0	0	38	0	31	0	0	15	2	0	1	15	0	33	33	33	12	4	25	4	3	0	0									
10	Число действительных избирательных бюллетеней	74979	1253	1255	1301	1239	1183	1298	1263	1105	1054	1362	1261	667	1799	1182	1396	1634	1514	2060	785	1541	911	1404	1232	1712	1281	1575	1193	507	245	1220	497	816	1254	1860	1389	1231	645	617	1214	1041	1028	1166	1330	1310	989	1543	1198	1111	1182	1222	428	1795	1506	1018	1271	1482	472	1412	1251	1207	1248	1266	198	219	107	24									
