Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Калевальская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в списки избирателей"	7688	2257	1586	331	1886	339	519	378	392					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7500	2150	1566	340	1825	336	525	374	384					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	27	0	12	0	0	0	0	0	15					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4453	1379	894	217	961	253	305	221	223					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	363	67	61	16	124	16	28	28	23					
6	Число погашенных избирательных бюллетеней	2657	704	599	107	740	67	192	125	123					
7	Число избирательных бюллетеней в переносных ящиках для голосования	390	67	73	16	124	16	28	28	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4452	1379	894	217	961	253	304	221	223					
9	Число недействительных избирательных бюллетеней	31	4	12	4	6	0	2	0	3					
10	Число действительных избирательных бюллетеней	4811	1442	955	229	1079	269	330	249	258					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	187	27	25	20	30	20	20	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	112	27	20	13	30	0	7	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	41	17	9	2	3	2	3	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	75	0	5	7	0	20	13	13	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	8	3	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	60	15	19	0	10	5	6	1	4					
		1.24%	1.04%	1.96%	0.00%	0.92%	1.86%	1.81%	0.40%	1.53%					
19	2.Всероссийская политическая партия «Гражданская Сила»	36	11	5	1	14	1	1	0	3					
		0.74%	0.76%	0.52%	0.43%	1.29%	0.37%	0.30%	0.00%	1.15%					
20	3.Политическая партия «Демократическая партия России»	7	2	4	0	1	0	0	0	0					
		0.14%	0.14%	0.41%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	283	67	32	14	53	65	34	10	8					
		5.84%	4.63%	3.31%	6.01%	4.88%	24.16%	10.24%	4.02%	3.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	4	3	0	5	0	0	0	0					
		0.25%	0.28%	0.31%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	0	1	1	5	2	0	0	0					
		0.19%	0.00%	0.10%	0.43%	0.46%	0.74%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	540	213	104	25	79	29	32	32	26					
		11.15%	14.73%	10.75%	10.73%	7.28%	10.78%	9.64%	12.85%	9.96%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	376	137	84	6	67	18	23	20	21					
		7.77%	9.47%	8.69%	2.58%	6.18%	6.69%	6.93%	8.03%	8.05%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	29	10	5	0	6	0	5	0	3					
		0.60%	0.69%	0.52%	0.00%	0.55%	0.00%	1.51%	0.00%	1.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3393	955	680	181	832	149	223	182	191					
		70.07%	66.04%	70.32%	77.68%	76.68%	55.39%	67.17%	73.09%	73.18%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	66	28	18	1	7	0	6	4	2					
		1.36%	1.94%	1.86%	0.43%	0.65%	0.00%	1.81%	1.61%	0.77%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
