Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Калевальская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в список избирателей"	7465	2227	1614	302	1799	305	487	342	389					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7400	2250	1600	300	1800	300	500	300	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	14	0	0	0	0	0	0	0	14					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3883	1212	807	164	881	176	280	169	194					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	466	110	79	17	149	23	27	31	30					
6	Число погашенных избирательных бюллетеней	3037	928	714	119	770	101	193	100	112					
7	Число избирательных бюллетеней в переносных ящиках для голосования	480	110	79	17	149	23	27	31	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3879	1210	806	164	880	176	280	169	194					
9	Число недействительных избирательных бюллетеней	103	30	18	8	23	4	10	5	5					
10	Число действительных избирательных бюллетеней	4256	1290	867	173	1006	195	297	195	233					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	191	61	31	13	46	8	13	9	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	163	54	31	12	36	8	12	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	16	3	4	1	1	0	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	28	7	0	1	10	0	1	2	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	3	4	0	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	671	217	193	14	118	13	49	31	36					
		15.39%	16.44%	21.81%	7.73%	11.47%	6.53%	15.96%	15.50%	15.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	963	304	187	59	225	29	50	49	60					
		22.09%	23.03%	21.13%	32.60%	21.87%	14.57%	16.29%	24.50%	25.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	19	8	4	13	1	2	1	0					
		1.10%	1.44%	0.90%	2.21%	1.26%	0.50%	0.65%	0.50%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	665	180	110	14	215	48	60	30	8					
		15.26%	13.64%	12.43%	7.73%	20.89%	24.12%	19.54%	15.00%	3.36%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	82	28	16	1	15	6	7	3	6					
		1.88%	2.12%	1.81%	0.55%	1.46%	3.02%	2.28%	1.50%	2.52%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1800	534	347	80	412	97	127	80	123					
		41.29%	40.45%	39.21%	44.20%	40.04%	48.74%	41.37%	40.00%	51.68%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	27	8	6	1	8	1	2	1	0					
		0.62%	0.61%	0.68%	0.55%	0.78%	0.50%	0.65%	0.50%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
