Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Койгородская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7218	107	736	297	334	124	229	275	171	2284	235	1114	245	126	877	64									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7120	110	780	290	320	130	220	270	180	2200	240	1100	250	130	850	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	23	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3045	61	355	139	215	68	108	135	100	827	115	449	142	26	268	37									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	285	5	20	10	18	8	9	15	7	57	16	54	12	2	49	3									
6	Число погашенных избирательных бюллетеней	3767	44	405	141	87	54	103	120	73	1316	109	597	96	79	533	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	308	5	20	10	18	8	9	15	7	57	16	54	12	25	49	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3041	61	355	139	215	68	108	135	100	827	115	445	142	26	268	37									
9	Число недействительных избирательных бюллетеней	143	0	6	6	15	5	4	2	1	46	8	28	3	5	14	0									
10	Число действительных избирательных бюллетеней	3206	66	369	143	218	71	113	148	106	838	123	471	151	46	303	40									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	369	10	40	15	20	20	15	20	15	60	20	49	20	10	50	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	163	10	40	5	0	13	2	1	5	26	20	8	20	3	7	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	1	7	1	7	4	4	3	1	10	9	2	3	1	10	6									
14	Число погашенных неиспользованных открепительных удостоверений	206	0	0	10	20	7	13	19	10	34	0	41	0	7	43	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	1	0	0	0	0	0	0	18	2	6	2	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	4	4	3	5	0	2	1	1	18	3	7	1	4	3	0									
		1.67%	6.06%	1.07%	2.01%	2.15%	0.00%	1.71%	0.67%	0.93%	2.04%	2.29%	1.40%	0.65%	7.84%	0.95%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	97	1	9	4	7	1	4	10	6	29	1	16	1	1	5	2									
		2.90%	1.52%	2.40%	2.68%	3.00%	1.32%	3.42%	6.67%	5.61%	3.28%	0.76%	3.21%	0.65%	1.96%	1.58%	5.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	132	3	8	3	1	5	4	10	6	32	2	30	9	2	16	1									
		3.94%	4.55%	2.13%	2.01%	0.43%	6.58%	3.42%	6.67%	5.61%	3.62%	1.53%	6.01%	5.84%	3.92%	5.05%	2.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1473	29	172	67	122	35	50	71	44	369	56	178	99	22	138	21									
		43.98%	43.94%	45.87%	44.97%	52.36%	46.05%	42.74%	47.33%	41.12%	41.74%	42.75%	35.67%	64.29%	43.14%	43.53%	52.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	2	3	2	4	0	0	0	2	11	0	3	1	0	1	0									
		0.87%	3.03%	0.80%	1.34%	1.72%	0.00%	0.00%	0.00%	1.87%	1.24%	0.00%	0.60%	0.65%	0.00%	0.32%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	2	1	3	0	0	1	0	0	0	1	2	0	0	0	0									
		0.30%	3.03%	0.27%	2.01%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.76%	0.40%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	753	14	92	27	40	18	24	20	25	202	46	121	21	11	81	11									
		22.48%	21.21%	24.53%	18.12%	17.17%	23.68%	20.51%	13.33%	23.36%	22.85%	35.11%	24.25%	13.64%	21.57%	25.55%	27.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	3	3	1	0	1	1	1	0	2	0	3	0	0	0	0									
		0.45%	4.55%	0.80%	0.67%	0.00%	1.32%	0.85%	0.67%	0.00%	0.23%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	0	1	1	0	0	0	0	0	14	0	5	0	0	2	0									
